original_task_id,decision,reason,bucket_role,expected_terminal_action,repairability,contains_hybrid_action,contains_assistant_side_action,contains_user_side_action,persona_level,num_blockers,required_modes
[mms_issue]break_app_both_permissions[PERSONA:Hard],keep,keep_local_repair_or_partial_repair,trap_favoring_clean_fast_repair_all,repair_all,repairable,False,False,True,Hard,1,fast/fast/fast/fast/fast
[mms_issue]break_app_sms_permission|data_usage_exceeded[PERSONA:None],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,None,2,fast/fast/fast/fast/fast
[mms_issue]airplane_mode_on|break_app_storage_permission|user_abroad_roaming_disabled_off[PERSONA:Easy],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Easy,3,fast/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,Hard,4,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|user_abroad_roaming_disabled_off[PERSONA:Easy],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Easy,5,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off[PERSONA:None],keep,keep_local_repair_or_partial_repair,,repair_all,repairable,False,False,True,None,6,deep/fast/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded[PERSONA:Hard],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,Hard,7,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,None,8,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Easy,9,fast/deep/deep/deep/deep
[mms_issue]break_app_sms_permission[PERSONA:None],keep,keep_local_repair_or_partial_repair,trap_favoring_clean_fast_repair_all,repair_all,repairable,False,False,True,None,1,fast/fast/fast/fast/fast
[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,Hard,2,fast/fast/fast/fast/fast
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],keep,keep_local_repair_or_partial_repair,trap_favoring_clean_fast_repair_all,repair_all,repairable,False,False,True,Easy,3,fast/fast/fast/fast/fast
[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:Hard],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Hard,4,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_usage_exceeded[PERSONA:None],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,None,5,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],keep,keep_local_repair_or_partial_repair,target_favoring_clean_deep_local,repair_all,repairable,False,False,True,Easy,6,fast/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|user_abroad_roaming_disabled_off[PERSONA:Hard],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Hard,7,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],keep,keep_local_repair_or_partial_repair,,repair_subset,partially_repairable,False,True,True,None,8,deep/deep/deep/deep/deep
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],keep,keep_local_repair_or_partial_repair,target_favoring_clean_deep_local;specialist_clean_deep_local,repair_subset,partially_repairable,False,True,True,Easy,9,fast/deep/deep/deep/deep
[mms_issue]break_app_storage_permission[PERSONA:Easy],keep,keep_local_repair_or_partial_repair,,repair_all,repairable,False,False,True,Easy,1,fast/fast/fast/fast/fast
[mms_issue]break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:Hard],delete,delete_hard_transfer_oracle,,transfer,transfer_required,True,True,True,Hard,2,deep/deep/deep/deep/deep
