original_task_id,static_decision,static_reasons,priority_score,expected_terminal_action,persona_level,num_blockers,blocker_family_tags,profile_switch_bucket,prior_calibration
[mms_issue]bad_network_preference[PERSONA:None],candidate,,132.0,repair_all,None,1,network_preference,trap_favoring,delete
[mms_issue]bad_wifi_calling[PERSONA:Easy],candidate,,-630.0,repair_all,Easy,1,wifi_calling,trap_favoring,keep
[mms_issue]break_apn_mms_setting[PERSONA:Hard],candidate,,215.0,repair_all,Hard,1,apn,neutral_other,delete
[mms_issue]break_app_sms_permission[PERSONA:None],candidate,,126.0,repair_all,None,1,permission,trap_favoring,delete
[mms_issue]break_app_storage_permission[PERSONA:Easy],candidate,,124.0,repair_all,Easy,1,permission,trap_favoring,delete
[mms_issue]break_app_both_permissions[PERSONA:Hard],candidate,,143.0,repair_all,Hard,1,permission,trap_favoring,delete
[mms_issue]airplane_mode_on|bad_network_preference[PERSONA:None],candidate,,-116.0,repair_all,None,2,network_preference,trap_favoring,
[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],candidate,,-128.0,repair_all,Easy,2,wifi_calling,trap_favoring,
[mms_issue]airplane_mode_on|break_apn_mms_setting[PERSONA:Hard],candidate,,-33.0,repair_all,Hard,2,apn,neutral_other,
[mms_issue]airplane_mode_on|break_app_sms_permission[PERSONA:None],candidate,,-122.0,repair_all,None,2,permission,trap_favoring,
[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],candidate,,126.0,repair_all,Easy,2,permission,trap_favoring,delete
[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],candidate,,-105.0,repair_all,Hard,2,permission,trap_favoring,
[mms_issue]bad_network_preference|unseat_sim_card[PERSONA:None],candidate,,-36.0,repair_all,None,2,network_preference|sim,neutral_other,
[mms_issue]bad_wifi_calling|unseat_sim_card[PERSONA:Easy],candidate,,-48.0,repair_all,Easy,2,wifi_calling|sim,neutral_other,
[mms_issue]break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],candidate,,-33.0,repair_all,Hard,2,apn|sim,neutral_other,
[mms_issue]break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-42.0,repair_all,None,2,permission|sim,neutral_other,
[mms_issue]break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,206.0,repair_all,Easy,2,permission|sim,neutral_other,delete
[mms_issue]break_app_both_permissions|unseat_sim_card[PERSONA:Hard],candidate,,-25.0,repair_all,Hard,2,permission|sim,neutral_other,
[mms_issue]bad_network_preference|data_mode_off[PERSONA:None],candidate,,-116.0,repair_all,None,2,network_preference|data_mode,trap_favoring,
[mms_issue]bad_wifi_calling|data_mode_off[PERSONA:Easy],candidate,,-128.0,repair_all,Easy,2,wifi_calling|data_mode,trap_favoring,
[mms_issue]break_apn_mms_setting|data_mode_off[PERSONA:Hard],candidate,,-33.0,repair_all,Hard,2,apn|data_mode,neutral_other,
[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],candidate,,-122.0,repair_all,None,2,permission|data_mode,trap_favoring,
[mms_issue]break_app_storage_permission|data_mode_off[PERSONA:Easy],candidate,,126.0,repair_all,Easy,2,permission|data_mode,trap_favoring,delete
[mms_issue]break_app_both_permissions|data_mode_off[PERSONA:Hard],candidate,,-105.0,repair_all,Hard,2,permission|data_mode,trap_favoring,
[mms_issue]bad_network_preference|data_usage_exceeded[PERSONA:None],candidate,,-90.0,repair_subset,None,2,network_preference|data_usage_exceeded,trap_favoring,
[mms_issue]bad_wifi_calling|data_usage_exceeded[PERSONA:Easy],candidate,,-102.0,repair_subset,Easy,2,wifi_calling|data_usage_exceeded,trap_favoring,
[mms_issue]break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],candidate,,-7.0,repair_subset,Hard,2,apn|data_usage_exceeded,neutral_other,
[mms_issue]break_app_sms_permission|data_usage_exceeded[PERSONA:None],candidate,,154.0,repair_subset,None,2,permission|data_usage_exceeded,trap_favoring,delete
[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],candidate,,152.0,repair_subset,Easy,2,permission|data_usage_exceeded,trap_favoring,delete
[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],candidate,,171.0,repair_subset,Hard,2,permission|data_usage_exceeded,trap_favoring,delete
[mms_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-36.0,repair_all,None,2,network_preference|roaming_enabled_off,neutral_other,
[mms_issue]bad_wifi_calling|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-48.0,repair_all,Easy,2,wifi_calling|roaming_enabled_off,neutral_other,
[mms_issue]break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-33.0,repair_all,Hard,2,apn|roaming_enabled_off,neutral_other,
[mms_issue]break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:None],candidate,,-42.0,repair_all,None,2,permission|roaming_enabled_off,neutral_other,
[mms_issue]break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,206.0,repair_all,Easy,2,permission|roaming_enabled_off,neutral_other,delete
[mms_issue]break_app_both_permissions|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-25.0,repair_all,Hard,2,permission|roaming_enabled_off,neutral_other,
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,-14.0,repair_subset,None,2,network_preference|roaming_disabled_on,neutral_other,
[mms_issue]bad_wifi_calling|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-26.0,repair_subset,Easy,2,wifi_calling|roaming_disabled_on,neutral_other,
[mms_issue]break_apn_mms_setting|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,-11.0,repair_subset,Hard,2,apn|roaming_disabled_on,neutral_other,
[mms_issue]break_app_sms_permission|user_abroad_roaming_disabled_on[PERSONA:None],candidate,,230.0,repair_subset,None,2,permission|roaming_disabled_on,neutral_other,delete
[mms_issue]break_app_storage_permission|user_abroad_roaming_disabled_on[PERSONA:Easy],candidate,,-22.0,repair_subset,Easy,2,permission|roaming_disabled_on,neutral_other,
[mms_issue]break_app_both_permissions|user_abroad_roaming_disabled_on[PERSONA:Hard],candidate,,247.0,repair_subset,Hard,2,permission|roaming_disabled_on,neutral_other,delete
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,None,2,network_preference|hybrid_roaming_disabled_off,neutral_other,
[mms_issue]bad_wifi_calling|user_abroad_roaming_disabled_off[PERSONA:Easy],static_delete,static_exclude_transfer_oracle;static_exclude_hybrid_roaming_disabled_off,1000.0,transfer,Easy,2,wifi_calling|hybrid_roaming_disabled_off,neutral_other,
