original_task_id,static_decision,static_reasons,priority_score,expected_terminal_action,persona_level,num_blockers,blocker_family_tags,profile_switch_bucket,prior_calibration,forced_profile_note
[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],candidate,,-81.0,repair_all,Hard,3,apn|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|unseat_sim_card[PERSONA:Easy],candidate,,-77.0,repair_all,Easy,2,wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting[PERSONA:Hard],candidate,,-76.0,repair_all,Hard,2,apn|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting[PERSONA:None],candidate,,-76.0,repair_all,None,3,apn|wifi_calling|network_preference,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions[PERSONA:None],candidate,,-76.0,repair_all,None,3,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission[PERSONA:Easy],candidate,,-76.0,repair_all,Easy,3,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|unseat_sim_card[PERSONA:Easy],candidate,,-74.0,repair_all,Easy,3,wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_network_preference|bad_wifi_calling|unseat_sim_card[PERSONA:None],candidate,,-74.0,repair_all,None,3,wifi_calling|network_preference|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:None],candidate,,-74.0,repair_all,None,3,permission|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],candidate,,-74.0,repair_all,Easy,3,permission|wifi_calling|sim,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],candidate,,-74.0,repair_all,Easy,3,wifi_calling|sim|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],candidate,,-74.0,repair_all,Easy,3,wifi_calling|sim|roaming_enabled_off,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting[PERSONA:Hard],candidate,,-73.0,repair_all,Hard,3,apn|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission[PERSONA:Hard],candidate,,-73.0,repair_all,Hard,3,apn|permission|wifi_calling,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off[PERSONA:Hard],candidate,,-73.0,repair_all,Hard,3,apn|wifi_calling|data_mode,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
[mms_issue]bad_wifi_calling|break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],candidate,,-73.0,repair_all,Hard,3,apn|wifi_calling|roaming_enabled_off,trap_favoring,,broad_nontransfer_nonhybrid_forced_trap_profile
