task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_added_blockers_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.07750000000000001,3.61777,3.6952700000000003,8.19527,37802.0,1190.0,38992.0,11,0,1,7,4.5,4648.0,0,0,4.5,0.0062115,32,repair_all,repairable,,6,1,0,False,True,True,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,0.0,0.05580000000000001,4.487555,4.543355,30.543355,35423.0,1175.0,36598.0,10,0,1,7,26.0,24048.0,0,0,26.0,0.00556725,32,repair_all,repairable,,6,1,0,False,True,True,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,0.0,0.0671,4.06103,4.12813,17.12813,38650.0,1047.0,39697.0,11,0,1,7,13.0,12603.0,0,0,13.0,0.0042369,32,repair_all,repairable,,6,1,0,False,True,True,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,0.0,0.07010000000000001,3.919095,3.989195,8.489195,41175.0,1233.0,42408.0,12,0,1,7,4.5,4648.0,0,0,4.5,0.00410325,32,repair_all,repairable,,6,1,0,False,True,True,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,0.0,0.07900000000000001,3.924195,4.003195,8.503195,41175.0,1248.0,42423.0,12,0,1,7,4.5,4648.0,0,0,4.5,0.0040066500000000005,32,repair_all,repairable,,6,1,0,False,True,True,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.07750000000000001,3.810805,3.8883050000000003,8.388305,39685.0,1287.0,40972.0,11,0,2,9,4.5,4678.0,0,0,4.5,0.00605295,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,0.0,0.05580000000000001,4.770205,4.826004999999999,32.326005,37291.0,1313.0,38604.0,10,0,2,9,27.5,25350.0,0,1,27.5,0.0052486500000000005,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,0.0,0.0671,3.966635,4.033735,17.033735,37189.0,1128.0,38317.0,10,0,2,9,13.0,12678.0,0,0,13.0,0.0038839499999999997,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,0.0,0.07010000000000001,3.816245,3.886345,8.386345,39685.0,1303.0,40988.0,11,0,2,9,4.5,4678.0,0,0,4.5,0.00426735,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,0.0,0.07900000000000001,3.812845,3.891845,8.391845,39685.0,1293.0,40978.0,11,0,2,9,4.5,4678.0,0,0,4.5,0.00416535,36,repair_all,repairable,,8,1,0,False,True,True,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
