task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.07750000000000001,3.63001,3.70751,8.20751,37946.0,1190.0,39136.0,11,0,1,7,4.5,4648.0,0,0,4.5,0.0060027,32,repair_all,repairable,,6,1,0,False,True,True,True,2,3,5,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,11.0,0.05580000000000001,4.343915,15.399715,40.399715,34767.0,1073.0,35840.0,10,0,1,2,25.0,23290.0,0,0,25.0,0.00571485,23,repair_subset,partially_repairable,,2,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,11.0,0.0671,3.661785,14.728885,27.728885,34665.0,869.0,35534.0,10,0,1,2,13.0,12603.0,0,0,13.0,0.00536595,23,repair_subset,partially_repairable,,2,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card""]","[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,13.0,0.07010000000000001,3.51033,16.58043,21.08043,37030.0,1067.0,38097.0,11,0,1,1,4.5,4648.0,0,0,4.5,0.005417099999999999,21,repair_subset,partially_repairable,,1,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on""]","[""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,0.0,0.07900000000000001,3.62627,3.70527,8.20527,37922.0,1185.0,39107.0,11,0,1,7,4.5,4648.0,0,0,4.5,0.0052761,32,repair_all,repairable,,6,1,0,False,True,True,True,1,3,4,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.07750000000000001,4.151995,4.229495,8.729495,43203.0,1411.0,44614.0,12,0,2,9,4.5,4678.0,0,0,4.5,0.00694305,36,repair_all,repairable,,8,1,0,False,True,True,False,0,3,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,9.0,0.05580000000000001,4.551235,13.607035,40.107034999999996,36789.0,1033.0,37822.0,10,0,2,5,26.5,24568.0,0,1,26.5,0.00539895,29,repair_subset,partially_repairable,,5,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,9.0,0.0671,4.239145,13.306245,26.306245,40095.0,1203.0,41298.0,11,0,2,5,13.0,12678.0,0,0,13.0,0.00456645,29,repair_subset,partially_repairable,,5,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,9.0,0.07010000000000001,4.092155,13.162255,17.662255000000002,42591.0,1388.0,43979.0,12,0,2,5,4.5,4678.0,0,0,4.5,0.00488865,29,repair_subset,partially_repairable,,5,1,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],specialist,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,0.0,0.07900000000000001,4.165935,4.244935,8.744935,43183.0,1457.0,44640.0,12,0,2,9,4.5,4678.0,0,0,4.5,0.00435645,36,repair_all,repairable,,8,1,0,False,True,True,False,0,3,3,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],True
