task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,prompt_tokens_total,completion_tokens_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,2.0,0.07750000000000001,4.166785,6.244285,43165.0,1464.0,0.00696915,27,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,2.0,0.05580000000000001,4.36312,6.41892,35500.0,1008.0,0.006109799999999999,24,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,2.0,0.0671,3.80497,5.87207,35372.0,1125.0,0.006940399999999999,24,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,2.0,0.07010000000000001,4.15803,6.22813,43110.0,1452.0,0.0060321,26,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,2.0,0.07900000000000001,4.240055,6.3190550000000005,43251.0,1658.0,0.004784849999999999,28,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,16.5,0.07750000000000001,3.44913,20.02663,36330.0,1062.0,0.005750699999999999,25,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,16.5,0.05580000000000001,4.30562,20.861420000000003,33936.0,1209.0,0.006222,23,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,16.5,0.0671,3.642405,20.209505,33849.0,1016.0,0.00422775,25,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,16.5,0.07010000000000001,3.52631,20.09641,36330.0,1289.0,0.0052437000000000004,25,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,16.5,0.07900000000000001,3.53039,20.10939,36330.0,1301.0,0.0048765,25,transfer,transfer_required,shallow_subset_requires_downstream_unlock_v1,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
