task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,prompt_tokens_total,completion_tokens_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,20.0,0.07750000000000001,6.640285,26.717785,72081.0,1510.0,0.0119102,38,repair_all,repairable,,7,,"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",[],False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,2.0,0.05580000000000001,5.09432,7.150119999999999,42230.0,1293.0,0.0072318,24,transfer,transfer_required,shallow_subset_defers_nonlocal_blocker_v2,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,2.0,0.0671,4.32789,6.39499,40744.0,1320.0,0.0056652000000000004,26,transfer,transfer_required,shallow_subset_defers_nonlocal_blocker_v2,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,2.0,0.07010000000000001,3.63868,5.70878,37904.0,1226.0,0.0052596,25,transfer,transfer_required,shallow_subset_defers_nonlocal_blocker_v2,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,2.0,0.07900000000000001,4.16976,6.248760000000001,43184.0,1468.0,0.0061296,26,transfer,transfer_required,shallow_subset_defers_nonlocal_blocker_v2,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""user_abroad_roaming_disabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",True
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,7.0,0.07750000000000001,3.51917,10.59667,36438.0,1241.0,0.0059031,23,repair_subset,partially_repairable,,2,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,272,pure_trap,"[""trap"", ""trap"", ""general"", ""general"", ""trap""]","[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n3__from__n0017__c01"", ""stage4_n3__from__n0056__c02"", ""stage5_n4__from__n0157__c04""]",0.6,7.0,0.05580000000000001,4.5399,11.5957,37388.0,1093.0,0.006024,23,repair_subset,partially_repairable,,2,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,63,pure_general,"[""general"", ""general"", ""general"", ""general"", ""general""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n3__from__n0007__c02"", ""stage4_n3__from__n0026__c02"", ""stage5_n3__from__n0078__c03""]",0.8,7.0,0.0671,4.35224,11.41934,42212.0,1013.0,0.0062388,27,repair_subset,partially_repairable,,2,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,14,hybrid_with_barrier,"[""trap"", ""general"", ""barrier_private"", ""general"", ""target_specialist""]","[""stage1_n4__from__root__c04"", ""stage2_n4__from__n0004__c04"", ""stage3_n5__from__n0018__c03"", ""stage4_n2__from__n0061__c01"", ""stage5_n1__from__n0172__c01""]",1.0,7.0,0.07010000000000001,3.91068,10.98078,41364.0,1161.0,0.0045972,27,repair_subset,partially_repairable,,2,,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card""]",False
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],target_favoring,2,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n2__from__n0074__c02""]",1.0,9.0,0.07900000000000001,3.47106,12.55006,36580.0,1064.0,0.005328599999999999,25,repair_subset,partially_repairable,,3,,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference""]",False
