method,method_alias,episodes_total,episodes_pre_switch,episodes_post_switch,post_switch_avg_cost,post_switch_avg_raw_total_cost,post_switch_avg_terminal_penalty,post_switch_avg_raw_terminal_penalty,post_switch_exact_match_mean,post_switch_shared_path_fraction,post_switch_unshared_path_fraction,post_switch_specialist_exact_match_mean,post_switch_specialist_avg_cost,post_switch_specialist_unshared_fraction,pre_switch_avg_cost,pre_switch_avg_raw_total_cost,pre_switch_avg_terminal_penalty,pre_switch_avg_raw_terminal_penalty,pre_switch_exact_match_mean,total_cost_mean,raw_total_cost_mean,raw_total_cost_api_mean,raw_total_cost_token_mean,raw_outcome_penalty_mean,raw_policy_penalty_mean,raw_terminal_penalty_mean,raw_path_cost_component_mean,raw_reasoning_cost_component_mean,raw_reasoning_cost_component_api_mean,raw_reasoning_cost_component_token_mean,exact_match_mean,mean_llm_call_count,mean_total_tokens,mean_api_cost_usd_raw,mean_generation_time_seconds,mean_episode_wall_clock_seconds,shared_path_fraction,unshared_path_fraction,specialist_task_unshared_fraction
direct_multistage_exp3,exp,128,16,112,0.38330730289249076,12.702804017857144,8.165178571428571,8.165178571428571,0.4642857142857143,0.9464285714285714,0.05357142857142857,0.45054945054945056,0.41657474284918466,0.054945054945054944,0.2335540509957755,7.7399812500000005,3.71875,3.71875,0.125,0.3645881464054013,12.082451171875,8.2677953125,12.082451171875,6.0,1.609375,7.609375,0.07140703125,4.401669140625,0.58701328125,4.401669140625,0.421875,10.859375,42229.0234375,0.006144516796875,31.761052037545596,34.45792896176499,0.921875,0.078125,0.054945054945054944
naive_mixed,naive_mix,128,16,112,0.38812320701138026,12.862403080357142,8.316964285714286,8.316964285714286,0.4642857142857143,1.0,0.0,0.42857142857142855,0.431434148832459,0.0,0.23337268972540737,7.7339709375000005,3.03125,3.03125,0.1875,0.3687793923506337,12.2213490625,8.3082516640625,12.2213490625,6.078125,1.578125,7.65625,0.07114218750000001,4.493956875,0.5808594765625,4.493956875,0.4296875,11.0625,42993.2578125,0.0060751015625,32.16820310476396,34.81475135234723,1.0,0.0,0.0
risky_ps_linear,risky_ps_linear,128,16,112,0.39410022954565044,13.060481607142858,8.410714285714286,8.410714285714286,0.44642857142857145,0.9553571428571429,0.044642857142857144,0.42857142857142855,0.43262019272218427,0.02197802197802198,0.23534181691309597,7.7992278125,3.8125,3.8125,0.125,0.3742554279665812,12.4028248828125,8.4993909765625,12.4028248828125,6.1953125,1.640625,7.8359375,0.07150625000000001,4.4953811328125,0.5919472265625,4.4953811328125,0.40625,11.1484375,43257.5078125,0.0062039867187499995,32.74562079919269,35.43378700548783,0.9453125,0.0546875,0.02197802197802198
risky_ps_safe_conditional,risky_ps_safe_conditional,128,16,112,0.39495465395723767,13.088797232142857,8.357142857142858,8.357142857142858,0.45535714285714285,0.9464285714285714,0.05357142857142857,0.43956043956043955,0.43049178642721186,0.04395604395604396,0.21089689574532286,6.989123125,3.03125,3.03125,0.1875,0.3719474341807483,12.32633796875,8.3496503984375,12.32633796875,6.09765625,1.59375,7.69140625,0.07074843750000001,4.56418328125,0.5874957109375,4.56418328125,0.421875,10.9453125,42701.96875,0.0060046703125,32.05487235620967,34.735053603981214,0.9375,0.0625,0.04395604395604396
risky_ps_ix,risky_ps_ix,128,16,112,0.39551400713423573,13.107334196428571,8.5,8.5,0.44642857142857145,0.9464285714285714,0.05357142857142857,0.4065934065934066,0.4395595989707335,0.04395604395604396,0.223443336979481,7.4049121875,3.46875,3.46875,0.125,0.37400517336489136,12.3945314453125,8.5047615234375,12.3945314453125,6.26171875,1.609375,7.87109375,0.07105703125,4.4523806640625,0.5626107421875,4.4523806640625,0.40625,11.046875,42834.0390625,0.0059101328125,32.01212756719906,34.68783132576209,0.9375,0.0625,0.04395604395604396
risky_ps,risky_ps,128,16,112,0.39693554535951375,13.154443973214285,8.379464285714286,8.379464285714286,0.45535714285714285,0.9017857142857143,0.09821428571428571,0.4175824175824176,0.4403075546963598,0.08791208791208792,0.22648179126433313,7.5056065625,3.53125,3.53125,0.25,0.37562882609761616,12.448339296875,8.441447625,12.448339296875,6.1640625,1.609375,7.7734375,0.07072500000000001,4.604176796875,0.597285125,4.604176796875,0.4296875,11.1328125,43158.7109375,0.0061059765625,32.14001113050108,34.80484212492229,0.8984375,0.1015625,0.08791208791208792
risky_ps_direct_cost,risky_ps_direct_cost,128,16,112,0.397963369687042,13.188506071428572,8.486607142857142,8.486607142857142,0.44642857142857145,0.9375,0.0625,0.4175824175824176,0.43531171785366113,0.054945054945054944,0.2182207208056729,7.2318346875,3.28125,3.28125,0.1875,0.37549553857687085,12.4439221484375,8.482840375,12.4439221484375,6.2109375,1.625,7.8359375,0.0714734375,4.5365112109375,0.5754294375,4.5365112109375,0.4140625,11.1328125,43110.8046875,0.005965844140625,32.46410815076524,35.14608563436923,0.9296875,0.0703125,0.054945054945054944
naive_mixed_avg,naive_mix_avg,128,16,112,0.3984713808841279,13.2053415625,8.665178571428571,8.665178571428571,0.4375,0.9642857142857143,0.03571428571428571,0.4065934065934066,0.4382814947575056,0.04395604395604396,0.2243506242456246,7.4349796875,3.125,3.125,0.125,0.376706286304315,12.484046328125,8.6320006328125,12.484046328125,6.31640625,1.65625,7.97265625,0.07145234375000001,4.439937734375,0.5878920390625,4.439937734375,0.3984375,10.4296875,40891.0234375,0.0059038855468749995,30.777140552341734,33.4411093726776,0.96875,0.03125,0.04395604395604396
risky_ps_old,risky_ps_old,128,16,112,0.40026222222820934,13.264690044642858,8.464285714285714,8.464285714285714,0.45535714285714285,0.9464285714285714,0.05357142857142857,0.43956043956043955,0.43257944153010536,0.054945054945054944,0.24654004790283646,8.1703371875,4.21875,4.21875,0.125,0.3810469504375377,12.6278959375,8.5712573984375,12.6278959375,6.29296875,1.640625,7.93359375,0.06994375,4.6243584375,0.5677198984375,4.6243584375,0.4140625,11.09375,43044.9140625,0.005763016015625,32.13402402273641,34.82189314056086,0.9375,0.0625,0.054945054945054944
epsilon_exp3,eps,128,16,112,0.4094193424540909,13.568157008928571,8.821428571428571,8.821428571428571,0.4375,0.9464285714285714,0.05357142857142857,0.4175824175824176,0.4479441198511808,0.06593406593406594,0.23271327134882316,7.7121178125,3.25,3.25,0.1875,0.3873310835659324,12.836152109375,8.789411515625,12.836152109375,6.46875,1.65625,8.125,0.07048828125,4.640663828125,0.5939232343749999,4.640663828125,0.40625,11.03125,42962.1015625,0.0059904265625,32.02509123896016,34.71386011085997,0.953125,0.046875,0.06593406593406594
