method,family,raw_total_cost_rank,raw_total_cost_mean,post_raw_total_cost_rank,post_raw_total_cost_mean,specialist_raw_total_cost_rank,specialist_raw_total_cost_mean,raw_terminal_penalty_rank,raw_terminal_penalty_mean,exact_match_mean,post_exact_match_mean,specialist_exact_match_mean,shared_path_fraction,post_shared_path_fraction,specialist_shared_path_fraction,transfer_episode_count,transfer_final_transfer_rate,mean_total_tokens,mean_episode_wall_clock_seconds
epsilon_exp3,baseline,1,12.3155717,1,14.267667866666667,1,15.078029485294117,1,7.09,0.3,0.26666666666666666,0.29411764705882354,0.91,0.88,0.8970588235294118,7,1.0,50013.41,41.84064014343545
direct_multistage_exp3_local,baseline,2,12.897945749999998,2,15.134905599999998,2,16.07566507352941,2,7.825,0.3,0.26666666666666666,0.29411764705882354,0.89,0.92,0.9117647058823529,7,1.0,48598.79,41.16351489581168
risky_ps_linear,PS,3,13.006847700000002,3,15.267382199999998,3,16.12886705882353,3,7.915,0.22,0.16,0.17647058823529413,0.94,0.9466666666666667,0.9558823529411765,7,1.0,47420.62,40.154075473099944
direct_multistage_exp3,baseline,4,13.067136,4,15.334756466666668,4,16.236841838235293,4,7.92,0.25,0.2,0.22058823529411764,0.92,0.96,0.9558823529411765,7,1.0,49265.14,41.783439884893596
risky_ps_ix,PS,5,13.187318849999999,5,15.442523799999998,5,16.361682205882353,5,8.045,0.22,0.16,0.17647058823529413,0.94,0.9466666666666667,0.9411764705882353,7,1.0,48700.09,41.74882440321147
risky_ps_old,PS,6,13.6541904,6,16.0461306,6,17.005872205882355,7,8.475,0.23,0.17333333333333334,0.19117647058823528,0.9,0.8933333333333333,0.8823529411764706,7,1.0,49379.36,41.42155322032049
risky_ps_safe_conditional_ix,PS,7,13.846655599999998,8,16.253838333333334,7,17.197943161764705,8,8.545,0.23,0.17333333333333334,0.19117647058823528,0.9,0.8933333333333333,0.8970588235294118,7,1.0,49429.09,41.38777032757178
naive_mixed,baseline,8,13.869661650000001,9,16.311965333333333,9,17.322182279411763,9,8.645,0.19,0.12,0.1323529411764706,0.99,0.9866666666666667,0.9852941176470589,7,1.0,49723.26,40.84499512223527
naive_mixed_avg,baseline,9,13.87746695,7,16.239055266666668,8,17.236906176470587,6,8.43,0.22,0.16,0.17647058823529413,1.0,1.0,1.0,7,1.0,51434.78,44.46964276839048
risky_ps,PS,10,13.975418099999999,10,16.424733133333334,10,17.448770588235295,10,8.65,0.22,0.16,0.17647058823529413,0.91,0.9066666666666666,0.9117647058823529,7,1.0,50322.71,41.08259670374915
risky_ps_safe_conditional,PS,11,14.061159150000002,11,16.530298533333333,11,17.565362352941175,11,8.875,0.18,0.10666666666666667,0.11764705882352941,0.89,0.88,0.8823529411764706,7,1.0,47696.53,39.29072454761714
risky_ps_direct_cost,PS,12,14.172352,12,16.8390552,12,17.87184588235294,12,8.92,0.19,0.12,0.1323529411764706,0.94,0.9466666666666667,0.9411764705882353,7,1.0,49624.74,41.33832784609869
random_path,baseline,13,14.340999400000001,13,17.00233933333333,13,18.045195367647057,13,9.115,0.2,0.13333333333333333,0.14705882352941177,0.92,0.9333333333333333,0.9411764705882353,7,1.0,49963.01,41.52839152896777
