method,family,old_raw_rank,new_raw_rank,old_raw_total_cost_mean,new_raw_total_cost_mean,delta_raw_total_cost_mean,old_post_raw_total_cost_mean,new_post_raw_total_cost_mean,delta_post_raw_total_cost_mean,old_specialist_raw_total_cost_mean,new_specialist_raw_total_cost_mean,delta_specialist_raw_total_cost_mean,old_exact_match_mean,new_exact_match_mean,delta_exact_match_mean
epsilon_exp3,baseline,5,1,14.973399500000001,12.3155717,-2.6578278000000015,16.313800174418603,14.267667866666667,-2.046132307751936,17.345821025641026,15.078029485294117,-2.2677915403469093,0.18,0.3,0.12
direct_multistage_exp3_local,baseline,7,2,15.311130499999999,12.897945749999998,-2.413184750000001,16.81843156976744,15.134905599999998,-1.6835259697674427,17.91392076923077,16.07566507352941,-1.8382556957013598,0.13,0.3,0.16999999999999998
risky_ps_linear,PS,13,3,15.887397100000001,13.006847700000002,-2.8805493999999996,17.445824011627906,15.267382199999998,-2.1784418116279074,18.631909294871797,16.12886705882353,-2.503042236048266,0.14,0.22,0.07999999999999999
direct_multistage_exp3,baseline,1,4,14.18788305,13.067136,-1.1207470500000003,15.484992093023255,15.334756466666668,-0.1502356263565865,16.394639935897438,16.236841838235293,-0.1577980976621447,0.25,0.25,0.0
risky_ps_ix,PS,3,5,14.81032025,13.187318849999999,-1.6230014000000015,16.171296744186048,15.442523799999998,-0.7287729441860495,17.190646923076923,16.361682205882353,-0.8289647171945695,0.24,0.22,-0.01999999999999999
risky_ps_old,PS,4,6,14.88714725,13.6541904,-1.2329568500000008,16.274326627906976,16.0461306,-0.22819602790697502,17.258353974358972,17.005872205882355,-0.25248176847661696,0.2,0.23,0.03
risky_ps_safe_conditional_ix,PS,8,7,15.365622949999999,13.846655599999998,-1.5189673500000005,16.824691279069768,16.253838333333334,-0.5708529457364335,17.856328653846155,17.197943161764705,-0.6583854920814503,0.23,0.23,0.0
naive_mixed,baseline,11,8,15.638748049999998,13.869661650000001,-1.7690863999999973,17.064072441860468,16.311965333333333,-0.7521071085271345,18.14731128205128,17.322182279411763,-0.8251290026395175,0.16,0.19,0.03
naive_mixed_avg,baseline,10,9,15.5768532,13.87746695,-1.6993862499999999,16.96227226744186,16.239055266666668,-0.7232170007751932,18.083689487179488,17.236906176470587,-0.8467833107089007,0.2,0.22,0.01999999999999999
risky_ps,PS,12,10,15.885983349999998,13.975418099999999,-1.9105652499999994,17.42965796511628,16.424733133333334,-1.0049248317829473,18.635740833333333,17.448770588235295,-1.1869702450980384,0.2,0.22,0.01999999999999999
risky_ps_safe_conditional,PS,2,11,14.672876550000002,14.061159150000002,-0.6117173999999999,16.0697125,16.530298533333333,0.4605860333333318,17.064648846153847,17.565362352941175,0.5007135067873278,0.2,0.18,-0.020000000000000018
risky_ps_direct_cost,PS,6,12,15.1034087,14.172352,-0.9310566999999992,16.51538645348837,16.8390552,0.323668746511629,17.525899615384617,17.87184588235294,0.34594626696832265,0.19,0.19,0.0
random_path,baseline,9,13,15.539366600000001,14.340999400000001,-1.1983671999999999,17.013399709302323,17.00233933333333,-0.011060375968991565,18.13097955128205,18.045195367647057,-0.08578418363499196,0.21,0.2,-0.009999999999999981
