grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean,pair_class,phase,archetype,family
method,direct_multistage_exp3,100,7.92,5.075851,0.071285,13.067136,0.25,0.47,0.67,0.58,1.07,1.51,2.0,49265.14,,,,
method,direct_multistage_exp3_local,100,7.825,5.00185775,0.071088,12.897945749999998,0.3,0.43,0.69,0.59,0.96,1.63,2.0,48598.79,,,,
method,epsilon_exp3,100,7.09,5.1541486999999995,0.071423,12.3155717,0.3,0.46,0.68,0.62,0.98,1.64,2.0,50013.41,,,,
method,naive_mixed,100,8.645,5.1530156499999995,0.07164600000000002,13.869661650000001,0.19,0.44,0.636,0.72,1.1,1.62,2.0,49723.26,,,,
method,naive_mixed_avg,100,8.43,5.37652495,0.070942,13.87746695,0.22,0.46,0.536,0.64,1.68,0.96,2.0,51434.78,,,,
method,random_path,100,9.115,5.1555344000000005,0.07046500000000001,14.340999400000001,0.2,0.4,0.6560000000000001,0.7,1.02,1.68,2.0,49963.01,,,,
method,risky_ps,100,8.65,5.2549271,0.070491,13.975418099999999,0.22,0.45,0.602,0.8,1.19,1.61,2.0,50322.71,,,,
method,risky_ps_direct_cost,100,8.92,5.181774000000001,0.070578,14.172352,0.19,0.44,0.612,0.77,1.17,1.6,2.0,49624.74,,,,
method,risky_ps_ix,100,8.045,5.07175885,0.07056000000000001,13.187318849999999,0.22,0.46,0.6459999999999999,0.69,1.08,1.61,2.0,48700.09,,,,
method,risky_ps_linear,100,7.915,5.0215527,0.07029500000000001,13.006847700000002,0.22,0.38,0.594,0.93,1.1,1.83,2.0,47420.62,,,,
method,risky_ps_old,100,8.475,5.108174399999999,0.07101600000000001,13.6541904,0.23,0.44,0.654,0.66,1.07,1.59,2.0,49379.36,,,,
method,risky_ps_safe_conditional,100,8.875,5.1172961500000005,0.06886300000000001,14.061159150000002,0.18,0.43,0.5760000000000001,1.17,0.95,2.22,2.0,47696.53,,,,
method,risky_ps_safe_conditional_ix,100,8.545,5.231853599999999,0.069802,13.846655599999998,0.23,0.42,0.586,0.92,1.15,1.77,2.0,49429.09,,,,
method+pair_class,direct_multistage_exp3,66,10.053030303030303,5.082842727272728,0.07312727272727274,15.209000303030304,0.22727272727272727,0.36363636363636365,0.8303030303030303,0.5,0.3484848484848485,1.1515151515151516,1.0,52583.56060606061,agent_deep__task_deep,,,
method+pair_class,direct_multistage_exp3,18,1.6111111111111112,4.733086666666667,0.07131666666666667,6.415514444444444,0.2777777777777778,0.8333333333333334,0.24444444444444446,0.0,3.7777777777777777,1.2222222222222223,5.0,39170.666666666664,agent_deep__task_fast,,,
method+pair_class,direct_multistage_exp3,9,10.722222222222221,5.473801666666667,0.06094444444444444,16.256968333333333,0.0,0.1111111111111111,0.35555555555555557,2.7777777777777777,0.4444444444444444,3.3333333333333335,1.0,45273.555555555555,agent_fast__task_deep,,,
method+pair_class,direct_multistage_exp3,7,0.42857142857142855,5.379672142857143,0.06712857142857143,5.8753721428571435,0.7142857142857143,1.0,0.6571428571428571,0.0,1.7142857142857142,3.2857142857142856,5.0,49066.42857142857,agent_fast__task_fast,,,
method+pair_class,direct_multistage_exp3_local,66,10.424242424242424,5.109735757575758,0.07260000000000001,15.60657818181818,0.2878787878787879,0.2878787878787879,0.8363636363636364,0.5454545454545454,0.2727272727272727,1.2727272727272727,1.0,52555.606060606064,agent_deep__task_deep,,,
method+pair_class,direct_multistage_exp3_local,19,1.736842105263158,4.776312368421053,0.07059473684210527,6.583749210526316,0.3157894736842105,0.8421052631578947,0.2947368421052632,0.0,3.526315789473684,1.4736842105263157,5.0,39914.57894736842,agent_deep__task_fast,,,
method+pair_class,direct_multistage_exp3_local,9,6.5,5.111784444444444,0.0641888888888889,11.675973333333333,0.1111111111111111,0.2222222222222222,0.4444444444444444,2.5555555555555554,0.2222222222222222,3.3333333333333335,1.0,43319.22222222222,agent_fast__task_deep,,,
method+pair_class,direct_multistage_exp3_local,6,0.5,4.364536666666667,0.06636666666666667,4.930903333333333,0.6666666666666666,1.0,0.7000000000000001,0.0,1.5,3.5,5.0,40493.166666666664,agent_fast__task_fast,,,
method+pair_class,epsilon_exp3,66,8.712121212121213,5.140587045454546,0.07321818181818184,13.925926439393939,0.30303030303030304,0.3181818181818182,0.8303030303030303,0.6212121212121212,0.22727272727272727,1.393939393939394,1.0,52829.07575757576,agent_deep__task_deep,,,
method+pair_class,epsilon_exp3,20,1.175,5.4031372499999994,0.069815,6.64795225,0.45,0.9,0.26,0.0,3.7,1.3,5.0,45161.55,agent_deep__task_fast,,,
method+pair_class,epsilon_exp3,9,11.333333333333334,5.375538333333334,0.06490000000000001,16.773771666666665,0.0,0.3333333333333333,0.5333333333333333,2.3333333333333335,0.0,3.3333333333333335,1.0,48079.444444444445,agent_fast__task_deep,,,
method+pair_class,epsilon_exp3,5,1.7,3.938707,0.0659,5.704607,0.2,0.8,0.64,0.0,1.8,3.2,5.0,35735.2,agent_fast__task_fast,,,
method+pair_class,naive_mixed,55,11.763636363636364,5.202942999999999,0.07398181818181818,17.04056118181818,0.16363636363636364,0.34545454545454546,0.8618181818181818,0.4,0.2909090909090909,1.1090909090909091,1.0,54673.8,agent_deep__task_deep,,,
method+pair_class,naive_mixed,24,1.2708333333333333,5.226314375,0.0718125,6.568960208333333,0.4166666666666667,0.875,0.23333333333333336,0.0,3.8333333333333335,1.1666666666666667,5.0,43377.375,agent_deep__task_fast,,,
method+pair_class,naive_mixed,20,9.275,4.96796175,0.065365,14.30832675,0.0,0.15,0.5,2.5,0.0,3.5,1.0,44278.2,agent_fast__task_deep,,,
method+pair_class,naive_mixed,1,1.5,4.34892,0.06480000000000001,5.91372,0.0,1.0,0.6,0.0,2.0,3.0,5.0,38646.0,agent_fast__task_fast,,,
method+pair_class,naive_mixed_avg,73,10.568493150684931,5.430303356164384,0.07099589041095891,16.069792397260276,0.1643835616438356,0.3150684931506849,0.6630136986301369,0.8082191780821918,0.8767123287671232,0.9315068493150684,1.0,54438.438356164384,agent_deep__task_deep,,,
method+pair_class,naive_mixed_avg,25,1.44,5.281426,0.071276,6.792701999999999,0.4,0.88,0.17600000000000002,0.0,4.12,0.88,5.0,43511.68,agent_deep__task_fast,,,
