grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean
method,direct_multistage_exp3,100,7.92,5.075851,0.071285,13.067136,0.25,0.47,0.67,0.58,1.07,1.51,2.0,49265.14
method,direct_multistage_exp3_local,100,7.825,5.00185775,0.071088,12.897945749999998,0.3,0.43,0.69,0.59,0.96,1.63,2.0,48598.79
method,epsilon_exp3,100,7.09,5.1541486999999995,0.071423,12.3155717,0.3,0.46,0.68,0.62,0.98,1.64,2.0,50013.41
method,naive_mixed,100,8.645,5.1530156499999995,0.07164600000000002,13.869661650000001,0.19,0.44,0.636,0.72,1.1,1.62,2.0,49723.26
method,naive_mixed_avg,100,8.43,5.37652495,0.070942,13.87746695,0.22,0.46,0.536,0.64,1.68,0.96,2.0,51434.78
method,random_path,100,9.115,5.1555344000000005,0.07046500000000001,14.340999400000001,0.2,0.4,0.6560000000000001,0.7,1.02,1.68,2.0,49963.01
method,risky_ps,100,8.65,5.2549271,0.070491,13.975418099999999,0.22,0.45,0.602,0.8,1.19,1.61,2.0,50322.71
method,risky_ps_direct_cost,100,8.92,5.181774000000001,0.070578,14.172352,0.19,0.44,0.612,0.77,1.17,1.6,2.0,49624.74
method,risky_ps_ix,100,8.045,5.07175885,0.07056000000000001,13.187318849999999,0.22,0.46,0.6459999999999999,0.69,1.08,1.61,2.0,48700.09
method,risky_ps_linear,100,7.915,5.0215527,0.07029500000000001,13.006847700000002,0.22,0.38,0.594,0.93,1.1,1.83,2.0,47420.62
method,risky_ps_old,100,8.475,5.108174399999999,0.07101600000000001,13.6541904,0.23,0.44,0.654,0.66,1.07,1.59,2.0,49379.36
method,risky_ps_safe_conditional,100,8.875,5.1172961500000005,0.06886300000000001,14.061159150000002,0.18,0.43,0.5760000000000001,1.17,0.95,2.22,2.0,47696.53
method,risky_ps_safe_conditional_ix,100,8.545,5.231853599999999,0.069802,13.846655599999998,0.23,0.42,0.586,0.92,1.15,1.77,2.0,49429.09
