method,total_cost_mean,raw_total_cost_mean,raw_total_cost_api_mean,raw_total_cost_token_mean,raw_outcome_penalty_mean,raw_policy_penalty_mean,raw_terminal_penalty_mean,raw_path_cost_component_mean,raw_reasoning_cost_component_mean,raw_reasoning_cost_component_api_mean,raw_reasoning_cost_component_token_mean,exact_match_mean,mean_llm_call_count,mean_total_tokens,mean_api_cost_usd_raw,mean_generation_time_seconds,mean_episode_wall_clock_seconds
epsilon_exp3,0.37162256185878095,12.3155717,7.65309131,12.3155717,6.01,1.08,7.09,0.071423,5.1541486999999995,0.49166831,5.1541486999999995,0.3,12.66,50013.41,0.005153097,38.3594869438,41.84064014343545
direct_multistage_exp3_local,0.3891957076041038,12.897945749999998,8.39657486,12.897945749999998,6.685,1.14,7.825,0.071088,5.00185775,0.50048686,5.00185775,0.3,12.45,48598.79,0.0052931895,37.73120119675994,41.16351489581168
risky_ps_linear,0.39248182558841277,13.006847700000002,8.462309900000001,13.006847700000002,6.675,1.24,7.915,0.07029500000000001,5.0215527,0.4770149,5.0215527,0.22,12.22,47420.62,0.004878212999999999,36.735063750874254,40.154075473099944
direct_multistage_exp3,0.394301025950513,13.067136,8.47908307,13.067136,6.86,1.06,7.92,0.071285,5.075851,0.48779807,5.075851,0.25,12.66,49265.14,0.005116908,38.37051753588021,41.783439884893596
risky_ps_ix,0.3979275452625226,13.187318849999999,8.59249892,13.187318849999999,6.965,1.08,8.045,0.07056000000000001,5.07175885,0.47693892,5.07175885,0.22,12.5,48700.09,0.0049516565,38.32897527649999,41.74882440321147
risky_ps_old,0.41201540132770065,13.6541904,9.02786608,13.6541904,7.355,1.12,8.475,0.07101600000000001,5.108174399999999,0.48185008,5.108174399999999,0.23,12.6,49379.36,0.0050470590000000004,38.294463041462,41.42155322032049
risky_ps_safe_conditional_ix,0.4178230416415208,13.846655599999998,9.11704437,13.846655599999998,7.385,1.16,8.545,0.069802,5.231853599999999,0.50224237,5.231853599999999,0.23,12.56,49429.09,0.0051263459999999995,37.9602001234889,41.38777032757178
naive_mixed,0.4185172495473748,13.869661650000001,9.223126129999999,13.869661650000001,7.525,1.12,8.645,0.07164600000000002,5.1530156499999995,0.50648013,5.1530156499999995,0.19,12.62,49723.26,0.0053002605,37.706383541021495,40.84499512223527
naive_mixed_avg,0.41875277459263727,13.87746695,8.99989381,13.87746695,7.35,1.08,8.43,0.070942,5.37652495,0.49895181,5.37652495,0.22,13.5,51434.78,0.0051781959999999995,41.094534329678865,44.46964276839048
risky_ps,0.421708452021726,13.975418099999999,9.24347368,13.975418099999999,7.55,1.1,8.65,0.070491,5.2549271,0.52298268,5.2549271,0.22,12.86,50322.71,0.005400332999999999,37.9930297537148,41.08259670374915
risky_ps_safe_conditional,0.42429568949909474,14.061159150000002,9.45804903,14.061159150000002,7.735,1.14,8.875,0.06886300000000001,5.1172961500000005,0.51418603,5.1172961500000005,0.18,11.95,47696.53,0.005183128499999999,36.17542877342552,39.29072454761714
risky_ps_direct_cost,0.4276509354254677,14.172352,9.49810887,14.172352,7.8,1.12,8.92,0.070578,5.181774000000001,0.50753087,5.181774000000001,0.19,12.65,49624.74,0.005267948999999999,38.26055683810264,41.33832784609869
random_path,0.4327398732649366,14.340999400000001,9.70359863,14.340999400000001,7.915,1.2,9.115,0.07046500000000001,5.1555344000000005,0.51813363,5.1555344000000005,0.2,12.63,49963.01,0.005443368,38.42009133933112,41.52839152896777
