episode_index,repeat_index,position_in_cycle,dataset_index,original_task_id,is_specialist_task,selected_shared_path,selected_unshared_path,cumulative_shared_path_ratio,rolling_shared_path_ratio_last10,shared_branch_triggered,unshared_branch_triggered,shared_update_count,cumulative_shared_update_count,unshared_edge_update_count,cumulative_unshared_edge_update_count,selected_path,selected_shared_path_nodes,selected_unshared_path_nodes,raw_terminal_penalty,total_cost
0,0,0,19,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],False,True,False,1.0,1.0,True,False,5,5,3,3,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']","['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",[],1.5,0.1965340977670489
1,0,1,13,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,2,7,4,7,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n5__from__n0013__c04', 'stage4_n3__from__n0046__c02', 'stage5_n4__from__n0130__c04']","['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n5__from__n0013__c04', 'stage4_n3__from__n0046__c02', 'stage5_n4__from__n0130__c04']",[],0.0,0.1293091430295715
2,0,2,7,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,2,9,4,11,"['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n5__from__n0020__c03', 'stage4_n3__from__n0067__c02', 'stage5_n1__from__n0193__c01']","['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n5__from__n0020__c03', 'stage4_n3__from__n0067__c02', 'stage5_n1__from__n0193__c01']",[],0.0,0.12196695835847919
3,0,3,25,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],False,True,False,1.0,1.0,True,False,1,10,5,16,"['stage1_n3__from__root__c03', 'stage2_n3__from__n0003__c03', 'stage3_n5__from__n0014__c03', 'stage4_n5__from__n0049__c04', 'stage5_n2__from__n0142__c01']","['stage1_n3__from__root__c03', 'stage2_n3__from__n0003__c03', 'stage3_n5__from__n0014__c03', 'stage4_n5__from__n0049__c04', 'stage5_n2__from__n0142__c01']",[],4.0,0.2702920941460471
4,0,4,36,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,15,4,20,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n4__from__n0011__c02', 'stage4_n2__from__n0039__c01', 'stage5_n1__from__n0112__c01']","['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n4__from__n0011__c02', 'stage4_n2__from__n0039__c01', 'stage5_n1__from__n0112__c01']",[],1.5,0.1972045866022933
5,0,5,18,[mms_issue]bad_network_preference[PERSONA:None],False,True,False,1.0,1.0,True,False,5,20,2,22,"['stage1_n1__from__root__c01', 'stage2_n1__from__n0001__c01', 'stage3_n2__from__n0006__c02', 'stage4_n1__from__n0024__c01', 'stage5_n1__from__n0075__c01']","['stage1_n1__from__root__c01', 'stage2_n1__from__n0001__c01', 'stage3_n2__from__n0006__c02', 'stage4_n1__from__n0024__c01', 'stage5_n1__from__n0075__c01']",[],1.5,0.1714823476161738
6,0,6,24,[mms_issue]bad_network_preference|break_app_storage_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,2,22,5,27,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n5__from__n0011__c03', 'stage4_n4__from__n0040__c03', 'stage5_n4__from__n0118__c03']","['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n5__from__n0011__c03', 'stage4_n4__from__n0040__c03', 'stage5_n4__from__n0118__c03']",[],1.5,0.1586692818346409
7,0,7,23,[mms_issue]bad_wifi_calling[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,27,4,31,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c03', 'stage3_n4__from__n0017__c02', 'stage4_n3__from__n0057__c02', 'stage5_n1__from__n0159__c01']","['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c03', 'stage3_n4__from__n0017__c02', 'stage4_n3__from__n0057__c02', 'stage5_n1__from__n0159__c01']",[],0.0,0.23274803862401933
8,0,8,61,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,False,True,0.8888888888888888,0.8888888888888888,False,True,0,27,5,36,"['stage1_n4__from__root__c04', 'stage2_n4__from__n0004__c04', 'stage3_n5__from__n0018__c03', 'stage4_n5__from__n0061__c04', 'stage5_n5__from__n0175__c03']",[],"['stage1_n4__from__root__c04', 'stage2_n4__from__n0004__c04', 'stage3_n5__from__n0018__c03', 'stage4_n5__from__n0061__c04', 'stage5_n5__from__n0175__c03']",0.0,0.14313759806879903
9,0,9,0,[mms_issue]break_app_both_permissions[PERSONA:Hard],False,False,True,0.8,0.8,False,True,0,27,5,41,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n4__from__n0013__c03', 'stage4_n5__from__n0045__c04', 'stage5_n5__from__n0128__c03']",[],"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n4__from__n0013__c03', 'stage4_n5__from__n0045__c04', 'stage5_n5__from__n0128__c03']",1.5,0.1916101388050694
