method,total_cost_mean,raw_total_cost_mean,raw_total_cost_api_mean,raw_total_cost_token_mean,raw_outcome_penalty_mean,raw_policy_penalty_mean,raw_terminal_penalty_mean,raw_path_cost_component_mean,raw_reasoning_cost_component_mean,raw_reasoning_cost_component_api_mean,raw_reasoning_cost_component_token_mean,exact_match_mean,mean_llm_call_count,mean_total_tokens,mean_api_cost_usd_raw,mean_generation_time_seconds,mean_episode_wall_clock_seconds
direct_multistage_exp3,0.42811958509354253,14.18788305,9.65456051,14.18788305,7.755,1.32,9.075,0.070891,5.04199205,0.50866951,5.04199205,0.25,12.57,49510.08,0.005395984499999999,41.54121611239388,44.84293498747051
risky_ps_safe_conditional,0.4427542712733856,14.672876550000002,9.954030229999999,14.672876550000002,8.13,1.26,9.39,0.07089000000000001,5.211986550000001,0.49314023,5.211986550000001,0.2,12.88,51333.36,0.0052609125,45.17824090732262,48.5255462484993
risky_ps_ix,0.4469016369945685,14.81032025,10.174554930000001,14.81032025,8.37,1.24,9.61,0.070911,5.12940925,0.49364393,5.12940925,0.24,12.62,50500.35,0.005254294499999999,41.84399675548077,45.250618108659985
risky_ps_old,0.4492198928786964,14.88714725,10.1158089,14.88714725,8.265,1.26,9.525,0.070582,5.29156525,0.5202268999999999,5.29156525,0.2,12.88,51949.93,0.0055007085,42.18436300402507,45.56904524222016
epsilon_exp3,0.4518225558237779,14.973399500000001,10.264954809999999,14.973399500000001,8.535,1.16,9.695,0.070648,5.2077515000000005,0.49930681,5.2077515000000005,0.18,12.65,50968.42,0.0052787285,42.03706231512129,45.40971732027829
risky_ps_direct_cost,0.4557455853952927,15.1034087,10.463527120000002,15.1034087,8.63,1.26,9.89,0.070715,5.1426937,0.50281212,5.1426937,0.19,12.65,50359.58,0.00533187,41.43340158419684,44.800099916048346
direct_multistage_exp3_local,0.4620135938442969,15.311130499999999,10.678289150000001,15.311130499999999,8.88,1.24,10.12,0.069607,5.1215234999999995,0.48868215,5.1215234999999995,0.13,12.65,50099.02,0.005161899,41.50300704328343,44.88463834946975
risky_ps_safe_conditional_ix,0.46365790434520215,15.365622949999999,10.79314232,15.365622949999999,8.935,1.28,10.215,0.072109,5.07851395,0.50603332,5.07851395,0.23,12.74,50853.13,0.005490637499999999,42.25123942786828,45.614180988017466
random_path,0.4689006216053108,15.539366600000001,11.019255880000001,15.539366600000001,9.13,1.3,10.43,0.07046500000000001,5.0389016,0.5187908800000001,5.0389016,0.21,12.41,49355.1,0.005516223,41.96725845463574,45.28717648409307
naive_mixed_avg,0.4700317803258901,15.5768532,10.63676199,15.5768532,8.985,1.06,10.045,0.07276400000000001,5.459089199999999,0.51899799,5.459089199999999,0.2,13.9,53835.35,0.0055523460000000005,45.55465810578316,48.90296441141516
naive_mixed,0.47189945835847913,15.638748049999998,10.771901680000001,15.638748049999998,8.965,1.24,10.205,0.070704,5.36304405,0.49619768000000003,5.36304405,0.16,13.15,52180.79,0.005229736499999999,42.635321589242665,45.950752655025575
risky_ps,0.47935978726614364,15.885983349999998,11.276636430000002,15.885983349999998,9.435,1.24,10.675,0.07122200000000001,5.13976135,0.53041443,5.13976135,0.2,12.76,51178.87,0.0057275895,42.040095431339,45.4039583654888
risky_ps_linear,0.4794024471937236,15.887397100000001,11.21808525,15.887397100000001,9.29,1.3,10.59,0.07076700000000001,5.2266300999999995,0.55731825,5.2266300999999995,0.14,12.87,51233.86,0.005910231,41.76929556764662,45.178087230995295
