grouping,method,pair_class,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,archetype
method+pair_class,direct_multistage_exp3,agent_deep__task_deep,10,14.6,5.442608900000001,0.07017999999999999,20.1127889,0.1,0.2,0.74,0.8,0.5,1.3,1.0,
method+pair_class,direct_multistage_exp3,agent_deep__task_fast,5,1.4,4.596709,0.07048000000000001,6.067189000000001,0.4,0.8,0.28,0.0,3.6,1.4,5.0,
method+pair_class,direct_multistage_exp3,agent_fast__task_deep,5,17.7,5.4220863999999995,0.06762,23.1897064,0.0,0.2,0.5599999999999999,2.2,0.0,3.2,1.0,
method+pair_class,epsilon_exp3,agent_deep__task_deep,11,14.136363636363637,5.365121363636363,0.07162727272727273,19.573112272727272,0.09090909090909091,0.36363636363636365,0.7636363636363637,0.6363636363636364,0.5454545454545454,1.0909090909090908,1.0,
method+pair_class,epsilon_exp3,agent_deep__task_fast,5,1.3,4.8253072,0.06826000000000002,6.1935672,0.6,1.0,0.28,0.0,3.6,1.4,5.0,
method+pair_class,epsilon_exp3,agent_fast__task_deep,4,8.0,5.77835625,0.0671,13.84545625,0.0,0.5,0.55,2.25,0.0,3.25,1.0,
method+pair_class,risky_ps_linear,agent_deep__task_deep,11,11.272727272727273,5.21292690909091,0.07440909090909092,16.560063272727273,0.2727272727272727,0.2727272727272727,0.8545454545454546,0.36363636363636365,0.36363636363636365,1.0,1.0,
method+pair_class,risky_ps_linear,agent_deep__task_fast,5,1.1,4.5158054,0.0694,5.6852054,0.6,0.8,0.36,0.0,3.2,1.8,5.0,
method+pair_class,risky_ps_linear,agent_fast__task_deep,4,11.0,5.3534232500000005,0.064525,16.41794825,0.0,0.5,0.5,2.25,0.25,3.0,1.0,
method+archetype,direct_multistage_exp3,,16,10.34375,5.0554859375,0.071025,15.4702609375,0.1875,0.4375,0.5375,0.875,1.4375,1.6875,2.25,neutral
method+archetype,direct_multistage_exp3,,4,19.0,5.9080727500000005,0.063975,24.97204775,0.0,0.0,0.75,1.25,0.0,2.25,1.0,trap_like_bad
method+archetype,epsilon_exp3,,17,10.205882352941176,5.387320882352942,0.07075882352941176,15.663962058823529,0.11764705882352941,0.5294117647058824,0.6,0.9411764705882353,1.0588235294117647,1.588235294117647,1.7058823529411764,neutral
method+archetype,epsilon_exp3,,1,20.5,5.72486,0.07010000000000001,26.29496,0.0,0.0,1.0,0.0,0.0,1.0,1.0,trap_like_bad
method+archetype,epsilon_exp3,,2,0.0,4.4734905000000005,0.0623,4.5357905,1.0,1.0,0.4,0.0,3.0,2.0,5.0,trap_like_good
method+archetype,risky_ps_linear,,17,8.147058823529411,4.9460564705882355,0.07201176470588236,13.16512705882353,0.29411764705882354,0.35294117647058826,0.6588235294117647,0.6470588235294118,1.0588235294117647,1.5294117647058822,1.9411764705882353,neutral
method+archetype,risky_ps_linear,,2,17.5,6.3437695000000005,0.06634999999999999,23.9101195,0.0,1.0,0.8,1.0,0.0,2.0,1.0,trap_like_bad
method+archetype,risky_ps_linear,,1,0.0,4.564417,0.06670000000000001,4.631117,1.0,1.0,0.4,0.0,3.0,2.0,5.0,trap_like_good
method,direct_multistage_exp3,,20,12.075,5.2260033,0.06961500000000001,17.3706183,0.15,0.35,0.58,0.95,1.15,1.8,2.0,
method,epsilon_exp3,,20,9.7,5.3128148,0.06988000000000001,15.082694799999999,0.2,0.55,0.6,0.8,1.2,1.6,2.0,
method,risky_ps_linear,,20,8.675,5.0667458000000005,0.07118000000000001,13.812925799999999,0.3,0.45,0.6599999999999999,0.65,1.05,1.6,2.0,
pair_class,,agent_deep__task_deep,32,13.296875,5.337019375,0.07213125000000001,18.706025625,0.15625,0.28125,0.7875,0.59375,0.46875,1.125,1.0,
pair_class,,agent_deep__task_fast,15,1.2666666666666666,4.6459405333333335,0.06938000000000001,5.981987200000001,0.5333333333333333,0.8666666666666667,0.3066666666666667,0.0,3.466666666666667,1.5333333333333334,5.0,
pair_class,,agent_fast__task_deep,13,12.653846153846153,5.51058076923077,0.06650769230769231,18.230934615384616,0.0,0.38461538461538464,0.5384615384615384,2.230769230769231,0.07692307692307693,3.1538461538461537,1.0,
