grouping,method,pair,n_stage_observations,stage_tokens_mean,episode_terminal_mean,episode_reasoning_mean,episode_total_mean,exact_rate,stage
method+pair,direct_multistage_exp3,D/D,41,14427.46243902439,14.609756097560975,5.431360146341463,20.111072341463412,0.0975609756097561,
method+pair,direct_multistage_exp3,D/F,23,8606.521739130434,4.043478260869565,4.7944828260869565,8.908900217391304,0.34782608695652173,
method+pair,direct_multistage_exp3,F/D,19,6560.298947368421,17.842105263157894,5.445279894736842,23.35535357894737,0.0,
method+pair,direct_multistage_exp3,F/F,17,4180.17411764706,10.382352941176471,5.069478882352941,15.520673000000002,0.17647058823529413,
method+pair,epsilon_exp3,D/D,44,14864.40818181818,13.090909090909092,5.424987499999999,18.58724659090909,0.09090909090909091,
method+pair,epsilon_exp3,D/F,24,8948.59375,5.020833333333333,5.1032357500000005,10.194006583333334,0.4166666666666667,
method+pair,epsilon_exp3,F/D,16,5733.75,10.875,5.613724375,16.556586875,0.0,
method+pair,epsilon_exp3,F/F,16,4164.03,6.21875,5.017798875,11.304317625,0.375,
method+pair,risky_ps_linear,D/D,47,13496.07659574468,11.202127659574469,5.245322340425532,16.520771276595745,0.2553191489361702,
method+pair,risky_ps_linear,D/F,21,9179.908571428572,4.071428571428571,4.767149571428571,8.908711476190476,0.42857142857142855,
method+pair,risky_ps_linear,F/D,13,6233.176923076923,11.192307692307692,5.268723538461539,16.527208153846153,0.0,
method+pair,risky_ps_linear,F/F,19,3932.751578947368,5.7894736842105265,4.817941210526317,10.677878052631579,0.47368421052631576,
pair,,D/D,132,14241.481212121213,12.890151515151516,5.362995196969697,18.324765651515154,0.15151515151515152,
pair,,D/F,68,8904.32838235294,4.397058823529412,4.895013294117647,9.362408882352941,0.39705882352941174,
pair,,F/D,48,6196.187083333333,13.71875,5.453610708333334,19.239808625,0.0,
pair,,F/F,52,4084.8023076923077,7.423076923076923,4.961669346153846,12.453850115384615,0.34615384615384615,
method+stage+pair,direct_multistage_exp3,D/F,8,7754.0,9.1875,5.101654375,14.360429374999999,0.125,stage1
method+stage+pair,direct_multistage_exp3,F/F,12,3688.7466666666664,14.0,5.308902583333333,19.377410916666665,0.16666666666666666,stage1
method+stage+pair,direct_multistage_exp3,D/D,6,7710.079999999999,11.916666666666666,5.536294833333334,17.523144833333333,0.16666666666666666,stage2
method+stage+pair,direct_multistage_exp3,D/F,2,6957.0,0.75,4.8748275,5.695377499999999,0.5,stage2
method+stage+pair,direct_multistage_exp3,F/D,9,3573.0133333333333,18.11111111111111,5.368750222222222,23.54861688888889,0.0,stage2
method+stage+pair,direct_multistage_exp3,F/F,3,3448.6666666666665,1.8333333333333333,4.411296666666666,6.315063333333334,0.3333333333333333,stage2
method+stage+pair,direct_multistage_exp3,D/D,10,5973.397999999999,14.8,5.3361814,20.2051014,0.1,stage3
method+stage+pair,direct_multistage_exp3,D/F,4,5627.5,1.375,4.473095,5.91847,0.5,stage3
method+stage+pair,direct_multistage_exp3,F/D,5,5758.14,17.3,5.6349414,23.0050814,0.0,stage3
method+stage+pair,direct_multistage_exp3,F/F,1,5342.0,1.5,5.091165,6.662065,0.0,stage3
method+stage+pair,direct_multistage_exp3,D/D,13,21360.166153846152,15.307692307692308,5.4276279999999995,20.80568953846154,0.07692307692307693,stage4
method+stage+pair,direct_multistage_exp3,D/F,4,13480.5,1.375,4.7085725,6.1551725,0.5,stage4
method+stage+pair,direct_multistage_exp3,F/D,2,13888.84,17.75,5.4886785,23.3012285,0.0,stage4
method+stage+pair,direct_multistage_exp3,F/F,1,11110.0,1.5,4.149255,5.715255,0.0,stage4
method+stage+pair,direct_multistage_exp3,D/D,12,17320.778333333332,15.041666666666666,5.462251583333334,20.574176583333333,0.08333333333333333,stage5
method+stage+pair,direct_multistage_exp3,D/F,5,9114.4,1.4,4.596709,6.067189000000001,0.4,stage5
method+stage+pair,direct_multistage_exp3,F/D,3,11973.393333333333,18.0,5.329834,23.395433999999998,0.0,stage5
