method,snapshot_episode_index,snapshot_episode_1based,prefix_depth,prefix,parent_id,rank,child_id,child_prefix,prob,child_count,distribution_kind,freeze_mode
direct_multistage_exp3,25,26,0,[],ROOT,1,stage1_n1__from__root__c01,['stage1_n1__from__root__c01'],0.15457160512357912,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,0,[],ROOT,2,stage1_n2__from__root__c02,['stage1_n2__from__root__c02'],0.09414103443519249,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,0,[],ROOT,3,stage1_n3__from__root__c03,['stage1_n3__from__root__c03'],0.3462579958576717,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,0,[],ROOT,4,stage1_n4__from__root__c04,['stage1_n4__from__root__c04'],0.35587765400761295,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,0,[],ROOT,5,stage1_n5__from__root__c05,['stage1_n5__from__root__c05'],0.04915171057594379,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,1,stage2_n1__from__n0001__c01,"['stage1_n1__from__root__c01', 'stage2_n1__from__n0001__c01']",0.7212845408813963,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,2,stage2_n2__from__n0001__c02,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02']",0.07991329870571434,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,3,stage2_n3__from__n0001__c03,"['stage1_n1__from__root__c01', 'stage2_n3__from__n0001__c03']",0.19880216041288942,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,1,stage2_n1__from__n0002__c01,"['stage1_n2__from__root__c02', 'stage2_n1__from__n0002__c01']",0.6894960392015423,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,2,stage2_n2__from__n0002__c02,"['stage1_n2__from__root__c02', 'stage2_n2__from__n0002__c02']",0.2485303343339946,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,3,stage2_n3__from__n0002__c03,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03']",0.06197362646446314,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n3__from__root__c03'],stage1_n3__from__root__c03,1,stage2_n1__from__n0003__c01,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01']",0.6033046890463413,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n3__from__root__c03'],stage1_n3__from__root__c03,2,stage2_n2__from__n0003__c02,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02']",0.26790725843809554,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n3__from__root__c03'],stage1_n3__from__root__c03,3,stage2_n3__from__n0003__c03,"['stage1_n3__from__root__c03', 'stage2_n3__from__n0003__c03']",0.1287880525155633,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n4__from__root__c04'],stage1_n4__from__root__c04,1,stage2_n1__from__n0004__c01,"['stage1_n4__from__root__c04', 'stage2_n1__from__n0004__c01']",0.3536564413607955,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n4__from__root__c04'],stage1_n4__from__root__c04,2,stage2_n2__from__n0004__c02,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02']",0.23472766706531184,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n4__from__root__c04'],stage1_n4__from__root__c04,3,stage2_n3__from__n0004__c03,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c03']",0.05647510162453603,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n4__from__root__c04'],stage1_n4__from__root__c04,4,stage2_n4__from__n0004__c04,"['stage1_n4__from__root__c04', 'stage2_n4__from__n0004__c04']",0.16403455114586907,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n4__from__root__c04'],stage1_n4__from__root__c04,5,stage2_n5__from__n0004__c05,"['stage1_n4__from__root__c04', 'stage2_n5__from__n0004__c05']",0.19110623880348754,5,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
direct_multistage_exp3,25,26,1,['stage1_n5__from__root__c05'],stage1_n5__from__root__c05,1,stage2_n3__from__n0005__c01,"['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01']",0.7079968159262425,3,stagewise_marginal_mixture,full_tree_child_marginal_at_switch
