method,episode_1based,phase,expected_terminal_action,terminal_cost,reasoning_cost,total_cost,clear_execution_success,assistant_execution_status,actual_modes,required_modes,majority_pair,mismatch_bucket,final_action
direct_multistage_exp3,1,pre_switch,repair_all,1.5,5.163465,6.734365,False,not_required,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,2,pre_switch,repair_all,0.0,4.564055,4.630955,True,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,3,pre_switch,repair_all,0.0,4.69529,4.76549,True,not_required,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,4,pre_switch,repair_subset,6.0,5.319945,11.398344999999999,False,assistant_required_but_no_tool_or_not_clean,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_subset
direct_multistage_exp3,5,pre_switch,repair_all,1.5,4.134205,5.7002049999999995,False,not_required,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,6,pre_switch,repair_all,1.5,3.47242,5.04642,False,not_required,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,7,pre_switch,repair_all,1.5,4.53687,6.102970000000001,False,not_required,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,8,pre_switch,repair_all,0.0,7.02191,7.09311,True,not_required,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,9,pre_switch,repair_all,0.0,12.032765,12.104365,True,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,10,pre_switch,repair_all,1.5,4.18844,5.75624,False,not_required,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,11,pre_switch,repair_all,1.5,4.93448,6.49618,False,not_required,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,repair_all
direct_multistage_exp3,12,pre_switch,repair_all,0.0,3.219545,3.284745,True,not_required,fast/fast/deep/fast/fast,fast/fast/fast/fast/fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,repair_all
