method,stage,mode_pair,episode_count,terminal_cost_avg,reasoning_cost_avg,total_cost_avg,exact_match_rate,clear_execution_success_rate,assistant_required_count,assistant_execution_success_rate_applicable,actual_majority_distribution,required_majority_distribution
direct_multistage_exp3,stage1,deep_path__fast_task,38,9.763157894736842,5.465943947368421,15.301346578947369,0.0,0.15789473684210525,0,0.0,"{""deep"": 38}","{""fast"": 38}"
direct_multistage_exp3,stage1,fast_path__fast_task,62,8.346774193548388,5.091192822580645,13.508294435483872,0.0,0.11290322580645161,0,0.0,"{""fast"": 62}","{""fast"": 62}"
direct_multistage_exp3,stage2,deep_path__deep_task,41,11.731707317073171,5.1955239024390245,17.001167804878047,0.0,0.04878048780487805,0,0.0,"{""deep"": 41}","{""deep"": 41}"
direct_multistage_exp3,stage2,deep_path__fast_task,9,1.3888888888888888,5.52285,6.983505555555555,0.0,0.3333333333333333,0,0.0,"{""deep"": 9}","{""fast"": 9}"
direct_multistage_exp3,stage2,fast_path__deep_task,34,10.955882352941176,5.2589789705882355,16.283493676470588,0.0,0.029411764705882353,0,0.0,"{""fast"": 34}","{""deep"": 34}"
direct_multistage_exp3,stage2,fast_path__fast_task,16,1.40625,5.114525625,6.589200625,0.0,0.4375,0,0.0,"{""fast"": 16}","{""fast"": 16}"
direct_multistage_exp3,stage3,deep_path__deep_task,60,10.7,5.16919475,15.942288083333333,0.0,0.05,0,0.0,"{""deep"": 60}","{""deep"": 60}"
direct_multistage_exp3,stage3,deep_path__fast_task,20,1.525,5.382775499999999,6.977235500000001,0.0,0.4,0,0.0,"{""deep"": 20}","{""fast"": 20}"
direct_multistage_exp3,stage3,fast_path__deep_task,15,14.1,5.444672,19.609958666666667,0.0,0.0,0,0.0,"{""fast"": 15}","{""deep"": 15}"
direct_multistage_exp3,stage3,fast_path__fast_task,5,0.9,4.77651,5.74681,0.0,0.4,0,0.0,"{""fast"": 5}","{""fast"": 5}"
direct_multistage_exp3,stage4,deep_path__deep_task,67,11.888059701492537,5.1890324626865665,17.149581716417913,0.0,0.04477611940298507,0,0.0,"{""deep"": 67}","{""deep"": 67}"
direct_multistage_exp3,stage4,deep_path__fast_task,21,1.5952380952380953,5.568042857142857,7.233938095238095,0.0,0.3333333333333333,0,0.0,"{""deep"": 21}","{""fast"": 21}"
direct_multistage_exp3,stage4,fast_path__deep_task,8,7.125,5.51957375,12.708086250000001,0.0,0.0,0,0.0,"{""fast"": 8}","{""deep"": 8}"
direct_multistage_exp3,stage4,fast_path__fast_task,4,0.375,3.65229,4.091514999999999,0.0,0.75,0,0.0,"{""fast"": 4}","{""fast"": 4}"
direct_multistage_exp3,stage5,deep_path__deep_task,69,10.91304347826087,5.253838768115942,16.238960507246375,0.0,0.043478260869565216,0,0.0,"{""deep"": 69}","{""deep"": 69}"
direct_multistage_exp3,stage5,deep_path__fast_task,22,1.5909090909090908,5.322825227272727,6.984147954545454,0.0,0.3181818181818182,0,0.0,"{""deep"": 22}","{""fast"": 22}"
direct_multistage_exp3,stage5,fast_path__deep_task,6,16.75,4.884481666666667,21.69973166666667,0.0,0.0,0,0.0,"{""fast"": 6}","{""deep"": 6}"
direct_multistage_exp3,stage5,fast_path__fast_task,3,0.0,4.811968333333334,4.8758349999999995,0.0,1.0,0,0.0,"{""fast"": 3}","{""fast"": 3}"
epsilon_exp3,stage1,deep_path__fast_task,38,8.06578947368421,5.373200263157895,13.510634473684211,0.0,0.18421052631578946,0,0.0,"{""deep"": 38}","{""fast"": 38}"
epsilon_exp3,stage1,fast_path__fast_task,62,8.862903225806452,4.943828548387097,13.87860435483871,0.0,0.12903225806451613,0,0.0,"{""fast"": 62}","{""fast"": 62}"
epsilon_exp3,stage2,deep_path__deep_task,35,10.0,5.04096,15.116811428571427,0.0,0.08571428571428572,0,0.0,"{""deep"": 35}","{""deep"": 35}"
epsilon_exp3,stage2,deep_path__fast_task,11,2.0454545454545454,4.990429090909091,7.107874545454546,0.0,0.2727272727272727,0,0.0,"{""deep"": 11}","{""fast"": 11}"
epsilon_exp3,stage2,fast_path__deep_task,40,11.825,5.133077875,17.027720375,0.0,0.05,0,0.0,"{""fast"": 40}","{""deep"": 40}"
epsilon_exp3,stage2,fast_path__fast_task,14,0.75,5.2891103571428575,6.106696071428572,0.0,0.5,0,0.0,"{""fast"": 14}","{""fast"": 14}"
epsilon_exp3,stage3,deep_path__deep_task,66,11.265151515151516,5.093474924242424,16.431630984848482,0.0,0.06060606060606061,0,0.0,"{""deep"": 66}","{""deep"": 66}"
epsilon_exp3,stage3,deep_path__fast_task,19,1.4210526315789473,5.469556052631579,6.961092894736842,0.0,0.42105263157894735,0,0.0,"{""deep"": 19}","{""fast"": 19}"
epsilon_exp3,stage3,fast_path__deep_task,9,8.833333333333334,5.065263333333333,13.96773,0.0,0.1111111111111111,0,0.0,"{""fast"": 9}","{""deep"": 9}"
epsilon_exp3,stage3,fast_path__fast_task,6,1.0,4.170116666666667,5.2366,0.0,0.3333333333333333,0,0.0,"{""fast"": 6}","{""fast"": 6}"
