method,phase,expected_terminal_action,episode_count,terminal_cost_avg,reasoning_cost_avg,total_cost_avg,exact_match_rate,clear_execution_success_rate,assistant_required_count,assistant_execution_success_rate_applicable,actual_majority_distribution,required_majority_distribution
direct_multistage_exp3,post_switch,repair_all,15,11.3,5.444869,16.818855666666668,0.2,0.2,0,0.0,"{""mostly_deep"": 15}","{""mostly_deep"": 15}"
direct_multistage_exp3,post_switch,repair_subset,53,12.69811320754717,5.219870188679245,17.98878716981132,0.11320754716981132,0.0,53,0.0,"{""mostly_deep"": 42, ""mostly_fast"": 11}","{""mostly_deep"": 53}"
direct_multistage_exp3,post_switch,transfer,7,1.5714285714285714,4.785087142857143,6.428301428571429,0.0,0.0,7,0.0,"{""mostly_deep"": 7}","{""mostly_deep"": 7}"
direct_multistage_exp3,pre_switch,repair_all,22,0.8181818181818182,5.2855325,6.1732688636363635,0.45454545454545453,0.45454545454545453,0,0.0,"{""mostly_deep"": 16, ""mostly_fast"": 6}","{""mostly_fast"": 22}"
direct_multistage_exp3,pre_switch,repair_subset,3,5.666666666666667,5.085448333333333,10.822281666666667,0.0,0.0,3,0.0,"{""mostly_deep"": 3}","{""mostly_fast"": 3}"
epsilon_exp3,post_switch,repair_all,15,8.833333333333334,5.299477333333333,14.205857333333334,0.3333333333333333,0.3333333333333333,0,0.0,"{""mostly_deep"": 14, ""mostly_fast"": 1}","{""mostly_deep"": 15}"
epsilon_exp3,post_switch,repair_subset,53,12.858490566037736,5.081530094339623,18.012292358490566,0.16981132075471697,0.0,53,0.0,"{""mostly_deep"": 46, ""mostly_fast"": 7}","{""mostly_deep"": 53}"
epsilon_exp3,post_switch,transfer,7,1.2857142857142858,4.706208571428571,6.065408571428571,0.0,0.0,7,0.0,"{""mostly_deep"": 6, ""mostly_fast"": 1}","{""mostly_deep"": 7}"
epsilon_exp3,pre_switch,repair_all,22,0.8181818181818182,5.169107954545455,6.056026136363636,0.45454545454545453,0.45454545454545453,0,0.0,"{""mostly_deep"": 18, ""mostly_fast"": 4}","{""mostly_fast"": 22}"
epsilon_exp3,pre_switch,repair_subset,3,5.0,5.073963333333333,10.149263333333334,0.0,0.0,3,0.0,"{""mostly_deep"": 3}","{""mostly_fast"": 3}"
risky_ps_linear,post_switch,repair_all,15,12.066666666666666,5.389292,17.525112,0.06666666666666667,0.06666666666666667,0,0.0,"{""mostly_deep"": 9, ""mostly_fast"": 6}","{""mostly_deep"": 15}"
risky_ps_linear,post_switch,repair_subset,53,11.037735849056604,5.136509811320755,16.24450037735849,0.24528301886792453,0.0,53,0.0,"{""mostly_deep"": 40, ""mostly_fast"": 13}","{""mostly_deep"": 53}"
risky_ps_linear,post_switch,transfer,7,1.2857142857142858,4.850661428571429,6.206761428571428,0.0,0.0,7,0.0,"{""mostly_deep"": 4, ""mostly_fast"": 3}","{""mostly_deep"": 7}"
risky_ps_linear,pre_switch,repair_all,22,0.8181818181818182,5.239636363636364,6.128781818181818,0.45454545454545453,0.45454545454545453,0,0.0,"{""mostly_deep"": 20, ""mostly_fast"": 2}","{""mostly_fast"": 22}"
risky_ps_linear,pre_switch,repair_subset,3,7.0,4.786718333333334,11.860585,0.0,0.0,3,0.0,"{""mostly_deep"": 2, ""mostly_fast"": 1}","{""mostly_fast"": 3}"
