method,snapshot_episode_index,snapshot_episode_1based,prefix_depth,prefix,parent_id,rank,child_id,child_prefix,prob,child_count,distribution_kind,freeze_mode
risky_ps_linear,25,26,0,[],ROOT,1,stage1_n1__from__root__c01,['stage1_n1__from__root__c01'],0.2647119846399984,5,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,0,[],ROOT,2,stage1_n2__from__root__c02,['stage1_n2__from__root__c02'],0.11518272847723598,5,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,0,[],ROOT,3,stage1_n3__from__root__c03,['stage1_n3__from__root__c03'],0.0786511065108711,5,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,0,[],ROOT,4,stage1_n4__from__root__c04,['stage1_n4__from__root__c04'],0.2522679082554875,5,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,0,[],ROOT,5,stage1_n5__from__root__c05,['stage1_n5__from__root__c05'],0.28918627211640696,5,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,1,stage2_n1__from__n0001__c01,"['stage1_n1__from__root__c01', 'stage2_n1__from__n0001__c01']",0.053470246989224174,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,2,stage2_n2__from__n0001__c02,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02']",0.39820348054198623,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n1__from__root__c01'],stage1_n1__from__root__c01,3,stage2_n3__from__n0001__c03,"['stage1_n1__from__root__c01', 'stage2_n3__from__n0001__c03']",0.5483262724687896,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,1,stage2_n1__from__n0002__c01,"['stage1_n2__from__root__c02', 'stage2_n1__from__n0002__c01']",0.7618194250754989,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,2,stage2_n2__from__n0002__c02,"['stage1_n2__from__root__c02', 'stage2_n2__from__n0002__c02']",0.22718999357922096,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n2__from__root__c02'],stage1_n2__from__root__c02,3,stage2_n3__from__n0002__c03,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03']",0.010990581345280102,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n3__from__root__c03'],stage1_n3__from__root__c03,1,stage2_n1__from__n0003__c01,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01']",0.3533504663763929,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
risky_ps_linear,25,26,1,['stage1_n3__from__root__c03'],stage1_n3__from__root__c03,2,stage2_n2__from__n0003__c02,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02']",0.2926915080713844,3,ps_risky_marginal_mixture,full_tree_child_marginal_at_switch
