method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,total,exact,strict_clean
direct_multistage_exp3,ALL,deep,deep,40,15,9.6375,4.98506425,14.69153425,0.075,0.0
direct_multistage_exp3,ALL,deep,fast,20,12,11.125,5.2512555,16.4430355,0.05,0.0
direct_multistage_exp3,ALL,fast,deep,22,9,3.3181818181818183,4.942152272727273,8.330734090909091,0.36363636363636365,0.36363636363636365
direct_multistage_exp3,ALL,fast,fast,18,16,6.888888888888889,4.804284444444445,11.761884444444444,0.16666666666666666,0.1111111111111111
direct_multistage_exp3,stage1,fast,deep,7,7,6.785714285714286,5.296942142857143,12.152285000000001,0.14285714285714285,0.14285714285714285
direct_multistage_exp3,stage1,fast,fast,13,13,8.73076923076923,4.834448846153846,13.633571923076923,0.15384615384615385,0.07692307692307693
direct_multistage_exp3,stage2,deep,deep,6,6,8.666666666666666,4.834711666666666,13.569661666666667,0.16666666666666666,0.0
direct_multistage_exp3,stage2,deep,fast,9,9,11.11111111111111,5.233183333333333,16.412505555555555,0.0,0.0
direct_multistage_exp3,stage2,fast,deep,2,2,0.75,4.91262,5.733169999999999,0.5,0.5
direct_multistage_exp3,stage2,fast,fast,3,3,2.5,4.664756666666666,7.23519,0.3333333333333333,0.3333333333333333
direct_multistage_exp3,stage3,deep,deep,10,10,10.35,4.940196,15.358236,0.0,0.0
direct_multistage_exp3,stage3,deep,fast,5,5,9.7,5.340992,15.109632,0.2,0.0
direct_multistage_exp3,stage3,fast,deep,4,4,1.875,4.672965,6.61834,0.5,0.5
direct_multistage_exp3,stage3,fast,fast,1,1,1.5,5.12765,6.69855,0.0,0.0
direct_multistage_exp3,stage4,deep,deep,13,13,9.384615384615385,5.081310769230769,14.53501076923077,0.07692307692307693,0.0
direct_multistage_exp3,stage4,deep,fast,2,2,15.0,5.02494,20.08769,0.0,0.0
direct_multistage_exp3,stage4,fast,deep,4,4,1.875,4.82803625,6.77463625,0.5,0.5
direct_multistage_exp3,stage4,fast,fast,1,1,1.5,4.507365,6.073365,0.0,0.0
direct_multistage_exp3,stage5,deep,deep,11,11,9.818181818181818,4.994118181818181,14.882354545454545,0.09090909090909091,0.0
direct_multistage_exp3,stage5,deep,fast,4,4,11.0,5.292905,16.356154999999998,0.0,0.0
direct_multistage_exp3,stage5,fast,deep,5,5,1.8,4.763902,6.634382,0.4,0.4
epsilon_exp3,ALL,deep,deep,45,15,14.533333333333333,5.135439222222222,19.738772555555556,0.17777777777777778,0.0
epsilon_exp3,ALL,deep,fast,15,11,16.133333333333333,5.358278333333333,21.558545,0.0,0.0
epsilon_exp3,ALL,fast,deep,24,11,5.041666666666667,5.244744791666666,10.356061458333334,0.2916666666666667,0.25
epsilon_exp3,ALL,fast,fast,16,13,8.9375,4.8651146875,13.8697021875,0.3125,0.25
epsilon_exp3,stage1,fast,deep,8,8,11.3125,5.417314375,16.799439375,0.25,0.125
epsilon_exp3,stage1,fast,fast,12,12,11.791666666666666,4.974867916666667,16.835101249999997,0.16666666666666666,0.08333333333333333
epsilon_exp3,stage2,deep,deep,5,5,11.6,5.052234,16.724154,0.4,0.0
epsilon_exp3,stage2,deep,fast,10,10,16.6,5.2606065,21.9284965,0.0,0.0
epsilon_exp3,stage2,fast,deep,3,3,2.1666666666666665,5.328576666666667,7.566176666666666,0.3333333333333333,0.3333333333333333
epsilon_exp3,stage2,fast,fast,2,2,0.75,4.5919825,5.4062325,0.5,0.5
epsilon_exp3,stage3,deep,deep,11,11,15.136363636363637,5.119318181818182,20.326527272727272,0.18181818181818182,0.0
epsilon_exp3,stage3,deep,fast,4,4,14.375,5.38868375,19.82848375,0.0,0.0
epsilon_exp3,stage3,fast,deep,5,5,1.6,5.033939,6.702199,0.4,0.4
epsilon_exp3,stage4,deep,deep,14,14,14.678571428571429,5.118132857142856,19.866175714285713,0.14285714285714285,0.0
epsilon_exp3,stage4,deep,fast,1,1,18.5,6.213375,24.779275,0.0,0.0
epsilon_exp3,stage4,fast,deep,5,5,1.6,5.033939,6.702199,0.4,0.4
epsilon_exp3,stage5,deep,deep,15,15,14.933333333333334,5.191148999999999,20.193715666666666,0.13333333333333333,0.0
epsilon_exp3,stage5,fast,deep,3,3,2.6666666666666665,5.403413333333333,8.143146666666667,0.0,0.0
epsilon_exp3,stage5,fast,fast,2,2,0.0,4.4797275,4.5407775,1.0,1.0
risky_ps_linear,ALL,deep,deep,43,15,10.511627906976743,5.115573488372093,15.699682790697675,0.18604651162790697,0.0
risky_ps_linear,ALL,deep,fast,17,9,12.352941176470589,5.386671764705882,17.80477176470588,0.0,0.0
risky_ps_linear,ALL,fast,deep,19,8,3.9473684210526314,4.599201315789474,8.616043421052632,0.3157894736842105,0.3157894736842105
risky_ps_linear,ALL,fast,fast,21,17,5.976190476190476,4.775378333333333,10.821621190476192,0.2857142857142857,0.19047619047619047
risky_ps_linear,stage1,fast,deep,6,6,9.25,5.010323333333333,14.328406666666666,0.16666666666666666,0.16666666666666666
risky_ps_linear,stage1,fast,fast,14,14,8.357142857142858,4.9843021428571435,13.412487857142859,0.21428571428571427,0.07142857142857142
risky_ps_linear,stage2,deep,deep,8,8,9.375,5.04109,14.4902275,0.25,0.0
risky_ps_linear,stage2,deep,fast,7,7,12.928571428571429,5.365292857142856,18.360007142857143,0.0,0.0
risky_ps_linear,stage2,fast,fast,5,5,1.4,4.39128,5.86068,0.4,0.4
risky_ps_linear,stage3,deep,deep,11,11,9.772727272727273,5.082067727272727,14.927495,0.18181818181818182,0.0
risky_ps_linear,stage3,deep,fast,4,4,14.5,5.4957562499999995,20.05985625,0.0,0.0
risky_ps_linear,stage3,fast,deep,4,4,1.375,4.4102425,5.8559425,0.5,0.5
risky_ps_linear,stage3,fast,fast,1,1,1.5,4.31543,5.879630000000001,0.0,0.0
risky_ps_linear,stage4,deep,deep,13,13,11.5,5.155127692307692,16.726766153846153,0.15384615384615385,0.0
risky_ps_linear,stage4,deep,fast,2,2,8.0,5.434555,13.496955,0.0,0.0
risky_ps_linear,stage4,fast,deep,5,5,1.4,4.39128,5.86068,0.4,0.4
risky_ps_linear,stage5,deep,deep,11,11,10.909090909090908,5.156503181818182,16.137648636363636,0.18181818181818182,0.0
risky_ps_linear,stage5,deep,fast,4,4,11.375,5.2910587499999995,16.73193375,0.0,0.0
risky_ps_linear,stage5,fast,deep,4,4,1.75,4.43137875,6.2518037500000005,0.25,0.25
risky_ps_linear,stage5,fast,fast,1,1,0.0,4.230885,4.2961849999999995,1.0,1.0
