experiment,seed,method_short,method,regime,horizon,pre_episode_count,post_episode_count,switch_episode_index,switch_episode_1based,pre_cumulative_cost,pre_cumulative_cost_avg,post_cost,post_cost_avg,total_cost,total_cost_avg,oracle_pre_cost_avg,oracle_post_cost_avg,oracle_total_cost_avg,pre_regret_avg,post_regret_avg,total_regret_avg,post_target_good_fraction,post_target_bad_fraction,post_trap_basin_fraction
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,20,5,15,5,6,1.0,0.2,10.0,0.6666666666666666,11.0,0.55,0.057943795632046644,0.01,0.021985948908011664,0.14205620436795335,0.6566666666666666,0.5280140510919884,0.0,0.13333333333333333,0.06666666666666667
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,20,5,15,5,6,1.0,0.2,11.0,0.7333333333333333,12.0,0.6,0.057943795632046644,0.01,0.021985948908011664,0.14205620436795335,0.7233333333333333,0.5780140510919883,0.06666666666666667,0.2,0.06666666666666667
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,freeze_layer1_post_switch,20,5,15,5,6,1.0,0.2,13.0,0.8666666666666667,14.0,0.7,0.057943795632046644,0.01,0.021985948908011664,0.14205620436795335,0.8566666666666667,0.6780140510919883,0.0,0.26666666666666666,0.13333333333333333
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,freeze_layer1_post_switch,20,5,15,5,6,1.0,0.2,9.0,0.6,10.0,0.5,0.057943795632046644,0.01,0.021985948908011664,0.14205620436795335,0.59,0.47801405109198836,0.06666666666666667,0.2,0.0
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,dynamic,20,5,15,5,6,3.0,0.6,10.0,0.6666666666666666,13.0,0.65,0.057943795632046644,0.01,0.021985948908011664,0.5420562043679533,0.6566666666666666,0.6280140510919884,0.13333333333333333,0.13333333333333333,0.0
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,dynamic,20,5,15,5,6,4.0,0.8,12.0,0.8,16.0,0.8,0.057943795632046644,0.01,0.021985948908011664,0.7420562043679533,0.7899999999999999,0.7780140510919884,0.13333333333333333,0.4,0.06666666666666667
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,exp,direct_multistage_exp3,freeze_layer1_post_switch,20,5,15,5,6,3.0,0.6,12.0,0.8,15.0,0.75,0.057943795632046644,0.01,0.021985948908011664,0.5420562043679533,0.7899999999999999,0.7280140510919884,0.13333333333333333,0.13333333333333333,0.13333333333333333
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,exp,direct_multistage_exp3,freeze_layer1_post_switch,20,5,15,5,6,4.0,0.8,13.0,0.8666666666666667,17.0,0.85,0.057943795632046644,0.01,0.021985948908011664,0.7420562043679533,0.8566666666666667,0.8280140510919883,0.0,0.26666666666666666,0.06666666666666667
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,dynamic,20,5,15,5,6,3.0,0.6,8.0,0.5333333333333333,11.0,0.55,0.057943795632046644,0.01,0.021985948908011664,0.5420562043679533,0.5233333333333333,0.5280140510919884,0.2,0.13333333333333333,0.13333333333333333
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,dynamic,20,5,15,5,6,4.0,0.8,11.0,0.7333333333333333,15.0,0.75,0.057943795632046644,0.01,0.021985948908011664,0.7420562043679533,0.7233333333333333,0.7280140510919884,0.13333333333333333,0.06666666666666667,0.13333333333333333
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,ps,risky_ps_linear,freeze_layer1_post_switch,20,5,15,5,6,3.0,0.6,10.0,0.6666666666666666,13.0,0.65,0.057943795632046644,0.01,0.021985948908011664,0.5420562043679533,0.6566666666666666,0.6280140510919884,0.06666666666666667,0.2,0.06666666666666667
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,ps,risky_ps_linear,freeze_layer1_post_switch,20,5,15,5,6,4.0,0.8,12.0,0.8,16.0,0.8,0.057943795632046644,0.01,0.021985948908011664,0.7420562043679533,0.7899999999999999,0.7780140510919884,0.13333333333333333,0.13333333333333333,0.06666666666666667
