experiment,seed,method_short,method,regime,snapshot_episode_index,snapshot_episode_1based,rank,child_id,base_alias,prob,distribution_kind
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,0,eps,epsilon_exp3,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.05430690274040278,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,5,6,1,stage1_n1__from__root__c01,stage1_n1,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,5,6,2,stage1_n2__from__root__c02,stage1_n2,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,5,6,3,stage1_n3__from__root__c03,stage1_n3,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,5,6,4,stage1_n4__from__root__c04,stage1_n4,0.23642327431489932,stagewise_marginal_mixture
llm_v5_no_archetype_intervention_layer1_d4_eta03_eps001_r2_3methods_fixed_layer1_prob_sanity,1,eps,epsilon_exp3,dynamic,5,6,5,stage1_n5__from__root__c05,stage1_n5,0.05430690274040278,stagewise_marginal_mixture
