method,episode_index,episode_1based,repeat_index,dataset_index,schedule_phase,task_bucket,is_specialist_task,oracle_action,final_action,raw_terminal_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,policy_clean,subset_clean,strict_clean_success,assistant_required,assistant_side_mutating_tool_calls_made,mutating_tool_calls_made,tool_calls_made,assistant_success_proxy,actual_modes,required_modes,root_child_id,root_selection_mode,root_conditional_prob,freeze_active,original_task_id,match_count,fast_on_deep_count,deep_on_fast_count,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,mismatch_bucket,majority_pair
direct_multistage_exp3,0,1,0,19,trap_pre_switch,trap_favoring,False,repair_all,repair_all,1.5,5.40531,0.0709,6.97621,False,True,False,False,False,0,4,24,,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,stage1_n5__from__root__c05,direct_exploit,0.2,False,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],2,0,3,2,3,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required
direct_multistage_exp3,1,2,0,13,trap_pre_switch,trap_favoring,False,repair_all,repair_all,0.0,4.575095,0.0669,4.6419950000000005,True,True,True,True,False,0,3,23,,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,stage1_n2__from__root__c02,direct_exploit,0.21145074210443576,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required
direct_multistage_exp3,2,3,0,7,trap_pre_switch,trap_favoring,False,repair_all,repair_all,0.0,5.00694,0.07020000000000001,5.07714,True,True,True,True,False,0,3,24,,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,stage1_n5__from__root__c05,direct_exploit,0.16030623393898524,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required
direct_multistage_exp3,3,4,0,25,trap_pre_switch,trap_favoring,False,repair_subset,repair_subset,4.0,4.87846,0.07840000000000001,8.956859999999999,False,False,False,False,True,0,3,24,False,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,stage1_n2__from__root__c02,direct_exploit,0.18770957540512062,False,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],1,0,4,1,4,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required
direct_multistage_exp3,4,5,0,36,trap_pre_switch,trap_favoring,False,repair_all,repair_all,1.5,4.10649,0.066,5.67249,False,True,False,False,False,0,2,21,,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,stage1_n2__from__root__c02,direct_exploit,0.1304578535594549,False,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],2,0,3,2,3,5,0,deep_on_fast_required,mostly_deep_vs_mostly_fast_required
direct_multistage_exp3,5,6,0,35,target_post_switch,target_favoring,True,repair_subset,repair_subset,13.0,7.95337,0.074,21.027369999999998,False,False,False,False,True,1,10,35,False,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,stage1_n1__from__root__c01,frozen_root_post_switch,0.2559831758438228,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required
direct_multistage_exp3,6,7,0,51,target_post_switch,target_favoring,True,repair_subset,repair_subset,13.0,5.902045,0.0661,18.968145,False,False,False,False,True,0,5,27,False,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,stage1_n3__from__root__c03,frozen_root_post_switch,0.2559831758438228,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],3,1,1,1,4,1,4,both_mismatch_types,mostly_deep_vs_mostly_deep_required
direct_multistage_exp3,7,8,0,45,target_post_switch,target_favoring,True,repair_all,repair_subset,11.0,5.51753,0.0712,16.588729999999998,False,True,False,False,False,0,5,25,,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,stage1_n1__from__root__c01,frozen_root_post_switch,0.2559831758438228,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required
direct_multistage_exp3,8,9,0,40,target_post_switch,target_favoring,True,repair_subset,repair_subset,21.0,4.26479,0.0752,25.33999,False,False,False,False,True,2,2,21,False,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,stage1_n1__from__root__c01,frozen_root_post_switch,0.2559831758438228,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],5,0,0,1,4,1,4,all_stage_modes_match,mostly_deep_vs_mostly_deep_required
direct_multistage_exp3,9,10,0,46,target_post_switch,target_favoring,True,repair_subset,repair_subset,15.0,5.85816,0.0678,20.92596,False,False,False,False,True,0,9,32,False,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,stage1_n5__from__root__c05,frozen_root_post_switch,0.1401403471447778,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required
direct_multistage_exp3,10,11,1,16,target_post_switch,target_favoring,True,repair_subset,repair_subset,3.0,3.90911,0.061700000000000005,6.97081,False,False,False,False,True,0,7,25,False,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,stage1_n4__from__root__c04,frozen_root_post_switch,0.2559831758438228,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],4,1,0,2,3,1,4,fast_on_deep_required,mostly_deep_vs_mostly_deep_required
direct_multistage_exp3,11,12,1,65,target_post_switch,target_favoring,True,repair_all,repair_subset,17.0,4.41324,0.0656,21.478839999999998,False,False,False,False,False,0,1,18,,fast/deep/deep/fast/fast,fast/deep/deep/deep/deep,stage1_n5__from__root__c05,frozen_root_post_switch,0.1401403471447778,True,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],3,2,0,3,2,1,4,fast_on_deep_required,mostly_fast_vs_mostly_deep_required
