method,bucket,n,terminal,reasoning,path,total,exact,strict_clean,assistant_success_proxy,post_fraction
direct_multistage_exp3,all_stage_modes_match,4,6.875,4.52440125,0.07680000000000001,11.476201249999999,0.25,0.0,0.25,1.0
direct_multistage_exp3,both_mismatch_types,3,9.333333333333334,5.68027,0.0671,15.080703333333332,0.3333333333333333,0.3333333333333333,0.0,1.0
direct_multistage_exp3,deep_on_fast_required,5,1.4,4.794459,0.07048000000000001,6.264939,0.4,0.4,0.0,0.0
direct_multistage_exp3,fast_on_deep_required,8,10.875,5.361209375,0.0683125,16.304521875,0.0,0.0,0.16666666666666666,1.0
epsilon_exp3,all_stage_modes_match,4,10.5,5.17065625,0.075575,15.74623125,0.25,0.0,0.0,1.0
epsilon_exp3,both_mismatch_types,5,8.5,5.494052999999999,0.06516,14.059213,0.2,0.2,0.0,1.0
epsilon_exp3,deep_on_fast_required,7,6.714285714285714,5.062642857142857,0.07064285714285715,11.847571428571428,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857
epsilon_exp3,fast_on_deep_required,4,13.5,4.71770375,0.06885,18.28655375,0.25,0.25,0.0,1.0
risky_ps_linear,all_stage_modes_match,5,12.4,4.949176,0.0747,17.423876,0.2,0.0,0.2,1.0
risky_ps_linear,both_mismatch_types,1,5.0,6.08648,0.0632,11.14968,0.0,0.0,0.0,1.0
risky_ps_linear,deep_on_fast_required,6,1.5,4.6505275,0.07075000000000001,6.221277499999999,0.5,0.5,0.0,0.16666666666666666
risky_ps_linear,fast_on_deep_required,8,9.875,4.58204,0.069925,14.526965,0.0,0.0,0.0,1.0
