method,snapshot_episode_index,snapshot_episode_1based,rank,child_id,prob,distribution_kind,freeze_mode
direct_multistage_exp3,5,6,1,stage1_n1__from__root__c01,0.25598317584382285,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
direct_multistage_exp3,5,6,2,stage1_n2__from__root__c02,0.09191012532375376,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
direct_multistage_exp3,5,6,3,stage1_n3__from__root__c03,0.25598317584382285,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
direct_multistage_exp3,5,6,4,stage1_n4__from__root__c04,0.25598317584382285,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
direct_multistage_exp3,5,6,5,stage1_n5__from__root__c05,0.14014034714477783,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
epsilon_exp3,5,6,1,stage1_n1__from__root__c01,0.2587923986159856,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
epsilon_exp3,5,6,2,stage1_n2__from__root__c02,0.2587923986159856,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
epsilon_exp3,5,6,3,stage1_n3__from__root__c03,0.15612340428614677,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
epsilon_exp3,5,6,4,stage1_n4__from__root__c04,0.15229249309440304,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
epsilon_exp3,5,6,5,stage1_n5__from__root__c05,0.1739993053874791,stagewise_marginal_mixture,root_direct_child_marginal_at_switch
risky_ps_linear,5,6,1,stage1_n1__from__root__c01,0.2581366774788512,ps_risky_marginal_mixture,root_direct_child_marginal_at_switch
risky_ps_linear,5,6,2,stage1_n2__from__root__c02,0.20325497777043017,ps_risky_marginal_mixture,root_direct_child_marginal_at_switch
risky_ps_linear,5,6,3,stage1_n3__from__root__c03,0.127180784801162,ps_risky_marginal_mixture,root_direct_child_marginal_at_switch
risky_ps_linear,5,6,4,stage1_n4__from__root__c04,0.19293049251089017,ps_risky_marginal_mixture,root_direct_child_marginal_at_switch
risky_ps_linear,5,6,5,stage1_n5__from__root__c05,0.21849706743866645,ps_risky_marginal_mixture,root_direct_child_marginal_at_switch
