method,stage,required,actual,n_stage_obs,terminal,reasoning,total,exact,strict_clean
direct_multistage_exp3,ALL,deep,deep,42,9.047619047619047,5.025586428571428,14.144674523809524,0.11904761904761904,0.023809523809523808
direct_multistage_exp3,ALL,deep,fast,18,10.555555555555555,5.613207222222222,16.23644611111111,0.16666666666666666,0.16666666666666666
direct_multistage_exp3,ALL,fast,deep,21,2.5238095238095237,4.924675714285714,7.518675714285714,0.42857142857142855,0.42857142857142855
direct_multistage_exp3,ALL,fast,fast,19,6.552631578947368,4.972177631578947,11.59549342105263,0.15789473684210525,0.10526315789473684
direct_multistage_exp3,stage1,fast,deep,6,5.583333333333333,5.1001425,10.7522425,0.3333333333333333,0.3333333333333333
direct_multistage_exp3,stage1,fast,fast,14,8.285714285714286,5.099966428571428,13.456737857142857,0.14285714285714285,0.07142857142857142
direct_multistage_exp3,stage2,deep,deep,7,9.928571428571429,4.728004285714285,14.728632857142857,0.14285714285714285,0.0
direct_multistage_exp3,stage2,deep,fast,8,9.125,5.6165075,14.8103325,0.125,0.125
direct_multistage_exp3,stage2,fast,deep,2,0.75,5.206125,6.026675,0.5,0.5
direct_multistage_exp3,stage2,fast,fast,3,1.8333333333333333,4.520015,6.423781666666667,0.3333333333333333,0.3333333333333333
direct_multistage_exp3,stage3,deep,deep,11,9.409090909090908,4.754171818181818,14.233808181818182,0.09090909090909091,0.0
direct_multistage_exp3,stage3,deep,fast,4,9.75,6.43305,16.2528,0.25,0.25
direct_multistage_exp3,stage3,fast,deep,4,1.375,4.64174625,6.08712125,0.5,0.5
direct_multistage_exp3,stage3,fast,fast,1,1.5,5.40531,6.97621,0.0,0.0
direct_multistage_exp3,stage4,deep,deep,13,8.192307692307692,5.312014230769231,13.575821923076923,0.15384615384615385,0.07692307692307693
direct_multistage_exp3,stage4,deep,fast,2,18.0,4.4859525,22.548702499999997,0.0,0.0
direct_multistage_exp3,stage4,fast,deep,4,1.375,4.96645125,6.41305125,0.5,0.5
direct_multistage_exp3,stage4,fast,fast,1,1.5,4.10649,5.67249,0.0,0.0
direct_multistage_exp3,stage5,deep,deep,11,9.136363636363637,5.14786590909091,14.356211363636364,0.09090909090909091,0.0
direct_multistage_exp3,stage5,deep,fast,4,10.5,5.3503912499999995,15.916191249999999,0.25,0.25
direct_multistage_exp3,stage5,fast,deep,5,1.4,4.794459,6.264939,0.4,0.4
epsilon_exp3,ALL,deep,deep,44,12.636363636363637,5.221127272727273,17.92982727272727,0.18181818181818182,0.09090909090909091
epsilon_exp3,ALL,deep,fast,16,9.625,5.25278375,14.94303375,0.25,0.25
epsilon_exp3,ALL,fast,deep,25,4.54,5.0870196,9.6963236,0.28,0.28
epsilon_exp3,ALL,fast,fast,15,6.933333333333334,4.757426333333333,11.759466333333334,0.4,0.3333333333333333
epsilon_exp3,stage1,fast,deep,9,9.222222222222221,5.4163355555555555,14.707224444444442,0.2222222222222222,0.2222222222222222
epsilon_exp3,stage1,fast,fast,11,9.318181818181818,4.883198636363637,14.272289545454544,0.2727272727272727,0.18181818181818182
epsilon_exp3,stage2,deep,deep,7,14.642857142857142,5.381080714285714,20.098780714285713,0.14285714285714285,0.0
epsilon_exp3,stage2,deep,fast,8,9.375,5.09699625,14.53859625,0.25,0.25
epsilon_exp3,stage2,fast,deep,3,2.1666666666666665,4.9691149999999995,7.206715,0.3333333333333333,0.3333333333333333
epsilon_exp3,stage2,fast,fast,2,0.75,4.5556625,5.3699125,0.5,0.5
epsilon_exp3,stage3,deep,deep,10,12.5,5.2102515,17.7837015,0.2,0.1
epsilon_exp3,stage3,deep,fast,5,10.5,5.268204,15.832643999999998,0.2,0.2
epsilon_exp3,stage3,fast,deep,5,1.6,4.803734,6.4719940000000005,0.4,0.4
epsilon_exp3,stage4,deep,deep,14,12.321428571428571,5.196538928571428,17.589103214285714,0.21428571428571427,0.14285714285714285
epsilon_exp3,stage4,deep,fast,1,5.0,5.69199,10.752790000000001,0.0,0.0
epsilon_exp3,stage4,fast,deep,5,1.6,4.803734,6.4719940000000005,0.4,0.4
epsilon_exp3,stage5,deep,deep,13,12.0,5.169844230769231,17.241267307692308,0.15384615384615385,0.07692307692307693
epsilon_exp3,stage5,deep,fast,2,10.75,5.61778,16.43188,0.5,0.5
epsilon_exp3,stage5,fast,deep,3,2.6666666666666665,5.161261666666666,7.900995000000001,0.0,0.0
epsilon_exp3,stage5,fast,fast,2,0.0,4.2674425,4.328492499999999,1.0,1.0
risky_ps_linear,ALL,deep,deep,44,10.204545454545455,4.794612045454546,15.072277954545456,0.18181818181818182,0.09090909090909091
risky_ps_linear,ALL,deep,fast,16,8.4375,4.894701875,13.399520625000001,0.0,0.0
risky_ps_linear,ALL,fast,deep,18,2.111111111111111,4.729502777777778,6.910475,0.3888888888888889,0.3888888888888889
risky_ps_linear,ALL,fast,fast,22,6.954545454545454,4.6613643181818185,11.686414318181818,0.22727272727272727,0.18181818181818182
risky_ps_linear,stage1,fast,deep,5,2.5,5.016624,7.585824,0.4,0.4
risky_ps_linear,stage1,fast,fast,15,9.5,4.687248333333333,14.258888333333335,0.13333333333333333,0.06666666666666667
risky_ps_linear,stage2,deep,deep,9,9.833333333333334,4.833703888888889,14.740781666666667,0.2222222222222222,0.1111111111111111
risky_ps_linear,stage2,deep,fast,6,9.583333333333334,4.802700833333334,14.454350833333335,0.0,0.0
risky_ps_linear,stage2,fast,fast,5,1.8,4.614461,6.483861,0.4,0.4
risky_ps_linear,stage3,deep,deep,11,11.090909090909092,4.854355909090909,16.018965,0.18181818181818182,0.09090909090909091
risky_ps_linear,stage3,deep,fast,4,6.0,4.73040625,10.79613125,0.0,0.0
risky_ps_linear,stage3,fast,deep,4,1.875,4.52666625,6.47236625,0.5,0.5
risky_ps_linear,stage3,fast,fast,1,1.5,4.96564,6.52984,0.0,0.0
risky_ps_linear,stage4,deep,deep,10,9.75,4.782862,14.606112,0.2,0.1
risky_ps_linear,stage4,deep,fast,5,9.7,4.898184,14.666404,0.0,0.0
risky_ps_linear,stage4,fast,deep,5,1.8,4.614461,6.483861,0.4,0.4
risky_ps_linear,stage5,deep,deep,14,10.071428571428571,4.730932857142856,14.874532857142857,0.14285714285714285,0.07142857142857142
risky_ps_linear,stage5,deep,fast,1,5.0,6.08648,11.14968,0.0,0.0
risky_ps_linear,stage5,fast,deep,4,2.25,4.71724,7.0376650000000005,0.25,0.25
risky_ps_linear,stage5,fast,fast,1,0.0,4.203345,4.268644999999999,1.0,1.0
