method,majority_pair,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,62,11.733870967741936,5.160293709677419,0.07321774193548387,16.967382419354838,0.24193548387096775,0.24193548387096775,0.3387096774193548,0.06451612903225806,0.3387096774193548,0.24193548387096775,0.4032258064516129,0.1935483870967742,4.403225806451613,12.919354838709678
direct_multistage_exp3,mostly_deep_vs_mostly_fast_required,17,0.9705882352941176,5.4489808823529415,0.0714529411764706,6.491022058823529,0.35294117647058826,0.35294117647058826,1.0,0.35294117647058826,1.0,0.35294117647058826,0.0,3.7058823529411766,1.2941176470588236,13.235294117647058
direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,13,8.615384615384615,5.985575,0.06387692307692308,14.664836538461538,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.3076923076923075,0.15384615384615385,2.5384615384615383,12.153846153846153
direct_multistage_exp3,mostly_fast_vs_mostly_fast_required,8,0.75,3.768671875,0.066375,4.585046875,0.5,0.5,1.0,0.5,1.0,0.5,0.0,1.75,3.25,11.0
epsilon_exp3,mostly_deep_vs_mostly_deep_required,59,11.703389830508474,5.271453050847458,0.07231525423728814,17.04715813559322,0.2542372881355932,0.2542372881355932,0.23728813559322035,0.0847457627118644,0.23728813559322035,0.2542372881355932,0.6610169491525424,0.4915254237288136,3.847457627118644,13.135593220338983
epsilon_exp3,mostly_deep_vs_mostly_fast_required,21,0.8571428571428571,5.450266904761905,0.06996190476190477,6.377371666666667,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855,1.0,0.42857142857142855,0.0,3.6666666666666665,1.3333333333333333,13.333333333333334
epsilon_exp3,mostly_fast_vs_mostly_deep_required,16,11.59375,5.0110021875,0.06338125,16.6681334375,0.0,0.0,0.125,0.0,0.125,0.0,2.375,0.25,2.375,11.125
epsilon_exp3,mostly_fast_vs_mostly_fast_required,4,1.125,4.12446625,0.0663,5.31576625,0.25,0.25,1.0,0.25,1.0,0.25,0.0,2.0,3.0,11.0
risky_ps_linear,mostly_deep_vs_mostly_deep_required,63,12.5,5.27109,0.07176666666666667,17.842856666666666,0.12698412698412698,0.12698412698412698,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.12698412698412698,0.7619047619047619,0.31746031746031744,3.9206349206349205,12.825396825396826
risky_ps_linear,mostly_deep_vs_mostly_fast_required,21,0.9285714285714286,5.234537380952381,0.07267619047619048,6.235785,0.38095238095238093,0.38095238095238093,1.0,0.38095238095238093,1.0,0.38095238095238093,0.0,3.7142857142857144,1.2857142857142858,12.904761904761905
risky_ps_linear,mostly_fast_vs_mostly_deep_required,12,9.666666666666666,5.098362916666667,0.064925,14.829954583333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,2.4166666666666665,0.08333333333333333,2.5,11.0
risky_ps_linear,mostly_fast_vs_mostly_fast_required,4,0.75,5.71860375,0.063475,6.53207875,0.5,0.5,1.0,0.5,1.0,0.5,0.0,2.0,3.0,14.0
