method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,total,exact,strict_clean,clear_success_proxy,auxiliary_success_proxy
direct_multistage_exp3,ALL,deep,deep,245,75,11.29795918367347,5.24026793877551,16.611026714285714,0.24489795918367346,0.07346938775510205,0.24489795918367346,0.33877551020408164
direct_multistage_exp3,ALL,deep,fast,55,36,10.727272727272727,5.584310818181818,16.377832636363635,0.07272727272727272,0.03636363636363636,0.07272727272727272,0.09090909090909091
direct_multistage_exp3,ALL,fast,deep,91,39,3.159340659340659,5.301418241758242,8.531842417582418,0.32967032967032966,0.31868131868131866,0.32967032967032966,0.8681318681318682
direct_multistage_exp3,ALL,fast,fast,109,85,6.0963302752293576,4.855338302752293,11.021666743119265,0.3302752293577982,0.23853211009174313,0.3302752293577982,0.6238532110091743
direct_multistage_exp3,stage1,fast,deep,24,24,9.354166666666666,5.38516,14.8106225,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.5
direct_multistage_exp3,stage1,fast,fast,76,76,8.388157894736842,5.148538092105263,13.607807828947369,0.27631578947368424,0.14473684210526316,0.27631578947368424,0.4605263157894737
direct_multistage_exp3,stage2,deep,deep,48,48,10.885416666666666,5.2021034375,16.161051354166666,0.3125,0.08333333333333333,0.3125,0.375
direct_multistage_exp3,stage2,deep,fast,27,27,11.74074074074074,5.483322962962963,17.292226666666668,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814
direct_multistage_exp3,stage2,fast,deep,7,7,1.0714285714285714,6.070142857142857,7.213900000000001,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
direct_multistage_exp3,stage2,fast,fast,18,18,0.8333333333333334,4.460613888888889,5.362802777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0
direct_multistage_exp3,stage3,deep,deep,61,61,11.40983606557377,5.271294426229508,16.754420655737704,0.22950819672131148,0.06557377049180328,0.22950819672131148,0.3442622950819672
direct_multistage_exp3,stage3,deep,fast,14,14,10.25,5.442980357142857,15.757208928571428,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
direct_multistage_exp3,stage3,fast,deep,18,18,0.8333333333333334,5.216570555555555,6.120298333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0
direct_multistage_exp3,stage3,fast,fast,7,7,1.0714285714285714,4.126254285714285,5.266054285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
direct_multistage_exp3,stage4,deep,deep,65,65,11.6,5.2818102307692305,16.95431792307692,0.24615384615384617,0.07692307692307693,0.24615384615384617,0.3384615384615385
direct_multistage_exp3,stage4,deep,fast,10,10,8.55,5.443302,14.058992,0.0,0.0,0.0,0.0
direct_multistage_exp3,stage4,fast,deep,20,20,0.9,5.207112,6.178497,0.4,0.4,0.4,1.0
direct_multistage_exp3,stage4,fast,fast,5,5,0.9,3.727962,4.691562,0.4,0.4,0.4,1.0
direct_multistage_exp3,stage5,deep,deep,71,71,11.204225352112676,5.201381056338028,16.477757112676056,0.2112676056338028,0.07042253521126761,0.2112676056338028,0.30985915492957744
direct_multistage_exp3,stage5,deep,fast,4,4,11.0,7.1131575,18.174957499999998,0.25,0.0,0.25,0.0
direct_multistage_exp3,stage5,fast,deep,22,22,1.0227272727272727,5.120623181818182,6.21409590909091,0.3181818181818182,0.3181818181818182,0.3181818181818182,1.0
direct_multistage_exp3,stage5,fast,fast,3,3,0.0,3.3761133333333335,3.4392133333333335,1.0,1.0,1.0,1.0
epsilon_exp3,ALL,deep,deep,223,75,11.683856502242152,5.238032623318386,16.993662668161434,0.24663677130044842,0.07174887892376682,0.24663677130044842,0.23318385650224216
epsilon_exp3,ALL,deep,fast,77,49,11.668831168831169,5.151763441558441,16.88705305194805,0.06493506493506493,0.05194805194805195,0.06493506493506493,0.15584415584415584
epsilon_exp3,ALL,fast,deep,118,58,3.694915254237288,5.40510186440678,9.170479830508475,0.3389830508474576,0.3135593220338983,0.3389830508474576,0.7711864406779662
epsilon_exp3,ALL,fast,fast,82,64,6.737804878048781,4.977525548780488,11.78408774390244,0.3048780487804878,0.21951219512195122,0.3048780487804878,0.6097560975609756
epsilon_exp3,stage1,fast,deep,43,43,8.534883720930232,5.4514927906976745,14.057106744186047,0.2558139534883721,0.18604651162790697,0.2558139534883721,0.37209302325581395
epsilon_exp3,stage1,fast,fast,57,57,9.324561403508772,5.047913070175438,14.44218850877193,0.24561403508771928,0.12280701754385964,0.24561403508771928,0.43859649122807015
epsilon_exp3,stage2,deep,deep,32,32,11.125,5.20270359375,16.40157546875,0.375,0.0625,0.375,0.28125
epsilon_exp3,stage2,deep,fast,43,43,12.093023255813954,5.225703488372093,17.38655930232558,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.16279069767441862
epsilon_exp3,stage2,fast,deep,11,11,1.0909090909090908,5.2806240909090905,6.443669545454545,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0
epsilon_exp3,stage2,fast,fast,14,14,0.75,5.2047575,6.021964642857143,0.5,0.5,0.5,1.0
epsilon_exp3,stage3,deep,deep,57,57,11.903508771929825,5.2647450000000005,17.240199385964914,0.24561403508771928,0.07017543859649122,0.24561403508771928,0.19298245614035087
epsilon_exp3,stage3,deep,fast,18,18,10.972222222222221,5.061183333333333,16.09895,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778
epsilon_exp3,stage3,fast,deep,19,19,0.7894736842105263,5.513220789473684,6.373062894736842,0.47368421052631576,0.47368421052631576,0.47368421052631576,1.0
epsilon_exp3,stage3,fast,fast,6,6,1.25,4.367045833333333,5.683279166666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0
epsilon_exp3,stage4,deep,deep,65,65,11.892307692307693,5.260873538461539,17.22461969230769,0.2153846153846154,0.07692307692307693,0.2153846153846154,0.24615384615384617
