split,method,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,8.62,5.20532735,0.07115600000000001,13.89648335,0.26,0.26,0.47,0.15,0.47,0.26,0.55,0.91,3.54,12.72
all,epsilon_exp3,100,8.985,5.22145235,0.070151,14.27660335,0.25,0.25,0.41,0.15,0.41,0.25,0.77,1.18,3.05,12.77
all,risky_ps_linear,100,9.26,5.26058725,0.070805,14.59139225,0.19,0.19,0.44,0.13,0.44,0.19,0.77,1.07,3.16,12.67
pre,direct_multistage_exp3,25,0.9,4.911282,0.069828,5.8811100000000005,0.4,0.4,1.0,0.4,1.0,0.4,0.0,3.08,1.92,12.52
pre,epsilon_exp3,25,0.9,5.2381388,0.06937600000000001,6.2075148,0.4,0.4,1.0,0.4,1.0,0.4,0.0,3.4,1.6,12.96
pre,risky_ps_linear,25,0.9,5.311988,0.071204,6.283192,0.4,0.4,1.0,0.4,1.0,0.4,0.0,3.44,1.56,13.08
post,direct_multistage_exp3,75,11.193333333333333,5.303342466666667,0.07159866666666667,16.568274466666665,0.21333333333333335,0.21333333333333335,0.29333333333333333,0.06666666666666667,0.29333333333333333,0.21333333333333335,0.7333333333333333,0.18666666666666668,4.08,12.786666666666667
post,epsilon_exp3,75,11.68,5.2158902,0.07040933333333334,16.966299533333334,0.2,0.2,0.21333333333333335,0.06666666666666667,0.21333333333333335,0.2,1.0266666666666666,0.44,3.533333333333333,12.706666666666667
post,risky_ps_linear,75,12.046666666666667,5.2434536666666665,0.070672,17.360792333333332,0.12,0.12,0.25333333333333335,0.04,0.25333333333333335,0.12,1.0266666666666666,0.28,3.6933333333333334,12.533333333333333
post_local_nontransfer,direct_multistage_exp3,75,11.193333333333333,5.303342466666667,0.07159866666666667,16.568274466666665,0.21333333333333335,0.21333333333333335,0.29333333333333333,0.06666666666666667,0.29333333333333333,0.21333333333333335,0.7333333333333333,0.18666666666666668,4.08,12.786666666666667
post_local_nontransfer,epsilon_exp3,75,11.68,5.2158902,0.07040933333333334,16.966299533333334,0.2,0.2,0.21333333333333335,0.06666666666666667,0.21333333333333335,0.2,1.0266666666666666,0.44,3.533333333333333,12.706666666666667
post_local_nontransfer,risky_ps_linear,75,12.046666666666667,5.2434536666666665,0.070672,17.360792333333332,0.12,0.12,0.25333333333333335,0.04,0.25333333333333335,0.12,1.0266666666666666,0.28,3.6933333333333334,12.533333333333333
