method,schedule_phase,majority_pair,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,target_post_switch,mostly_deep_vs_mostly_deep_required,22,7.659090909090909,5.483602727272728,0.07276363636363636,13.215457272727273,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.4090909090909091,0.5909090909090909,0.5909090909090909,3.8181818181818183,13.5
direct_multistage_exp3,target_post_switch,mostly_fast_vs_mostly_deep_required,8,11.6875,5.630584375,0.062000000000000006,17.380084375,0.0,0.0,0.125,0.0,0.125,0.0,2.75,0.5,1.75,12.0
direct_multistage_exp3,trap_pre_switch,mostly_deep_vs_mostly_fast_required,7,0.0,5.720292142857143,0.07001428571428572,5.790306428571428,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.5714285714285716,1.4285714285714286,13.714285714285714
direct_multistage_exp3,trap_pre_switch,mostly_fast_vs_mostly_fast_required,3,0.0,3.801676666666667,0.071,3.8726766666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,10.333333333333334
epsilon_exp3,target_post_switch,mostly_deep_vs_mostly_deep_required,24,10.145833333333334,5.2245225,0.07305,15.443405833333333,0.25,0.25,0.25,0.16666666666666666,0.25,0.25,0.625,0.4166666666666667,3.9583333333333335,12.916666666666666
epsilon_exp3,target_post_switch,mostly_fast_vs_mostly_deep_required,6,7.333333333333333,5.6574725,0.06420000000000001,13.055005833333333,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3333333333333333,2.1666666666666665,11.833333333333334
epsilon_exp3,trap_pre_switch,mostly_deep_vs_mostly_fast_required,10,0.0,5.3301735,0.07008,5.4002535,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.8,1.2,13.1
risky_ps_linear,target_post_switch,mostly_deep_vs_mostly_deep_required,24,11.583333333333334,5.356859375,0.07234166666666668,17.012534375,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.125,0.2916666666666667,0.16666666666666666,0.5833333333333334,0.5,3.9166666666666665,13.208333333333334
risky_ps_linear,target_post_switch,mostly_fast_vs_mostly_deep_required,6,5.583333333333333,5.7212724999999995,0.06196666666666667,11.3665725,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.16666666666666666,2.0,11.5
risky_ps_linear,trap_pre_switch,mostly_deep_vs_mostly_fast_required,8,0.0,4.879353125,0.0710375,4.950390625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.25,1.75,12.5
risky_ps_linear,trap_pre_switch,mostly_fast_vs_mostly_fast_required,2,0.0,3.7383025,0.06165,3.7999525,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,11.5
