method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,total,exact,strict_clean,clear_success_proxy,auxiliary_success_proxy
direct_multistage_exp3,ALL,deep,deep,85,30,8.494117647058824,5.496146529411765,14.062207705882352,0.3764705882352941,0.11764705882352941,0.3764705882352941,0.25882352941176473
direct_multistage_exp3,ALL,deep,fast,35,19,9.314285714285715,5.587522428571429,14.966722428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.17142857142857143
direct_multistage_exp3,ALL,fast,deep,48,27,3.0520833333333335,5.576489791666667,8.699418958333332,0.75,0.6875,0.75,0.75
direct_multistage_exp3,ALL,fast,fast,32,23,3.609375,4.85149375,8.529984375,0.71875,0.625,0.71875,0.65625
direct_multistage_exp3,stage1,fast,deep,21,21,6.976190476190476,5.712610714285714,12.760234523809524,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855
direct_multistage_exp3,stage1,fast,fast,19,19,6.078947368421052,5.114009736842105,11.261367631578947,0.5263157894736842,0.3684210526315789,0.5263157894736842,0.42105263157894735
direct_multistage_exp3,stage2,deep,deep,15,15,8.866666666666667,5.506761666666667,14.446181666666666,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.2
direct_multistage_exp3,stage2,deep,fast,15,15,8.6,5.538834,14.205867333333334,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666
direct_multistage_exp3,stage2,fast,deep,2,2,0.0,6.679905,6.750455,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage2,fast,fast,8,8,0.0,4.760908125,4.831158125,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage3,deep,deep,20,20,8.95,5.40466975,14.42756475,0.4,0.15,0.4,0.3
direct_multistage_exp3,stage3,deep,fast,10,10,8.3,5.759054,14.122944,0.1,0.0,0.1,0.1
direct_multistage_exp3,stage3,fast,deep,6,6,0.0,5.935193333333333,6.00506,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage3,fast,fast,4,4,0.0,3.95897875,4.02995375,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage4,deep,deep,25,25,8.22,5.5346034,13.8264314,0.36,0.12,0.36,0.28
direct_multistage_exp3,stage4,deep,fast,5,5,11.3,5.46377,16.82399,0.0,0.0,0.0,0.0
direct_multistage_exp3,stage4,fast,deep,9,9,0.0,5.254293333333333,5.325082222222222,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage4,fast,fast,1,1,0.0,4.158435,4.224435,1.0,1.0,1.0,1.0
direct_multistage_exp3,stage5,deep,deep,25,25,8.18,5.524502,13.775314,0.32,0.12,0.32,0.24
direct_multistage_exp3,stage5,deep,fast,5,5,11.5,5.514277,17.079577,0.2,0.0,0.2,0.2
direct_multistage_exp3,stage5,fast,deep,10,10,0.0,5.1447075,5.2150175,1.0,1.0,1.0,1.0
epsilon_exp3,ALL,deep,deep,90,29,10.133333333333333,5.260911055555556,15.466978833333334,0.23333333333333334,0.15555555555555556,0.23333333333333334,0.23333333333333334
epsilon_exp3,ALL,deep,fast,30,20,7.933333333333334,5.461716833333333,13.461966833333333,0.1,0.06666666666666667,0.1,0.1
epsilon_exp3,ALL,fast,deep,50,22,2.4,5.4307269,7.9016789,0.8,0.78,0.8,0.8
epsilon_exp3,ALL,fast,fast,30,26,5.583333333333333,5.1435235,10.7966835,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333
epsilon_exp3,stage1,fast,deep,17,17,7.0588235294117645,5.673813529411765,12.803754705882353,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529
epsilon_exp3,stage1,fast,fast,23,23,7.282608695652174,5.05131652173913,12.40480347826087,0.391304347826087,0.34782608695652173,0.391304347826087,0.391304347826087
epsilon_exp3,stage2,deep,deep,13,13,10.26923076923077,5.312855769230769,15.656640384615384,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.23076923076923078
epsilon_exp3,stage2,deep,fast,17,17,9.058823529411764,5.309779411764706,14.437379411764706,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413
epsilon_exp3,stage2,fast,deep,5,5,0.0,5.44961,5.52127,1.0,1.0,1.0,1.0
epsilon_exp3,stage2,fast,fast,5,5,0.0,5.210737,5.279237,1.0,1.0,1.0,1.0
epsilon_exp3,stage3,deep,deep,21,21,10.642857142857142,5.226865,15.943441190476191,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.2857142857142857
epsilon_exp3,stage3,deep,fast,9,9,7.111111111111111,5.50769,12.68439,0.1111111111111111,0.0,0.1111111111111111,0.0
epsilon_exp3,stage3,fast,deep,10,10,0.0,5.3301735,5.4002535,1.0,1.0,1.0,1.0
epsilon_exp3,stage4,deep,deep,27,27,10.092592592592593,5.243478333333333,15.408159814814814,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.2222222222222222
epsilon_exp3,stage4,deep,fast,3,3,5.0,5.9198200000000005,10.98382,0.0,0.0,0.0,0.0
epsilon_exp3,stage4,fast,deep,10,10,0.0,5.3301735,5.4002535,1.0,1.0,1.0,1.0
epsilon_exp3,stage5,deep,deep,29,29,9.741379310344827,5.27851,15.091696206896552,0.20689655172413793,0.13793103448275862,0.20689655172413793,0.20689655172413793
epsilon_exp3,stage5,deep,fast,1,1,5.0,6.256585,11.312585,0.0,0.0,0.0,0.0
epsilon_exp3,stage5,fast,deep,8,8,0.0,5.153749375,5.226086875,1.0,1.0,1.0,1.0
epsilon_exp3,stage5,fast,fast,2,2,0.0,6.03587,6.09692,1.0,1.0,1.0,1.0
