split,method,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,40,6.55,5.4282752499999996,0.0699975,12.04827275,0.475,0.475,0.425,0.325,0.425,0.475,0.875,1.2,2.925,13.0
all,epsilon_exp3,40,7.1875,5.31587775,0.07098,12.57435775,0.4,0.4,0.4,0.35,0.4,0.4,0.75,1.25,3.0,12.8
all,risky_ps_linear,40,7.7875,5.23509225,0.06999000000000001,13.09258225,0.35,0.35,0.425,0.325,0.425,0.35,0.775,1.075,3.15,12.725
pre,direct_multistage_exp3,10,0.0,5.1447075,0.07031,5.2150175,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.1,1.9,12.7
pre,epsilon_exp3,10,0.0,5.3301735,0.07008,5.4002535,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.8,1.2,13.1
pre,risky_ps_linear,10,0.0,4.651143,0.06916,4.720303,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,12.3
post,direct_multistage_exp3,30,8.733333333333333,5.522797833333334,0.06989333333333334,14.326024499999999,0.3,0.3,0.23333333333333334,0.1,0.23333333333333334,0.3,1.1666666666666667,0.5666666666666667,3.2666666666666666,13.1
post,epsilon_exp3,30,9.583333333333334,5.3111125,0.07128000000000001,14.965725833333334,0.2,0.2,0.2,0.13333333333333333,0.2,0.2,1.0,0.4,3.6,12.7
post,risky_ps_linear,30,10.383333333333333,5.429742,0.07026666666666667,15.883342,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.1,0.23333333333333334,0.13333333333333333,1.0333333333333334,0.43333333333333335,3.533333333333333,12.866666666666667
post_local_nontransfer,direct_multistage_exp3,30,8.733333333333333,5.522797833333334,0.06989333333333334,14.326024499999999,0.3,0.3,0.23333333333333334,0.1,0.23333333333333334,0.3,1.1666666666666667,0.5666666666666667,3.2666666666666666,13.1
post_local_nontransfer,epsilon_exp3,30,9.583333333333334,5.3111125,0.07128000000000001,14.965725833333334,0.2,0.2,0.2,0.13333333333333333,0.2,0.2,1.0,0.4,3.6,12.7
post_local_nontransfer,risky_ps_linear,30,10.383333333333333,5.429742,0.07026666666666667,15.883342,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.1,0.23333333333333334,0.13333333333333333,1.0333333333333334,0.43333333333333335,3.533333333333333,12.866666666666667
