method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,20,5.2,3.5,3.7255575,0.0,0.07566500000000001,9.0012225,0.75,1.0,0.75,0.7,0.6,0.7,0.75,0.0,0.0,5.0,12.6
direct_multistage_exp3,both_mismatch_types,22,6.659090909090909,4.704545454545454,4.844752954545455,2.8863636363636362,0.0689,11.572743863636363,0.6363636363636364,0.0,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,1.5909090909090908,1.0,2.409090909090909,13.0
direct_multistage_exp3,deep_on_fast_required,30,1.9,1.0166666666666666,5.254764333333333,1.5166666666666666,0.07173333333333334,7.226497666666667,0.9,0.0,0.9,0.9666666666666667,0.8666666666666667,0.9666666666666667,0.9,0.0,3.033333333333333,1.9666666666666666,13.266666666666667
direct_multistage_exp3,fast_on_deep_required,28,7.285714285714286,4.071428571428571,4.732126785714286,2.625,0.06653928571428572,12.084380357142857,0.5357142857142857,0.0,0.5357142857142857,0.6071428571428571,0.39285714285714285,0.6071428571428571,0.5357142857142857,1.75,0.0,3.25,11.535714285714286
epsilon_exp3,all_stage_modes_match,31,4.435483870967742,2.4516129032258065,3.8031112903225806,0.0,0.07520967741935485,8.313804838709677,0.7741935483870968,1.0,0.7741935483870968,0.7419354838709677,0.5483870967741935,0.7419354838709677,0.7741935483870968,0.0,0.0,5.0,12.741935483870968
epsilon_exp3,both_mismatch_types,15,8.2,4.666666666666667,5.097958666666667,3.2,0.06636666666666667,13.364325333333333,0.4666666666666667,0.0,0.4666666666666667,0.6,0.4666666666666667,0.6,0.4666666666666667,1.8,1.0,2.2,12.933333333333334
epsilon_exp3,deep_on_fast_required,29,1.896551724137931,1.4827586206896552,5.013229310344828,1.4655172413793103,0.0708551724137931,6.980636206896552,0.896551724137931,0.0,0.896551724137931,0.9310344827586207,0.896551724137931,0.9310344827586207,0.896551724137931,0.0,2.9310344827586206,2.0689655172413794,12.724137931034482
epsilon_exp3,fast_on_deep_required,25,7.5,5.02,4.4567068,2.34,0.06742000000000001,12.0241268,0.6,0.0,0.6,0.64,0.56,0.64,0.6,1.56,0.0,3.44,11.48
risky_ps,all_stage_modes_match,18,6.638888888888889,5.027777777777778,3.6635044444444445,0.0,0.07366111111111112,10.376054444444444,0.6666666666666666,1.0,0.6666666666666666,0.7777777777777778,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.0,0.0,5.0,12.61111111111111
risky_ps,both_mismatch_types,13,10.615384615384615,5.846153846153846,4.976724230769231,2.923076923076923,0.06802307692307692,15.660131923076923,0.3076923076923077,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.6153846153846154,1.0,2.3846153846153846,12.76923076923077
risky_ps,deep_on_fast_required,33,2.409090909090909,1.893939393939394,4.641001212121212,1.303030303030303,0.07082727272727272,7.120919393939394,0.8787878787878788,0.0,0.8787878787878788,0.9090909090909091,0.8787878787878788,0.9090909090909091,0.8787878787878788,0.0,2.606060606060606,2.393939393939394,12.666666666666666
risky_ps,fast_on_deep_required,36,7.263888888888889,4.597222222222222,4.475460277777778,2.375,0.06749722222222222,11.80684638888889,0.5555555555555556,0.0,0.5555555555555556,0.6111111111111112,0.5,0.6111111111111112,0.5555555555555556,1.5833333333333333,0.0,3.4166666666666665,11.36111111111111
