method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
direct_multistage_exp3,ALL,deep,deep,216,74,6.393518518518518,4.315955162037037,1.2939814814814814,10.78129451388889,0.6435185185185185,0.37037037037037035,0.5231481481481481,0.6435185185185185,0.6944444444444444
direct_multistage_exp3,ALL,deep,fast,84,50,7.059523809523809,4.9833107738095235,3.3154761904761907,12.108933392857143,0.5833333333333334,0.0,0.5119047619047619,0.5833333333333334,0.6428571428571429
direct_multistage_exp3,ALL,fast,deep,113,52,1.8008849557522124,5.404283451327434,2.017699115044248,7.276879911504425,0.9026548672566371,0.0,0.8938053097345132,0.9026548672566371,0.9380530973451328
direct_multistage_exp3,ALL,fast,fast,87,69,4.367816091954023,4.536350862068965,1.4540229885057472,8.973730172413793,0.7471264367816092,0.22988505747126436,0.6666666666666666,0.7471264367816092,0.8045977011494253
direct_multistage_exp3,stage1,fast,deep,38,38,4.881578947368421,5.053819736842105,2.3421052631578947,10.005967105263158,0.7368421052631579,0.0,0.7105263157894737,0.7368421052631579,0.8157894736842105
direct_multistage_exp3,stage1,fast,fast,62,62,5.258064516129032,4.503113629032258,1.5080645161290323,9.831542661290323,0.6935483870967742,0.3225806451612903,0.5806451612903226,0.6935483870967742,0.7258064516129032
direct_multistage_exp3,stage2,deep,deep,35,35,5.4,4.216266714285714,0.6714285714285714,9.690415285714286,0.7428571428571429,0.5714285714285714,0.5142857142857142,0.7428571428571429,0.6571428571428571
direct_multistage_exp3,stage2,deep,fast,40,40,7.6125,4.75354425,2.9,12.43282425,0.525,0.0,0.525,0.525,0.7
direct_multistage_exp3,stage2,fast,deep,10,10,0.0,6.345238,2.0,6.417798,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage2,fast,fast,15,15,1.2,4.6716473333333335,1.5333333333333334,5.941794,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333,1.0
direct_multistage_exp3,stage3,deep,deep,54,54,6.824074074074074,4.26855537037037,1.1481481481481481,11.164494259259259,0.5925925925925926,0.37037037037037035,0.5,0.5925925925925926,0.7037037037037037
direct_multistage_exp3,stage3,deep,fast,21,21,5.9523809523809526,5.105195952380953,3.6904761904761907,11.12356261904762,0.7142857142857143,0.0,0.5714285714285714,0.7142857142857143,0.6190476190476191
direct_multistage_exp3,stage3,fast,deep,20,20,0.0,5.32991125,1.9,5.40270125,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage3,fast,fast,5,5,3.6,5.385773,1.0,9.050173000000001,0.8,0.0,0.8,0.8,1.0
direct_multistage_exp3,stage4,deep,deep,66,66,6.553030303030303,4.389586439393939,1.5833333333333333,11.013410681818183,0.6363636363636364,0.30303030303030304,0.5303030303030303,0.6363636363636364,0.7121212121212122
direct_multistage_exp3,stage4,deep,fast,9,9,6.777777777777778,5.333155555555556,3.888888888888889,12.176933333333334,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556,0.4444444444444444
direct_multistage_exp3,stage4,fast,deep,21,21,0.0,5.684075952380953,1.880952380952381,5.757061666666667,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage4,fast,fast,4,4,4.5,3.54037375,0.875,8.101648749999999,0.75,0.0,0.75,0.75,1.0
direct_multistage_exp3,stage5,deep,deep,61,61,6.409836065573771,4.335447295081967,1.4672131147540983,10.816840737704918,0.639344262295082,0.32786885245901637,0.5409836065573771,0.639344262295082,0.6885245901639344
direct_multistage_exp3,stage5,deep,fast,14,14,7.321428571428571,5.2320585714285714,3.5714285714285716,12.617872857142856,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.6428571428571429
direct_multistage_exp3,stage5,fast,deep,24,24,0.75,5.3842783333333335,1.7291666666666667,6.2054325,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,1.0
direct_multistage_exp3,stage5,fast,fast,1,1,0.0,4.30441,1.5,4.37451,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,ALL,deep,deep,234,73,6.553418803418803,4.163069188034188,0.9123931623931624,10.78904952991453,0.6410256410256411,0.5299145299145299,0.5128205128205128,0.6410256410256411,0.6837606837606838
epsilon_exp3,ALL,deep,fast,66,40,7.25,4.950703787878788,3.340909090909091,12.265567424242425,0.5757575757575758,0.0,0.5454545454545454,0.5757575757575758,0.6060606060606061
epsilon_exp3,ALL,fast,deep,100,44,1.78,5.26195465,1.955,7.11249665,0.89,0.0,0.89,0.89,0.92
epsilon_exp3,ALL,fast,fast,100,77,3.25,4.28735645,1.155,7.60757545,0.83,0.31,0.75,0.83,0.83
epsilon_exp3,stage1,fast,deep,28,28,6.357142857142857,5.183795,2.4464285714285716,11.610037857142856,0.6071428571428571,0.0,0.6071428571428571,0.6071428571428571,0.7142857142857143
epsilon_exp3,stage1,fast,fast,72,72,4.513888888888889,4.2502901388888885,1.1180555555555556,8.83546375,0.7638888888888888,0.4305555555555556,0.6527777777777778,0.7638888888888888,0.7638888888888888
epsilon_exp3,stage2,deep,deep,41,41,6.195121951219512,4.052980609756098,0.4146341463414634,10.322205,0.6829268292682927,0.7560975609756098,0.4878048780487805,0.6829268292682927,0.6585365853658537
epsilon_exp3,stage2,deep,fast,34,34,7.323529411764706,4.6780575,2.6911764705882355,12.068554558823529,0.5588235294117647,0.0,0.5588235294117647,0.5588235294117647,0.6764705882352942
epsilon_exp3,stage2,fast,deep,9,9,0.0,5.7569622222222225,2.111111111111111,5.830228888888889,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage2,fast,fast,16,16,0.0,4.633020625,1.34375,4.701320625,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage3,deep,deep,61,61,6.19672131147541,4.125885983606557,0.8934426229508197,10.39508106557377,0.6557377049180327,0.5081967213114754,0.5409836065573771,0.6557377049180327,0.7213114754098361
epsilon_exp3,stage3,deep,fast,14,14,8.928571428571429,5.253365357142857,3.857142857142857,14.245808214285715,0.5,0.0,0.42857142857142855,0.5,0.42857142857142855
epsilon_exp3,stage3,fast,deep,17,17,0.0,5.444208529411765,1.8529411764705883,5.5161967647058825,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage3,fast,fast,8,8,0.0,4.173680625,1.125,4.239730625,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage4,deep,deep,66,66,6.606060606060606,4.202159469696969,1.0757575757575757,10.880192803030303,0.6363636363636364,0.4696969696969697,0.5303030303030303,0.6363636363636364,0.696969696969697
epsilon_exp3,stage4,deep,fast,9,9,7.444444444444445,5.3204038888888885,4.166666666666667,12.827615,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556,0.4444444444444444
epsilon_exp3,stage4,fast,deep,22,22,0.0,5.210045909090909,1.6818181818181819,5.280373181818182,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage4,fast,fast,3,3,0.0,3.7733266666666667,1.1666666666666667,3.84166,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage5,deep,deep,66,66,7.053030303030303,4.2267335606060605,1.0757575757575757,11.352038106060606,0.6060606060606061,0.4696969696969697,0.48484848484848486,0.6060606060606061,0.6515151515151515
epsilon_exp3,stage5,deep,fast,9,9,4.166666666666667,5.140193888888889,4.166666666666667,9.367416111111112,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
epsilon_exp3,stage5,fast,deep,24,24,0.0,5.085999583333333,1.6458333333333333,5.156374583333333,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage5,fast,fast,1,1,0.0,3.877,1.0,3.9402,1.0,0.0,1.0,1.0,1.0
risky_ps,ALL,deep,deep,222,73,7.556306306306307,4.226291711711712,1.1824324324324325,11.853967837837837,0.5720720720720721,0.32432432432432434,0.527027027027027,0.5720720720720721,0.6486486486486487
risky_ps,ALL,deep,fast,78,49,9.185897435897436,4.842786923076923,3.173076923076923,14.09441641025641,0.4230769230769231,0.0,0.3974358974358974,0.4230769230769231,0.46153846153846156
risky_ps,ALL,fast,deep,99,46,2.196969696969697,4.94314292929293,1.8282828282828283,7.211314646464646,0.8686868686868687,0.0,0.8686868686868687,0.8686868686868687,0.8787878787878788
risky_ps,ALL,fast,fast,101,76,3.772277227722772,4.150546881188119,1.400990099009901,7.990812227722772,0.7821782178217822,0.1782178217821782,0.7524752475247525,0.7821782178217822,0.8217821782178217
risky_ps,stage1,fast,deep,31,31,7.016129032258065,4.940541935483871,1.9516129032258065,12.026864516129033,0.5806451612903226,0.0,0.5806451612903226,0.5806451612903226,0.6129032258064516
risky_ps,stage1,fast,fast,69,69,5.521739130434782,4.228308768115942,1.536231884057971,9.819633405797102,0.6811594202898551,0.2608695652173913,0.6376811594202898,0.6811594202898551,0.7391304347826086
risky_ps,stage2,deep,deep,37,37,8.297297297297296,4.192249459459459,0.6756756756756757,12.562344054054053,0.5675675675675675,0.4864864864864865,0.4864864864864865,0.5675675675675675,0.6216216216216216
risky_ps,stage2,deep,fast,38,38,7.671052631578948,4.5757975,2.6973684210526314,12.31393697368421,0.5,0.0,0.5,0.5,0.5789473684210527
risky_ps,stage2,fast,deep,9,9,0.0,5.005273333333333,2.0,5.079062222222222,1.0,0.0,1.0,1.0,1.0
risky_ps,stage2,fast,fast,16,16,0.0,4.429319375,1.3125,4.496225625,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,deep,deep,58,58,7.293103448275862,4.264419051724138,1.2327586206896552,11.628817327586207,0.5689655172413793,0.3103448275862069,0.5344827586206896,0.5689655172413793,0.6379310344827587
risky_ps,stage3,deep,fast,17,17,10.323529411764707,4.8033664705882355,3.2941176470588234,15.192054705882352,0.4117647058823529,0.0,0.35294117647058826,0.4117647058823529,0.47058823529411764
risky_ps,stage3,fast,deep,19,19,0.0,4.947158947368421,1.763157894736842,5.018458947368421,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,fast,fast,6,6,0.0,3.653425,0.9166666666666666,3.7167416666666666,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,deep,deep,64,64,7.2890625,4.234440078125,1.3203125,11.594385390625,0.59375,0.28125,0.546875,0.59375,0.671875
risky_ps,stage4,deep,fast,11,11,12.0,5.271760909090909,3.909090909090909,17.33597,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182
risky_ps,stage4,fast,deep,22,22,0.0,4.833101590909091,1.6818181818181819,4.904047045454545,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,fast,fast,3,3,0.0,3.196111666666667,0.6666666666666666,3.254045,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,deep,deep,63,63,7.634920634920635,4.2029057142857145,1.2936507936507937,11.908921587301588,0.5555555555555556,0.2857142857142857,0.5238095238095238,0.5555555555555556,0.6507936507936508
risky_ps,stage5,deep,fast,12,12,9.791666666666666,5.350872916666667,3.8333333333333335,15.206189583333332,0.4166666666666667,0.0,0.3333333333333333,0.4166666666666667,0.3333333333333333
risky_ps,stage5,fast,deep,18,18,0.0,5.046813055555556,1.7777777777777777,5.1186686111111115,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,fast,fast,7,7,0.0,3.5819907142857144,1.0,3.6450192857142856,1.0,0.0,1.0,1.0,1.0
