split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,5.115,3.18,4.71238195,1.825,0.070442,9.89782395,0.71,0.2,0.71,0.76,0.63,0.76,0.71,0.84,1.13,3.03,12.59
all,epsilon_exp3,100,5.03,3.145,4.5116715,1.49,0.070673,9.6123445,0.72,0.31,0.72,0.75,0.64,0.75,0.72,0.66,1.0,3.34,12.45
all,risky_ps,100,5.985,3.945,4.44910105,1.665,0.069774,10.50387505,0.65,0.18,0.65,0.7,0.62,0.7,0.65,0.78,0.99,3.23,12.2
pre,direct_multistage_exp3,25,0.72,0.18,5.3410836,1.72,0.07111200000000001,6.1321956,0.96,0.0,0.96,1.0,0.96,1.0,0.96,0.0,3.44,1.56,12.88
pre,epsilon_exp3,25,0.0,0.0,5.0376396,1.62,0.070088,5.1077276,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.24,1.76,12.36
pre,risky_ps,25,0.0,0.0,4.6366628,1.56,0.069384,4.7060468,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.12,1.88,11.96
post,direct_multistage_exp3,75,6.58,4.18,4.5028147333333335,1.86,0.07021866666666667,11.1530334,0.6266666666666667,0.26666666666666666,0.6266666666666667,0.68,0.52,0.68,0.6266666666666667,1.12,0.36,3.52,12.493333333333334
post,epsilon_exp3,75,6.706666666666667,4.193333333333333,4.3363488,1.4466666666666668,0.070868,11.113883466666667,0.6266666666666667,0.41333333333333333,0.6266666666666667,0.6666666666666666,0.52,0.6666666666666666,0.6266666666666667,0.88,0.25333333333333335,3.8666666666666667,12.48
post,risky_ps,75,7.98,5.26,4.386580466666667,1.7,0.06990400000000001,12.436484466666666,0.5333333333333333,0.24,0.5333333333333333,0.6,0.49333333333333335,0.6,0.5333333333333333,1.04,0.28,3.68,12.28
post_local_nontransfer,direct_multistage_exp3,75,6.58,4.18,4.5028147333333335,1.86,0.07021866666666667,11.1530334,0.6266666666666667,0.26666666666666666,0.6266666666666667,0.68,0.52,0.68,0.6266666666666667,1.12,0.36,3.52,12.493333333333334
post_local_nontransfer,epsilon_exp3,75,6.706666666666667,4.193333333333333,4.3363488,1.4466666666666668,0.070868,11.113883466666667,0.6266666666666667,0.41333333333333333,0.6266666666666667,0.6666666666666666,0.52,0.6666666666666666,0.6266666666666667,0.88,0.25333333333333335,3.8666666666666667,12.48
post_local_nontransfer,risky_ps,75,7.98,5.26,4.386580466666667,1.7,0.06990400000000001,12.436484466666666,0.5333333333333333,0.24,0.5333333333333333,0.6,0.49333333333333335,0.6,0.5333333333333333,1.04,0.28,3.68,12.28
