run,seed,method,pair,n,terminal,reasoning,modecost_report,total,clear,aux,strict
confirm_seed1,1,direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,58,6.767241379310345,4.29103775862069,1.2413793103448276,11.130184310344827,0.6206896551724138,0.6896551724137931,0.5172413793103449
confirm_seed1,1,direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,17,5.9411764705882355,5.22534794117647,3.9705882352941178,11.23098911764706,0.6470588235294118,0.6470588235294118,0.5294117647058824
confirm_seed1,1,epsilon_exp3,mostly_deep_vs_mostly_deep_required,60,6.683333333333334,4.1606335,0.825,10.916891833333333,0.6166666666666667,0.6833333333333333,0.5
confirm_seed1,1,epsilon_exp3,mostly_fast_vs_mostly_deep_required,15,6.8,5.03921,3.933333333333333,11.90185,0.6666666666666666,0.6,0.6
confirm_seed1,1,risky_ps,mostly_deep_vs_mostly_deep_required,61,7.360655737704918,4.230973032786885,1.1721311475409837,11.663092704918032,0.5737704918032787,0.639344262295082,0.5245901639344263
confirm_seed1,1,risky_ps,mostly_fast_vs_mostly_deep_required,14,10.678571428571429,5.064584285714286,4.0,15.806262857142857,0.35714285714285715,0.42857142857142855,0.35714285714285715
PS_seed0,0,risky_ps,mostly_deep_vs_mostly_deep_required,70,5.628571428571429,4.224027785714286,1.042857142857143,9.924837785714285,0.7285714285714285,0.7285714285714285,0.6285714285714286
PS_seed0,0,risky_ps,mostly_fast_vs_mostly_deep_required,5,11.2,5.309573,3.7,16.576033000000002,0.2,0.2,0.2
C_seed0,0,direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,66,5.962121212121212,4.1955670454545455,0.9924242424242424,10.230751893939393,0.6818181818181818,0.7424242424242424,0.5606060606060606
C_seed0,0,direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,9,9.722222222222221,5.185457222222222,3.5555555555555554,14.970801666666667,0.4444444444444444,0.4444444444444444,0.3333333333333333
C_seed0,0,epsilon_exp3,mostly_deep_vs_mostly_deep_required,56,6.526785714285714,4.020448660714286,1.2053571428571428,10.618589732142857,0.625,0.7142857142857143,0.5357142857142857
C_seed0,0,epsilon_exp3,mostly_fast_vs_mostly_deep_required,19,10.263157894736842,5.097134473684211,3.6842105263157894,15.424292368421053,0.3684210526315789,0.42105263157894735,0.3684210526315789
C_seed0,0,risky_ps_linear,mostly_deep_vs_mostly_deep_required,67,6.2388059701492535,4.209948059701492,0.9850746268656716,10.521322686567164,0.6417910447761194,0.7313432835820896,0.5671641791044776
C_seed0,0,risky_ps_linear,mostly_fast_vs_mostly_deep_required,8,11.0,4.544115,3.1875,15.61004,0.375,0.5,0.375
