dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,selected_blocker_ids,deferred_blocker_ids,exact_match
2,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission"", ""unseat_sim_card""]",[],[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,18.5,0.07830000000000001,3.51225,22.09055,25.09055,43647.0,1632.0,45279.0,12,0,0,0,3.0,3578.0,0,0,3.0,0.00460785,22,transfer,transfer_required,no_safe_local_repair_subset_v2,0,2,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
2,0,canonical_pattern,ffddd,ffddd,fdddd,,,,,,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission"", ""unseat_sim_card""]",[],[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,57,pure_target,"[""general"", ""general"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n2__from__n0007__c01"", ""stage4_n1__from__n0025__c01"", ""stage5_n1__from__n0076__c01""]",0.8,18.5,0.0771,4.14935,22.72645,28.72645,48581.0,1530.0,50111.0,12,0,0,0,6.0,7064.0,0,0,6.0,0.00480675,22,transfer,transfer_required,no_safe_local_repair_subset_v2,0,3,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",False
2,0,canonical_pattern,ddddd,ddddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,83,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n2__from__root__c02"", ""stage2_n1__from__n0002__c01"", ""stage3_n1__from__n0009__c01"", ""stage4_n1__from__n0032__c01"", ""stage5_n1__from__n0097__c01""]",0.8,0.0,0.0776,3.94644,4.02404,4.02404,43684.0,1602.0,45286.0,13,0,0,7,0.0,0.0,0,0,0.0,0.004931400000000001,30,repair_all,repairable,,6,2,0,False,False,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
10,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,"[""bad_wifi_calling""]",[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded"", ""bad_wifi_calling""]","[""bad_wifi_calling"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,12.0,0.07830000000000001,4.31718,16.39548,19.64548,55018.0,1664.0,56682.0,13,0,0,7,3.25,3604.0,0,0,3.25,0.0059583,28,repair_subset,partially_repairable,,6,3,0,False,True,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",False
10,0,canonical_pattern,ffddd,ffddd,fdddd,,,,,,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card""]",[],"[""data_usage_exceeded""]",[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_disabled_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,57,pure_target,"[""general"", ""general"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n2__from__n0007__c01"", ""stage4_n1__from__n0025__c01"", ""stage5_n1__from__n0076__c01""]",0.8,23.5,0.0771,3.91076,27.48786,33.73786,44821.0,1610.0,46431.0,11,0,0,0,6.25,7116.0,0,0,6.25,0.00484755,22,transfer,transfer_required,no_safe_local_repair_subset_v2,0,2,0,False,True,False,False,0,0,0,,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on""]",False
10,0,canonical_pattern,ddddd,ddddd,fdddd,,,,,,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card""]",[],[],[],"[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,83,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n2__from__root__c02"", ""stage2_n1__from__n0002__c01"", ""stage3_n1__from__n0009__c01"", ""stage4_n1__from__n0032__c01"", ""stage5_n1__from__n0097__c01""]",0.8,20.5,0.0776,4.26654,24.84414,24.84414,49704.0,1230.0,50934.0,14,0,1,2,0.0,0.0,0,0,0.0,0.0047279999999999996,23,transfer,partially_repairable,,2,2,0,False,True,False,False,0,0,0,,[],"[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded"", ""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
13,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]","[""data_usage_exceeded""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,0.07830000000000001,3.7702,9.8485,13.0985,46920.0,1735.0,48655.0,12,0,1,10,3.25,3608.0,0,0,3.25,0.004767,34,repair_subset,partially_repairable,,8,2,0,False,True,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]",True
13,0,canonical_pattern,ffddd,ffddd,fdddd,,,,,,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[],"[""data_usage_exceeded""]",[],"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],focus,57,pure_target,"[""general"", ""general"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n2__from__n0001__c02"", ""stage3_n2__from__n0007__c01"", ""stage4_n1__from__n0025__c01"", ""stage5_n1__from__n0076__c01""]",0.8,17.0,0.0771,4.525,21.6021,27.8521,54319.0,1428.0,55747.0,12,0,0,5,6.25,7124.0,0,0,6.25,0.00527025,25,repair_subset,partially_repairable,,3,3,0,False,True,False,False,0,0,0,,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]",False
13,0,canonical_pattern,ddddd,ddddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]","[""data_usage_exceeded""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],focus,83,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n2__from__root__c02"", ""stage2_n1__from__n0002__c01"", ""stage3_n1__from__n0009__c01"", ""stage4_n1__from__n0032__c01"", ""stage5_n1__from__n0097__c01""]",0.8,6.0,0.0776,4.51744,10.595040000000001,10.595040000000001,51094.0,1777.0,52871.0,14,0,1,10,0.0,0.0,0,0,0.0,0.005063099999999999,36,repair_subset,partially_repairable,,8,2,0,False,True,False,False,0,0,0,,"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]","[""data_usage_exceeded""]",True
16,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,"[""airplane_mode_on"", ""bad_network_preference"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[],[],[],"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]",[],[],[],,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,15.0,0.07830000000000001,4.42106,19.49936,22.49936,58162.0,1249.0,59411.0,14,0,0,4,3.0,3594.0,0,0,3.0,0.005595299999999999,26,repair_subset,partially_repairable,,3,3,0,False,True,False,False,0,0,0,,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference""]",False
