run,split,method,n,terminal,legacy_terminal,reasoning,modecost_report,path,total,terminal_share_ex_path,clear,aux,strict,exact,exact_mode_match,fast_on_deep,deep_on_fast
terminalv4,all,direct_multistage_exp3,100,7.14,5.185,4.8643257,0.0,0.07112600000000001,12.0754517,0.5947855946627639,0.63,0.74,0.59,0.63,0.24,0.61,1.02
terminalv4,all,epsilon_exp3,100,6.39,4.585,4.926996,0.0,0.070317,11.387313,0.5646374709330992,0.67,0.74,0.64,0.67,0.18,0.8,0.99
terminalv4,all,risky_ps_linear,100,4.71,3.065,4.9273202,0.0,0.07163,9.7089502,0.4887250711043097,0.75,0.76,0.68,0.75,0.25,0.54,0.99
terminalv4,post,direct_multistage_exp3,75,9.52,6.913333333333333,4.873663866666667,0.0,0.07171733333333334,14.4653812,0.6614021341742415,0.5066666666666667,0.6533333333333333,0.4533333333333333,0.5066666666666667,0.32,0.8133333333333334,0.37333333333333335
terminalv4,post,epsilon_exp3,75,8.52,6.113333333333333,4.744987266666667,0.0,0.07043866666666668,13.335425933333333,0.6422923617431391,0.56,0.6533333333333333,0.52,0.56,0.24,1.0666666666666667,0.17333333333333334
terminalv4,post,risky_ps_linear,75,6.1466666666666665,4.066666666666666,4.940157466666666,0.0,0.07211200000000001,11.158936133333333,0.5544118489429513,0.68,0.68,0.5866666666666667,0.68,0.3333333333333333,0.72,0.25333333333333335
terminalv4_modecostv2,all,direct_multistage_exp3,100,5.81,3.865,6.22298465,1.38,0.07130500000000001,12.10428965,0.48283947574054287,0.7,0.72,0.61,0.7,0.23,0.58,1.02
terminalv4_modecostv2,all,epsilon_exp3,100,5.72,3.78,6.5955878,1.53,0.07128000000000001,12.3868678,0.4644520499460042,0.67,0.77,0.65,0.67,0.15,0.66,1.08
terminalv4_modecostv2,all,risky_ps_linear,100,6.2,4.32,6.6227122,1.54,0.07087800000000001,12.8935902,0.48351705187612337,0.68,0.77,0.62,0.68,0.2,0.66,1.1
terminalv4_modecostv2,post,direct_multistage_exp3,75,7.746666666666667,5.153333333333333,6.141887,1.3133333333333332,0.07184266666666667,13.960396333333334,0.557773462420289,0.6,0.6266666666666667,0.48,0.6,0.30666666666666664,0.7733333333333333,0.30666666666666664
terminalv4_modecostv2,post,epsilon_exp3,75,7.626666666666667,5.04,6.4649874,1.4866666666666666,0.07168933333333334,14.1633434,0.5412186980027625,0.56,0.6933333333333334,0.5333333333333333,0.56,0.2,0.88,0.3333333333333333
terminalv4_modecostv2,post,risky_ps_linear,75,8.266666666666667,5.76,6.374470133333333,1.4733333333333334,0.07092133333333334,14.712058133333333,0.5646191808457569,0.5733333333333334,0.6933333333333334,0.49333333333333335,0.5733333333333334,0.26666666666666666,0.88,0.30666666666666664
terminalv4_reasoncalibv3_reportmodecost,all,direct_multistage_exp3,100,4.91,3.045,4.5509138,1.34,0.07115500000000001,9.5320688,0.5189773529064391,0.73,0.78,0.64,0.73,0.18,0.55,1.03
terminalv4_reasoncalibv3_reportmodecost,all,epsilon_exp3,100,5.605,3.385,4.82052905,1.81,0.069706,10.49523505,0.537622596716087,0.67,0.73,0.62,0.67,0.15,0.85,1.07
terminalv4_reasoncalibv3_reportmodecost,all,risky_ps_linear,100,5.16,3.43,4.4719132,1.3,0.071241,9.7031542,0.5357191134155985,0.7,0.78,0.65,0.7,0.17,0.5,1.1
terminalv4_reasoncalibv3_reportmodecost,post,direct_multistage_exp3,75,6.413333333333333,4.02,4.314353866666667,1.3,0.07187066666666667,10.799557866666667,0.5978300088143261,0.6533333333333333,0.7066666666666667,0.5333333333333333,0.6533333333333333,0.24,0.7333333333333333,0.4
terminalv4_reasoncalibv3_reportmodecost,post,epsilon_exp3,75,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.069492,11.8360344,0.6351341863463079,0.56,0.64,0.49333333333333335,0.56,0.2,1.1333333333333333,0.26666666666666666
terminalv4_reasoncalibv3_reportmodecost,post,risky_ps_linear,75,6.746666666666667,4.533333333333333,4.245592533333333,1.22,0.07186000000000001,11.0641192,0.6137652455162873,0.6133333333333333,0.7066666666666667,0.5466666666666666,0.6133333333333333,0.22666666666666666,0.6666666666666666,0.44
