method,episode_index,repeat_index,dataset_index,schedule_phase,task_bucket,is_specialist_task,oracle_action,final_action,exact_match,policy_clean,subset_clean,clear_success_proxy,auxiliary_success_proxy,strict_clean_success,policy_violation_count,subset_mismatch,raw_terminal_penalty,legacy_raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_adjustment_enabled,terminal_adjustment_floor,terminal_adjustment_reasons,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,mode_mismatch_cost_enabled,raw_path_cost_component,raw_total_cost,llm_call_count,prompt_tokens_total,completion_tokens_total,total_tokens_total,actual_modes,required_modes,match_count,fast_on_deep_count,deep_on_fast_count,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,mismatch_bucket,exact_mode_match,majority_pair,route_labels,route_bucket,selected_shared_path,selected_unshared_path,original_task_id
direct_multistage_exp3,0,0,1,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.411445,0.0,False,0.0709,4.482345,12,36603.0,1052.0,37655.0,fast/deep/fast/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,barrier_stage1_gate > barrier_stage2_gate > trap_stage3_network > general_stage4_verify > general_stage5_verify,neutral,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,1,0,3,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.544735,0.0,False,0.0669,4.611635000000001,12,36281.0,1053.0,37334.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > general_stage3_network > general_stage4_repair > target_stage5_decision,neutral,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,2,0,6,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,8.96998,0.0,False,0.07020000000000001,9.04018,18,73444.0,1377.0,74821.0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,barrier_stage1_gate > general_stage2_roaming > general_stage3_network > general_stage4_verify > general_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling[PERSONA:Easy]
direct_multistage_exp3,3,0,15,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.841965,0.0,False,0.07840000000000001,4.920365,13,38943.0,1033.0,39976.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > barrier_stage3_gate > barrier_stage4_gate > barrier_stage5_transfer,neutral,False,True,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
direct_multistage_exp3,4,0,17,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.47385,0.0,False,0.066,4.5398499999999995,13,38436.0,1051.0,39487.0,deep/fast/deep/fast/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_verify > general_stage2_core > barrier_stage3_gate > trap_stage4_execute > general_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None]
direct_multistage_exp3,5,0,18,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.678235,0.0,False,0.074,3.7522349999999998,10,32175.0,808.0,32983.0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,0,2,3,2,5,0,deep_on_fast_required,False,mostly_fast_vs_mostly_fast_required,general_stage1_intake > general_stage2_core > trap_stage3_network > barrier_stage4_gate > barrier_stage5_transfer,neutral,False,True,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard]
direct_multistage_exp3,6,0,19,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.545945,0.0,False,0.0661,4.612044999999999,12,36275.0,1057.0,37332.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,target_stage1_handoff > trap_stage2_router > general_stage3_network > general_stage4_verify > general_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None]
direct_multistage_exp3,7,0,20,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.692955,0.0,False,0.0712,3.764155,10,32175.0,840.0,33015.0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,0,2,3,2,5,0,deep_on_fast_required,False,mostly_fast_vs_mostly_fast_required,general_stage1_intake > trap_stage2_router > trap_stage3_network > barrier_stage4_gate > barrier_stage5_transfer,neutral,False,True,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy]
direct_multistage_exp3,8,0,21,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.939965,0.0,False,0.0716,4.011565,10,32179.0,1003.0,33182.0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_intake > general_stage2_core > barrier_stage3_gate > general_stage4_repair > target_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy]
direct_multistage_exp3,9,0,22,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.487635,0.0,False,0.0678,3.555435,10,30339.0,891.0,31230.0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,0,2,3,2,5,0,deep_on_fast_required,False,mostly_fast_vs_mostly_fast_required,barrier_stage1_gate > trap_stage2_router > trap_stage3_network > general_stage4_repair > target_stage5_decision,neutral,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy]
