split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,7.14,5.185,4.8643257,0.0,0.07112600000000001,12.0754517,0.63,0.24,0.63,0.74,0.59,0.74,0.63,0.61,1.02,3.37,12.65
all,epsilon_exp3,100,6.39,4.585,4.926996,0.0,0.070317,11.387313,0.67,0.18,0.67,0.74,0.64,0.74,0.67,0.8,0.99,3.21,12.34
all,risky_ps_linear,100,4.71,3.065,4.9273202,0.0,0.07163,9.7089502,0.75,0.25,0.75,0.76,0.68,0.76,0.75,0.54,0.99,3.47,12.78
pre,direct_multistage_exp3,25,0.0,0.0,4.8363112,0.0,0.069352,4.9056632,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.48
pre,epsilon_exp3,25,0.0,0.0,5.4730222,0.0,0.069952,5.5429742,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.44,1.56,13.36
pre,risky_ps_linear,25,0.4,0.06,4.8888084,0.0,0.07018400000000001,5.3589924,0.96,0.0,0.96,1.0,0.96,1.0,0.96,0.0,3.2,1.8,12.64
post,direct_multistage_exp3,75,9.52,6.913333333333333,4.873663866666667,0.0,0.07171733333333334,14.4653812,0.5066666666666667,0.32,0.5066666666666667,0.6533333333333333,0.4533333333333333,0.6533333333333333,0.5066666666666667,0.8133333333333334,0.37333333333333335,3.8133333333333335,12.706666666666667
post,epsilon_exp3,75,8.52,6.113333333333333,4.744987266666667,0.0,0.07043866666666668,13.335425933333333,0.56,0.24,0.56,0.6533333333333333,0.52,0.6533333333333333,0.56,1.0666666666666667,0.17333333333333334,3.76,12.0
post,risky_ps_linear,75,6.1466666666666665,4.066666666666666,4.940157466666666,0.0,0.07211200000000001,11.158936133333333,0.68,0.3333333333333333,0.68,0.68,0.5866666666666667,0.68,0.68,0.72,0.25333333333333335,4.026666666666666,12.826666666666666
post_local_nontransfer,direct_multistage_exp3,75,9.52,6.913333333333333,4.873663866666667,0.0,0.07171733333333334,14.4653812,0.5066666666666667,0.32,0.5066666666666667,0.6533333333333333,0.4533333333333333,0.6533333333333333,0.5066666666666667,0.8133333333333334,0.37333333333333335,3.8133333333333335,12.706666666666667
post_local_nontransfer,epsilon_exp3,75,8.52,6.113333333333333,4.744987266666667,0.0,0.07043866666666668,13.335425933333333,0.56,0.24,0.56,0.6533333333333333,0.52,0.6533333333333333,0.56,1.0666666666666667,0.17333333333333334,3.76,12.0
post_local_nontransfer,risky_ps_linear,75,6.1466666666666665,4.066666666666666,4.940157466666666,0.0,0.07211200000000001,11.158936133333333,0.68,0.3333333333333333,0.68,0.68,0.5866666666666667,0.68,0.68,0.72,0.25333333333333335,4.026666666666666,12.826666666666666
