method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,23,6.630434782608695,4.608695652173913,4.545711304347826,0.0,0.07508695652173913,11.25123304347826,0.7391304347826086,1.0,0.7391304347826086,0.5652173913043478,0.5217391304347826,0.5652173913043478,0.7391304347826086,0.0,0.0,5.0,12.434782608695652
direct_multistage_exp3,both_mismatch_types,10,9.5,6.5,8.352395,3.2,0.06728,17.919674999999998,0.4,0.0,0.4,0.8,0.4,0.8,0.4,1.8,1.0,2.2,13.0
direct_multistage_exp3,deep_on_fast_required,38,1.7105263157894737,1.1842105263157894,6.195707368421052,1.2105263157894737,0.0716842105263158,7.9779178947368425,0.9473684210526315,0.0,0.9473684210526315,0.868421052631579,0.868421052631579,0.868421052631579,0.9473684210526315,0.0,2.4210526315789473,2.5789473684210527,13.210526315789474
direct_multistage_exp3,fast_on_deep_required,29,9.258620689655173,5.879310344827586,6.854699137931035,2.0689655172413794,0.06919655172413794,16.182516379310346,0.4482758620689655,0.0,0.4482758620689655,0.6206896551724138,0.41379310344827586,0.6206896551724138,0.4482758620689655,1.3793103448275863,0.0,3.6206896551724137,11.586206896551724
epsilon_exp3,all_stage_modes_match,15,7.433333333333334,5.4,4.686101,0.0,0.07464666666666667,12.194081,0.6,1.0,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6,0.0,0.0,5.0,12.733333333333333
epsilon_exp3,both_mismatch_types,11,9.227272727272727,4.818181818181818,7.5906495454545455,2.409090909090909,0.07031818181818182,16.888240454545453,0.36363636363636365,0.0,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.36363636363636365,1.2727272727272727,1.0,2.727272727272727,13.0
epsilon_exp3,deep_on_fast_required,39,2.5384615384615383,2.0256410256410255,6.574418333333333,1.2435897435897436,0.07222051282051282,9.185100384615385,0.8717948717948718,0.0,0.8717948717948718,0.9487179487179487,0.8717948717948718,0.9487179487179487,0.8717948717948718,0.0,2.4871794871794872,2.5128205128205128,13.871794871794872
epsilon_exp3,fast_on_deep_required,35,7.428571428571429,4.714285714285714,7.124794428571429,2.2285714285714286,0.06909142857142858,14.622457285714285,0.5714285714285714,0.0,0.5714285714285714,0.6857142857142857,0.5428571428571428,0.6857142857142857,0.5714285714285714,1.4857142857142858,0.0,3.5142857142857142,11.771428571428572
risky_ps_linear,all_stage_modes_match,20,8.625,6.375,4.63267425,0.0,0.0738,13.33147425,0.6,1.0,0.6,0.7,0.45,0.7,0.6,0.0,0.0,5.0,12.75
risky_ps_linear,both_mismatch_types,14,10.035714285714286,7.464285714285714,7.958423214285714,2.75,0.06873571428571429,18.062873214285716,0.5,0.0,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,1.5,1.0,2.5,13.0
risky_ps_linear,deep_on_fast_required,34,1.1911764705882353,0.6470588235294118,7.028538529411764,1.411764705882353,0.07222352941176471,8.291938529411764,0.9411764705882353,0.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.0,2.823529411764706,2.176470588235294,14.058823529411764
risky_ps_linear,fast_on_deep_required,32,8.328125,5.5625,6.850921875,2.109375,0.068559375,15.24760625,0.53125,0.0,0.53125,0.71875,0.5,0.71875,0.53125,1.40625,0.0,3.59375,11.71875
