method,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,62,7.475806451612903,5.290322580645161,5.618619193548387,0.8387096774193549,0.07327741935483871,13.167703064516129,0.6451612903225806,0.3709677419354839,0.6451612903225806,0.6451612903225806,0.5,0.6451612903225806,0.6451612903225806,0.45161290322580644,0.3225806451612903,4.225806451612903,12.741935483870968
direct_multistage_exp3,mostly_deep_vs_mostly_fast_required,18,0.0,0.0,7.277159166666666,1.8611111111111112,0.07075000000000001,7.347909166666667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.7222222222222223,1.2777777777777777,13.222222222222221
direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,13,9.038461538461538,4.5,8.637471923076923,3.576923076923077,0.065,17.74093346153846,0.38461538461538464,0.0,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.38461538461538464,2.3076923076923075,0.23076923076923078,2.4615384615384617,11.76923076923077
direct_multistage_exp3,mostly_fast_vs_mostly_fast_required,7,0.0,0.0,4.381153571428571,0.8571428571428571,0.06697142857142857,4.448125,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7142857142857142,3.2857142857142856,10.428571428571429
epsilon_exp3,mostly_deep_vs_mostly_deep_required,61,7.745901639344262,5.483606557377049,6.0191455737704915,1.0655737704918034,0.07305573770491804,13.838102950819671,0.5573770491803278,0.2459016393442623,0.5573770491803278,0.7213114754098361,0.5409836065573771,0.7213114754098361,0.5573770491803278,0.5737704918032787,0.4098360655737705,4.016393442622951,13.081967213114755
epsilon_exp3,mostly_deep_vs_mostly_fast_required,19,0.0,0.0,7.6433836842105265,1.868421052631579,0.07107894736842106,7.7144626315789475,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.736842105263158,1.263157894736842,13.842105263157896
epsilon_exp3,mostly_fast_vs_mostly_deep_required,14,7.107142857142857,3.107142857142857,8.407583928571428,3.3214285714285716,0.06573571428571429,15.5804625,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,2.2142857142857144,0.0,2.7857142857142856,11.428571428571429
epsilon_exp3,mostly_fast_vs_mostly_fast_required,6,0.0,0.0,4.9100725,1.0,0.0668,4.9768725,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,11.0
risky_ps_linear,mostly_deep_vs_mostly_deep_required,61,8.459016393442623,6.073770491803279,5.9641323770491805,1.0901639344262295,0.07234262295081968,14.495491393442624,0.5737704918032787,0.32786885245901637,0.5737704918032787,0.6557377049180327,0.47540983606557374,0.6557377049180327,0.5737704918032787,0.6065573770491803,0.36065573770491804,4.032786885245901,12.868852459016393
risky_ps_linear,mostly_deep_vs_mostly_fast_required,22,0.0,0.0,7.698902727272727,1.8409090909090908,0.07168636363636365,7.770589090909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.6818181818181817,1.3181818181818181,13.909090909090908
risky_ps_linear,mostly_fast_vs_mostly_deep_required,14,7.428571428571429,4.392857142857143,8.162370357142857,3.142857142857143,0.06472857142857143,15.655670357142856,0.5714285714285714,0.0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5714285714285714,2.0714285714285716,0.07142857142857142,2.857142857142857,11.714285714285714
risky_ps_linear,mostly_fast_vs_mostly_fast_required,3,0.0,0.0,4.9367,1.0,0.06386666666666667,5.000566666666667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,11.666666666666666
