split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,5.81,3.865,6.22298465,1.38,0.07130500000000001,12.10428965,0.7,0.23,0.7,0.72,0.61,0.72,0.7,0.58,1.02,3.4,12.54
all,epsilon_exp3,100,5.72,3.78,6.5955878,1.53,0.07128000000000001,12.3868678,0.67,0.15,0.67,0.77,0.65,0.77,0.67,0.66,1.08,3.26,12.87
all,risky_ps_linear,100,6.2,4.32,6.6227122,1.54,0.07087800000000001,12.8935902,0.68,0.2,0.68,0.77,0.62,0.77,0.68,0.66,1.1,3.24,12.9
pre,direct_multistage_exp3,25,0.0,0.0,6.4662776,1.58,0.069692,6.5359696,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.16,1.84,12.44
pre,epsilon_exp3,25,0.0,0.0,6.987389,1.66,0.070052,7.057441,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.32,1.68,13.16
pre,risky_ps_linear,25,0.0,0.0,7.3674384,1.74,0.070748,7.4381864,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.48,1.52,13.64
post,direct_multistage_exp3,75,7.746666666666667,5.153333333333333,6.141887,1.3133333333333332,0.07184266666666667,13.960396333333334,0.6,0.30666666666666664,0.6,0.6266666666666667,0.48,0.6266666666666667,0.6,0.7733333333333333,0.30666666666666664,3.92,12.573333333333334
post,epsilon_exp3,75,7.626666666666667,5.04,6.4649874,1.4866666666666666,0.07168933333333334,14.1633434,0.56,0.2,0.56,0.6933333333333334,0.5333333333333333,0.6933333333333334,0.56,0.88,0.3333333333333333,3.7866666666666666,12.773333333333333
post,risky_ps_linear,75,8.266666666666667,5.76,6.374470133333333,1.4733333333333334,0.07092133333333334,14.712058133333333,0.5733333333333334,0.26666666666666666,0.5733333333333334,0.6933333333333334,0.49333333333333335,0.6933333333333334,0.5733333333333334,0.88,0.30666666666666664,3.8133333333333335,12.653333333333334
post_local_nontransfer,direct_multistage_exp3,75,7.746666666666667,5.153333333333333,6.141887,1.3133333333333332,0.07184266666666667,13.960396333333334,0.6,0.30666666666666664,0.6,0.6266666666666667,0.48,0.6266666666666667,0.6,0.7733333333333333,0.30666666666666664,3.92,12.573333333333334
post_local_nontransfer,epsilon_exp3,75,7.626666666666667,5.04,6.4649874,1.4866666666666666,0.07168933333333334,14.1633434,0.56,0.2,0.56,0.6933333333333334,0.5333333333333333,0.6933333333333334,0.56,0.88,0.3333333333333333,3.7866666666666666,12.773333333333333
post_local_nontransfer,risky_ps_linear,75,8.266666666666667,5.76,6.374470133333333,1.4733333333333334,0.07092133333333334,14.712058133333333,0.5733333333333334,0.26666666666666666,0.5733333333333334,0.6933333333333334,0.49333333333333335,0.6933333333333334,0.5733333333333334,0.88,0.30666666666666664,3.8133333333333335,12.653333333333334
