method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
direct_multistage_exp3,ALL,deep,deep,245,75,6.191836734693878,4.222926979591837,0.9857142857142858,10.487609020408163,0.6693877551020408,0.2938775510204082,0.5387755102040817,0.6693877551020408,0.726530612244898
direct_multistage_exp3,ALL,deep,fast,55,39,7.4,4.721619090909091,2.7,12.189148181818181,0.5818181818181818,0.0,0.509090909090909,0.5818181818181818,0.6181818181818182
direct_multistage_exp3,ALL,fast,deep,103,55,1.912621359223301,5.36126791262136,1.5679611650485437,7.344761116504855,0.8737864077669902,0.0,0.8543689320388349,0.8737864077669902,0.9514563106796117
direct_multistage_exp3,ALL,fast,fast,97,70,3.443298969072165,4.422063350515464,1.2216494845360826,7.934604587628866,0.8144329896907216,0.18556701030927836,0.7422680412371134,0.8144329896907216,0.8247422680412371
direct_multistage_exp3,stage1,fast,deep,37,37,4.513513513513513,4.826728918918919,1.472972972972973,9.41319108108108,0.7297297297297297,0.0,0.6756756756756757,0.7297297297297297,0.8648648648648649
direct_multistage_exp3,stage1,fast,fast,63,63,5.142857142857143,4.388927142857143,1.2619047619047619,9.601885873015872,0.7301587301587301,0.2857142857142857,0.6190476190476191,0.7301587301587301,0.7301587301587301
direct_multistage_exp3,stage2,deep,deep,46,46,5.456521739130435,4.314937826086957,0.6195652173913043,9.845250869565218,0.717391304347826,0.391304347826087,0.5217391304347826,0.717391304347826,0.717391304347826
direct_multistage_exp3,stage2,deep,fast,29,29,7.931034482758621,4.313427586206896,2.3793103448275863,12.313286206896551,0.5517241379310345,0.0,0.5517241379310345,0.5517241379310345,0.6896551724137931
direct_multistage_exp3,stage2,fast,deep,7,7,0.0,5.670747857142858,1.5714285714285714,5.739905,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage2,fast,fast,18,18,0.5555555555555556,5.101089166666666,1.4166666666666667,5.7255947222222225,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,1.0
direct_multistage_exp3,stage3,deep,deep,64,64,6.3984375,4.186487265625,0.953125,10.657971640625,0.65625,0.28125,0.53125,0.65625,0.71875
direct_multistage_exp3,stage3,deep,fast,11,11,6.5,5.058305,3.3181818181818183,11.623332272727273,0.6363636363636364,0.0,0.5454545454545454,0.6363636363636364,0.6363636363636364
direct_multistage_exp3,stage3,fast,deep,18,18,0.5555555555555556,5.5563025,1.6388888888888888,6.180891388888889,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,1.0
direct_multistage_exp3,stage3,fast,fast,7,7,0.0,4.500199285714285,1.0,4.569142142857142,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage4,deep,deep,68,68,6.397058823529412,4.213042647058823,1.0955882352941178,10.682583823529411,0.6617647058823529,0.2647058823529412,0.5441176470588235,0.6617647058823529,0.7352941176470589
direct_multistage_exp3,stage4,deep,fast,7,7,6.571428571428571,5.29852,3.2857142857142856,11.935877142857143,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.42857142857142855
direct_multistage_exp3,stage4,fast,deep,20,20,0.5,5.734184,1.625,6.304344,0.95,0.0,0.95,0.95,1.0
direct_multistage_exp3,stage4,fast,fast,5,5,0.0,3.366232,0.8,3.430632,1.0,0.0,1.0,1.0,1.0
direct_multistage_exp3,stage5,deep,deep,67,67,6.291044776119403,4.204595298507463,1.1567164179104477,10.56801171641791,0.6567164179104478,0.26865671641791045,0.5522388059701493,0.6567164179104478,0.7313432835820896
direct_multistage_exp3,stage5,deep,fast,8,8,7.4375,5.2335818750000005,2.5,12.738756875,0.625,0.0,0.375,0.625,0.5
direct_multistage_exp3,stage5,fast,deep,21,21,0.47619047619047616,5.677584047619048,1.619047619047619,6.223812619047619,0.9523809523809523,0.0,0.9523809523809523,0.9523809523809523,1.0
direct_multistage_exp3,stage5,fast,fast,4,4,0.0,3.0713937500000004,0.625,3.13499375,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,ALL,deep,deep,215,75,7.244186046511628,4.1315585348837205,1.369767441860465,11.446634813953489,0.5906976744186047,0.27906976744186046,0.5023255813953489,0.5906976744186047,0.6744186046511628
epsilon_exp3,ALL,deep,fast,85,54,8.052941176470588,4.702089823529412,3.0058823529411764,12.820986294117647,0.4823529411764706,0.0,0.47058823529411764,0.4823529411764706,0.5529411764705883
epsilon_exp3,ALL,fast,deep,107,45,1.0327102803738317,6.13112191588785,1.9299065420560748,7.235049953271028,0.9252336448598131,0.0,0.9065420560747663,0.9252336448598131,0.9439252336448598
epsilon_exp3,ALL,fast,fast,93,76,4.838709677419355,5.013674838709678,1.596774193548387,9.921041505376344,0.7311827956989247,0.16129032258064516,0.6989247311827957,0.7311827956989247,0.7741935483870968
epsilon_exp3,stage1,fast,deep,30,30,3.683333333333333,5.4573235,2.1333333333333333,9.211400166666667,0.7333333333333333,0.0,0.6666666666666666,0.7333333333333333,0.8
epsilon_exp3,stage1,fast,fast,70,70,6.428571428571429,4.547617142857143,1.6714285714285715,11.04545,0.6428571428571429,0.21428571428571427,0.6,0.6428571428571429,0.7
epsilon_exp3,stage2,deep,deep,30,30,8.35,4.175750833333333,0.75,12.598830833333333,0.5666666666666667,0.5,0.4,0.5666666666666667,0.6333333333333333
epsilon_exp3,stage2,deep,fast,45,45,6.888888888888889,4.371514555555556,2.5555555555555554,11.327503444444444,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.6444444444444445
epsilon_exp3,stage2,fast,deep,12,12,0.0,6.143712916666667,2.0,6.2168962500000005,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage2,fast,fast,13,13,0.0,6.641359230769231,1.5,6.70909,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage3,deep,deep,58,58,6.689655172413793,4.084446034482759,1.3189655172413792,10.845039137931035,0.6206896551724138,0.25862068965517243,0.5517241379310345,0.6206896551724138,0.7241379310344828
epsilon_exp3,stage3,deep,fast,17,17,10.147058823529411,5.005459411764706,3.588235294117647,15.217077058823529,0.35294117647058826,0.0,0.29411764705882354,0.35294117647058826,0.35294117647058826
epsilon_exp3,stage3,fast,deep,18,18,0.0,6.379957777777777,1.9722222222222223,6.451646666666667,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage3,fast,fast,7,7,0.0,6.460426428571429,1.1428571428571428,6.5273264285714285,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage4,deep,deep,61,61,7.024590163934426,4.0661149180327865,1.4180327868852458,11.161221475409835,0.6065573770491803,0.2459016393442623,0.5245901639344263,0.6065573770491803,0.7049180327868853
epsilon_exp3,stage4,deep,fast,14,14,9.428571428571429,5.282690714285715,3.642857142857143,14.776290714285715,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715
epsilon_exp3,stage4,fast,deep,24,24,0.0,6.503685625,1.7708333333333333,6.574218958333334,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage4,fast,fast,1,1,0.0,3.97377,1.0,4.03967,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage5,deep,deep,66,66,7.431818181818182,4.2133587878787875,1.6515151515151516,11.715375454545454,0.5606060606060606,0.22727272727272727,0.48484848484848486,0.5606060606060606,0.6212121212121212
epsilon_exp3,stage5,deep,fast,9,9,7.777777777777778,4.878777777777778,3.1666666666666665,12.720866666666668,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.7777777777777778
epsilon_exp3,stage5,fast,deep,23,23,0.0,6.419916956521739,1.7608695652173914,6.491073478260869,1.0,0.0,1.0,1.0,1.0
epsilon_exp3,stage5,fast,fast,2,2,0.0,6.2020675,1.5,6.2631175,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,ALL,deep,deep,250,75,6.324,4.20077504,0.952,10.59743384,0.636,0.272,0.556,0.636,0.724
risky_ps_linear,ALL,deep,fast,50,36,8.86,4.46968,2.56,13.397546,0.5,0.0,0.5,0.5,0.62
risky_ps_linear,ALL,fast,deep,110,58,1.990909090909091,5.140237636363636,1.5545454545454545,7.202752181818182,0.8818181818181818,0.0,0.8545454545454545,0.8818181818181818,0.9272727272727272
risky_ps_linear,ALL,fast,fast,90,66,3.7444444444444445,4.409474444444444,1.2555555555555555,8.22265111111111,0.7666666666666667,0.18888888888888888,0.7444444444444445,0.7666666666666667,0.8444444444444444
risky_ps_linear,stage1,fast,deep,42,42,4.5,4.738727023809524,1.3095238095238095,9.310934166666666,0.7619047619047619,0.0,0.6904761904761905,0.7619047619047619,0.8095238095238095
risky_ps_linear,stage1,fast,fast,58,58,5.637931034482759,4.278703189655173,1.293103448275862,9.987175603448275,0.6551724137931034,0.29310344827586204,0.6206896551724138,0.6551724137931034,0.7586206896551724
risky_ps_linear,stage2,deep,deep,50,50,5.37,4.1772598,0.61,9.6212238,0.68,0.34,0.58,0.68,0.78
risky_ps_linear,stage2,deep,fast,25,25,9.5,4.382258,2.44,13.94991,0.48,0.0,0.48,0.48,0.56
risky_ps_linear,stage2,fast,deep,7,7,0.0,4.859336428571429,1.9285714285714286,4.933350714285714,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage2,fast,fast,18,18,0.5555555555555556,5.264251388888889,1.3888888888888888,5.887390277777778,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,1.0
risky_ps_linear,stage3,deep,deep,60,60,6.258333333333334,4.197126083333333,0.875,10.527861083333333,0.65,0.2833333333333333,0.5666666666666667,0.65,0.7
risky_ps_linear,stage3,deep,fast,15,15,8.7,4.4394583333333335,2.6,13.209151666666667,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.7333333333333333
risky_ps_linear,stage3,fast,deep,18,18,0.5555555555555556,5.606551666666666,1.75,6.233646111111111,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,1.0
risky_ps_linear,stage3,fast,fast,7,7,0.0,3.9791357142857144,1.0,4.042978571428572,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage4,deep,deep,70,70,6.828571428571428,4.221700857142857,1.1142857142857143,11.122406571428572,0.6142857142857143,0.24285714285714285,0.5428571428571428,0.6142857142857143,0.7142857142857143
risky_ps_linear,stage4,deep,fast,5,5,5.6,4.580076,2.7,10.248096,0.6,0.0,0.6,0.6,0.6
risky_ps_linear,stage4,fast,deep,21,21,0.47619047619047616,5.414884523809524,1.6904761904761905,5.961932142857143,0.9523809523809523,0.0,0.9523809523809523,0.9523809523809523,1.0
risky_ps_linear,stage4,fast,fast,4,4,0.0,3.76482625,0.75,3.82647625,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage5,deep,deep,70,70,6.557142857142857,4.1997735,1.1,10.829387785714285,0.6142857142857143,0.24285714285714285,0.5428571428571428,0.6142857142857143,0.7142857142857143
risky_ps_linear,stage5,deep,fast,5,5,9.4,4.887059,2.9,14.350359000000001,0.6,0.0,0.6,0.6,0.6
