split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,4.91,3.045,4.5509138,1.34,0.07115500000000001,9.5320688,0.73,0.18,0.73,0.78,0.64,0.78,0.73,0.55,1.03,3.42,12.69
all,epsilon_exp3,100,5.605,3.385,4.82052905,1.81,0.069706,10.49523505,0.67,0.15,0.67,0.73,0.62,0.73,0.67,0.85,1.07,3.08,12.47
all,risky_ps_linear,100,5.16,3.43,4.4719132,1.3,0.071241,9.7031542,0.7,0.17,0.7,0.78,0.65,0.78,0.7,0.5,1.1,3.4,12.68
pre,direct_multistage_exp3,25,0.4,0.12,5.2605936,1.46,0.069008,5.7296016000000005,0.96,0.0,0.96,1.0,0.96,1.0,0.96,0.0,2.92,2.08,12.6
pre,epsilon_exp3,25,0.0,0.0,6.402489,1.74,0.07034800000000001,6.472837,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.48,1.52,13.92
pre,risky_ps_linear,25,0.4,0.12,5.1508752,1.54,0.069384,5.6202592,0.96,0.0,0.96,1.0,0.96,1.0,0.96,0.0,3.08,1.92,12.44
post,direct_multistage_exp3,75,6.413333333333333,4.02,4.314353866666667,1.3,0.07187066666666667,10.799557866666667,0.6533333333333333,0.24,0.6533333333333333,0.7066666666666667,0.5333333333333333,0.7066666666666667,0.6533333333333333,0.7333333333333333,0.4,3.8666666666666667,12.72
post,epsilon_exp3,75,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.069492,11.8360344,0.56,0.2,0.56,0.64,0.49333333333333335,0.64,0.56,1.1333333333333333,0.26666666666666666,3.6,11.986666666666666
post,risky_ps_linear,75,6.746666666666667,4.533333333333333,4.245592533333333,1.22,0.07186000000000001,11.0641192,0.6133333333333333,0.22666666666666666,0.6133333333333333,0.7066666666666667,0.5466666666666666,0.7066666666666667,0.6133333333333333,0.6666666666666666,0.44,3.8933333333333335,12.76
post_local_nontransfer,direct_multistage_exp3,75,6.413333333333333,4.02,4.314353866666667,1.3,0.07187066666666667,10.799557866666667,0.6533333333333333,0.24,0.6533333333333333,0.7066666666666667,0.5333333333333333,0.7066666666666667,0.6533333333333333,0.7333333333333333,0.4,3.8666666666666667,12.72
post_local_nontransfer,epsilon_exp3,75,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.069492,11.8360344,0.56,0.2,0.56,0.64,0.49333333333333335,0.64,0.56,1.1333333333333333,0.26666666666666666,3.6,11.986666666666666
post_local_nontransfer,risky_ps_linear,75,6.746666666666667,4.533333333333333,4.245592533333333,1.22,0.07186000000000001,11.0641192,0.6133333333333333,0.22666666666666666,0.6133333333333333,0.7066666666666667,0.5466666666666666,0.7066666666666667,0.6133333333333333,0.6666666666666666,0.44,3.8933333333333335,12.76
