episode_index,repeat_index,position_in_cycle,dataset_index,original_task_id,is_specialist_task,selected_shared_path,selected_unshared_path,cumulative_shared_path_ratio,rolling_shared_path_ratio_last10,shared_branch_triggered,unshared_branch_triggered,shared_update_count,cumulative_shared_update_count,unshared_edge_update_count,cumulative_unshared_edge_update_count,selected_path,selected_shared_path_nodes,selected_unshared_path_nodes,raw_terminal_penalty,total_cost
0,0,0,1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,1,1,5,5,"['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n4__from__n0020__c02', 'stage4_n5__from__n0066__c04', 'stage5_n2__from__n0191__c01']","['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n4__from__n0020__c02', 'stage4_n5__from__n0066__c04', 'stage5_n2__from__n0191__c01']",[],0.0,0.10201373182552503
1,0,1,3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,5,6,2,7,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n1__from__n0012__c01', 'stage4_n1__from__n0041__c01', 'stage5_n1__from__n0120__c01']","['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n1__from__n0012__c01', 'stage4_n1__from__n0041__c01', 'stage5_n1__from__n0120__c01']",[],0.0,0.1479442649434572
2,0,2,6,[mms_issue]bad_wifi_calling[PERSONA:Easy],False,True,False,1.0,1.0,True,False,2,8,4,11,"['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n5__from__n0020__c03', 'stage4_n2__from__n0067__c01', 'stage5_n1__from__n0192__c01']","['stage1_n5__from__root__c05', 'stage2_n3__from__n0005__c01', 'stage3_n5__from__n0020__c03', 'stage4_n2__from__n0067__c01', 'stage5_n1__from__n0192__c01']",[],0.0,0.20907727517501346
3,0,3,15,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,13,3,14,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n2__from__n0007__c01', 'stage4_n1__from__n0025__c01', 'stage5_n1__from__n0076__c01']","['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n2__from__n0007__c01', 'stage4_n1__from__n0025__c01', 'stage5_n1__from__n0076__c01']",[],0.0,0.12232377490576198
4,0,4,17,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,5,18,3,17,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n3__from__n0007__c02', 'stage4_n3__from__n0026__c02', 'stage5_n4__from__n0078__c04']","['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n3__from__n0007__c02', 'stage4_n3__from__n0026__c02', 'stage5_n4__from__n0078__c04']",[],0.0,0.09151763597199784
5,0,5,18,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],False,True,False,1.0,1.0,True,False,5,23,5,22,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n4__from__n0011__c02', 'stage4_n4__from__n0039__c03', 'stage5_n4__from__n0114__c03']","['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c03', 'stage3_n4__from__n0011__c02', 'stage4_n4__from__n0039__c03', 'stage5_n4__from__n0114__c03']",[],0.0,0.0865560043080237
6,0,6,19,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],False,True,False,1.0,1.0,True,False,5,28,3,25,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c03', 'stage3_n3__from__n0017__c01', 'stage4_n3__from__n0056__c02', 'stage5_n2__from__n0157__c02']","['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c03', 'stage3_n3__from__n0017__c01', 'stage4_n3__from__n0056__c02', 'stage5_n2__from__n0157__c02']",[],0.0,0.11267218632202479
7,0,7,20,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,1,29,5,30,"['stage1_n3__from__root__c03', 'stage2_n3__from__n0003__c03', 'stage3_n4__from__n0014__c02', 'stage4_n5__from__n0048__c04', 'stage5_n4__from__n0138__c02']","['stage1_n3__from__root__c03', 'stage2_n3__from__n0003__c03', 'stage3_n4__from__n0014__c02', 'stage4_n5__from__n0048__c04', 'stage5_n4__from__n0138__c02']",[],0.0,0.10562385568120625
8,0,8,21,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,34,4,34,"['stage1_n1__from__root__c01', 'stage2_n3__from__n0001__c03', 'stage3_n4__from__n0008__c02', 'stage4_n2__from__n0030__c01', 'stage5_n2__from__n0089__c02']","['stage1_n1__from__root__c01', 'stage2_n3__from__n0001__c03', 'stage3_n4__from__n0008__c02', 'stage4_n2__from__n0030__c01', 'stage5_n2__from__n0089__c02']",[],0.0,0.10162802907915994
9,0,9,22,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],False,True,False,1.0,1.0,True,False,3,37,5,39,"['stage1_n4__from__root__c04', 'stage2_n5__from__n0004__c05', 'stage3_n4__from__n0019__c02', 'stage4_n4__from__n0063__c03', 'stage5_n3__from__n0180__c02']","['stage1_n4__from__root__c04', 'stage2_n5__from__n0004__c05', 'stage3_n4__from__n0019__c02', 'stage4_n4__from__n0063__c03', 'stage5_n3__from__n0180__c02']",[],0.0,0.0921794561120086
