method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
risky_ps,ALL,deep,deep,226,75,7.741150442477876,4.264560044247788,1.3274336283185841,12.078033495575221,0.584070796460177,0.24778761061946902,0.5353982300884956,0.584070796460177,0.6592920353982301
risky_ps,ALL,deep,fast,74,53,7.331081081081081,4.600028243243243,2.6216216216216215,11.99977689189189,0.5945945945945946,0.0,0.581081081081081,0.5945945945945946,0.6351351351351351
risky_ps,ALL,fast,deep,103,50,1.8932038834951457,5.193300097087379,1.8786407766990292,7.157443786407767,0.8932038834951457,0.0,0.8737864077669902,0.8932038834951457,0.9029126213592233
risky_ps,ALL,fast,fast,97,72,3.8969072164948453,4.193895412371134,1.288659793814433,8.160109845360825,0.7938144329896907,0.14432989690721648,0.7835051546391752,0.7938144329896907,0.8350515463917526
risky_ps,stage1,fast,deep,35,35,5.571428571428571,5.039346142857143,2.085714285714286,10.680311857142858,0.6857142857142857,0.0,0.6285714285714286,0.6857142857142857,0.7142857142857143
risky_ps,stage1,fast,fast,65,65,5.815384615384615,4.196999538461538,1.376923076923077,10.084036461538462,0.6923076923076923,0.2153846153846154,0.676923076923077,0.6923076923076923,0.7538461538461538
risky_ps,stage2,deep,deep,34,34,6.8088235294117645,4.227739705882353,0.8235294117647058,11.110942647058824,0.6470588235294118,0.4117647058823529,0.5588235294117647,0.6470588235294118,0.7058823529411765
risky_ps,stage2,deep,fast,41,41,8.329268292682928,4.446463780487805,2.3292682926829267,12.844700365853658,0.5365853658536586,0.0,0.5365853658536586,0.5365853658536586,0.6097560975609756
risky_ps,stage2,fast,deep,9,9,0.0,4.963245555555556,2.0,5.037034444444444,1.0,0.0,1.0,1.0,1.0
risky_ps,stage2,fast,fast,16,16,0.0,4.904044375,1.3125,4.970950625,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,deep,deep,59,59,8.372881355932204,4.293013050847458,1.3220338983050848,12.738223220338982,0.5423728813559322,0.23728813559322035,0.4915254237288136,0.5423728813559322,0.6271186440677966
risky_ps,stage3,deep,fast,16,16,4.9375,4.5475246875,2.84375,9.5530996875,0.75,0.0,0.75,0.75,0.75
risky_ps,stage3,fast,deep,19,19,0.0,5.349246842105263,1.763157894736842,5.420546842105263,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,fast,fast,6,6,0.0,3.5830383333333335,0.9166666666666666,3.6463550000000002,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,deep,deep,69,69,7.673913043478261,4.297376811594203,1.536231884057971,12.042671014492754,0.5942028985507246,0.2028985507246377,0.5507246376811594,0.5942028985507246,0.6666666666666666
risky_ps,stage4,deep,fast,6,6,7.25,4.9215275,2.9166666666666665,12.243410833333334,0.5,0.0,0.5,0.5,0.5
risky_ps,stage4,fast,deep,22,22,0.0,5.176374318181818,1.6818181818181819,5.2473197727272725,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,fast,fast,3,3,0.0,3.0845616666666666,0.6666666666666666,3.142495,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,deep,deep,64,64,7.7265625,4.22251015625,1.375,12.02131328125,0.578125,0.21875,0.546875,0.578125,0.65625
risky_ps,stage5,deep,fast,11,11,7.136363636363637,5.073410454545455,3.227272727272727,12.276428636363635,0.6363636363636364,0.0,0.5454545454545454,0.6363636363636364,0.6363636363636364
risky_ps,stage5,fast,deep,18,18,0.0,5.463758888888889,1.7777777777777777,5.535614444444445,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,fast,fast,7,7,0.0,3.5408942857142858,1.0,3.603922857142857,1.0,0.0,1.0,1.0,1.0
