method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
risky_ps,all_stage_modes_match,22,6.136363636363637,4.5,3.82172,0.0,0.07434545454545455,10.03242909090909,0.7727272727272727,1.0,0.7727272727272727,0.6818181818181818,0.5909090909090909,0.6818181818181818,0.7727272727272727,0.0,0.0,5.0,12.772727272727273
risky_ps,both_mismatch_types,22,3.1818181818181817,1.9545454545454546,4.664398636363637,2.477272727272727,0.06837727272727273,7.914594090909091,0.7727272727272727,0.0,0.7727272727272727,0.8181818181818182,0.7727272727272727,0.8181818181818182,0.7727272727272727,1.3181818181818181,1.0,2.6818181818181817,12.727272727272727
risky_ps,deep_on_fast_required,42,3.2142857142857144,2.369047619047619,4.668180119047619,1.0833333333333333,0.07242857142857144,7.954894404761904,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.0,2.1666666666666665,2.8333333333333335,13.095238095238095
risky_ps,fast_on_deep_required,14,7.857142857142857,4.607142857142857,4.3497007142857145,2.0357142857142856,0.06815,12.274993571428572,0.5,0.0,0.5,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5,1.3571428571428572,0.0,3.642857142857143,11.714285714285714
risky_ps_direct_cost,all_stage_modes_match,15,7.5,5.133333333333334,3.8926346666666665,0.0,0.07516666666666667,11.467801333333334,0.6,1.0,0.6,0.8,0.4666666666666667,0.8,0.6,0.0,0.0,5.0,12.733333333333333
risky_ps_direct_cost,both_mismatch_types,25,5.8,3.56,4.7023644,2.54,0.06912800000000001,10.5714924,0.64,0.0,0.64,0.68,0.64,0.68,0.64,1.36,1.0,2.64,12.96
risky_ps_direct_cost,deep_on_fast_required,36,2.8194444444444446,1.9027777777777777,4.680152361111111,1.1805555555555556,0.07097222222222223,7.570569027777778,0.8611111111111112,0.0,0.8611111111111112,0.8333333333333334,0.8055555555555556,0.8333333333333334,0.8611111111111112,0.0,2.361111111111111,2.638888888888889,12.916666666666666
risky_ps_direct_cost,fast_on_deep_required,24,9.270833333333334,5.583333333333333,4.155100625,2.0625,0.06867083333333333,13.494604791666667,0.4166666666666667,0.0,0.4166666666666667,0.625,0.4166666666666667,0.625,0.4166666666666667,1.375,0.0,3.625,11.375
risky_ps_ix,all_stage_modes_match,17,9.205882352941176,7.088235294117647,4.056874705882353,0.0,0.0738764705882353,13.336633529411765,0.5882352941176471,1.0,0.5882352941176471,0.6470588235294118,0.47058823529411764,0.6470588235294118,0.5882352941176471,0.0,0.0,5.0,13.176470588235293
risky_ps_ix,both_mismatch_types,24,5.958333333333333,4.208333333333333,4.798162291666666,2.5625,0.06878333333333334,10.825278958333334,0.6666666666666666,0.0,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666,1.375,1.0,2.625,12.916666666666666
risky_ps_ix,deep_on_fast_required,41,2.097560975609756,1.4878048780487805,4.938243170731707,1.2073170731707317,0.07243170731707317,7.108235853658536,0.9024390243902439,0.0,0.9024390243902439,0.926829268292683,0.8536585365853658,0.926829268292683,0.9024390243902439,0.0,2.4146341463414633,2.5853658536585367,13.512195121951219
risky_ps_ix,fast_on_deep_required,18,8.63888888888889,5.944444444444445,4.332527222222223,2.1666666666666665,0.06771111111111111,13.039127222222223,0.5,0.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,1.4444444444444444,0.0,3.5555555555555554,11.5
risky_ps_linear,all_stage_modes_match,21,6.428571428571429,4.166666666666667,3.861816666666667,0.0,0.07627142857142859,10.366659523809524,0.6190476190476191,1.0,0.6190476190476191,0.7619047619047619,0.5238095238095238,0.7619047619047619,0.6190476190476191,0.0,0.0,5.0,12.80952380952381
risky_ps_linear,both_mismatch_types,18,10.722222222222221,7.194444444444445,4.950944166666667,2.75,0.06861666666666667,15.741783055555556,0.3888888888888889,0.0,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.3888888888888889,1.5,1.0,2.5,13.055555555555555
