method,episode_index,repeat_index,schedule_phase,task_bucket,is_specialist_task,oracle_action,final_action,exact_match,clear_success_proxy,auxiliary_success_proxy,strict_clean_success,raw_terminal_penalty,legacy_raw_terminal_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,raw_path_cost_component,raw_total_cost,terminal_adjustment_floor,terminal_adjustment_reasons,mode_mismatch_cost_enabled,mode_mismatch_report_only_enabled,reasoning_weight_calibration_enabled,actual_modes,required_modes,majority_pair,mismatch_bucket,exact_mode_match,fast_on_deep_count,deep_on_fast_count,match_count,llm_call_count,original_task_id
risky_ps_old,0,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,4.152655,1.5,0.06670000000000001,4.219355,,,False,True,True,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,10,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_old,1,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,4.28195,1.5,0.06530000000000001,4.34725,,,False,True,True,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,12,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_old,2,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,9.05448,1.5,0.07500000000000001,9.12948,,,False,True,True,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,17,[mms_issue]bad_wifi_calling[PERSONA:Easy]
risky_ps_old,3,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,5.199805,2.0,0.0758,5.275605,,,False,True,True,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,4,1,13,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_old,4,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,4.77803,1.5,0.06420000000000001,4.84223,,,False,True,True,deep/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,13,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_old,5,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,5.627025,2.0,0.0752,5.702224999999999,,,False,True,True,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,4,1,13,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard]
risky_ps_old,6,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,3.55778,1.0,0.0632,3.6209800000000003,,,False,True,True,deep/fast/deep/fast/fast,fast/fast/fast/fast/fast,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,False,0,2,3,12,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None]
risky_ps_old,7,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,3.69833,1.0,0.0601,3.7584299999999997,,,False,True,True,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_fast_vs_mostly_fast_required,deep_on_fast_required,False,0,2,3,10,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy]
risky_ps_old,8,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,4.118375,1.5,0.0725,4.190875,,,False,True,True,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,10,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy]
risky_ps_old,9,0,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,0.0,0.0,4.22979,1.5,0.0731,4.3028900000000005,,,False,True,True,deep/fast/fast/deep/deep,fast/fast/fast/fast/fast,mostly_deep_vs_mostly_fast_required,deep_on_fast_required,False,0,3,2,12,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy]
