method,episode_index,repeat_index,dataset_index,schedule_phase,task_bucket,is_specialist_task,oracle_action,final_action,exact_match,policy_clean,subset_clean,clear_success_proxy,auxiliary_success_proxy,strict_clean_success,policy_violation_count,subset_mismatch,raw_terminal_penalty,legacy_raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_adjustment_enabled,terminal_adjustment_floor,terminal_adjustment_reasons,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,mode_mismatch_cost_enabled,mode_mismatch_report_only_enabled,reasoning_weight_calibration_enabled,raw_path_cost_component,raw_total_cost,llm_call_count,prompt_tokens_total,completion_tokens_total,total_tokens_total,actual_modes,required_modes,match_count,fast_on_deep_count,deep_on_fast_count,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,mismatch_bucket,exact_mode_match,majority_pair,route_labels,route_bucket,selected_shared_path,selected_unshared_path,original_task_id
risky_ps_old,0,0,1,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.152655,1.5,False,True,True,0.06670000000000001,4.219355,10,32183.0,1074.0,33257.0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,trap_stage1_intake > general_stage2_core > general_stage3_network > general_stage4_verify > target_stage5_decision,trap_like_good,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_old,1,0,3,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.28195,1.5,False,True,True,0.06530000000000001,4.34725,12,36013.0,1099.0,37112.0,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,target_stage1_handoff > general_stage2_core > barrier_stage3_gate > general_stage4_verify > trap_stage5_terminal,neutral,True,False,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_old,2,0,6,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,9.05448,1.5,False,True,True,0.07500000000000001,9.12948,17,71004.0,1168.0,72172.0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,barrier_stage1_gate > trap_stage2_router > barrier_stage3_gate > general_stage4_verify > target_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling[PERSONA:Easy]
risky_ps_old,3,0,15,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,5.199805,2.0,False,True,True,0.0758,5.275605,13,38993.0,1061.0,40054.0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,target_stage1_handoff > trap_stage2_router > barrier_stage3_gate > barrier_stage4_gate > target_stage5_decision,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_old,4,0,17,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.77803,1.5,False,True,True,0.06420000000000001,4.84223,13,38809.0,891.0,39700.0,deep/fast/fast/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > trap_stage3_network > general_stage4_repair > target_stage5_verify,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_old,5,0,18,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,5.627025,2.0,False,True,True,0.0752,5.702224999999999,13,41403.0,1307.0,42710.0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,0,4,1,4,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,trap_safe_overcautious,True,False,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard]
risky_ps_old,6,0,19,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.55778,1.0,False,True,True,0.0632,3.6209800000000003,12,35489.0,1013.0,36502.0,deep/fast/deep/fast/fast,fast/fast/fast/fast/fast,3,0,2,3,2,5,0,deep_on_fast_required,False,mostly_fast_vs_mostly_fast_required,general_stage1_verify > trap_stage2_router > barrier_stage3_gate > trap_stage4_execute > trap_stage5_terminal,neutral,True,False,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None]
risky_ps_old,7,0,20,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,3.69833,1.0,False,True,True,0.0601,3.7584299999999997,10,32175.0,796.0,32971.0,fast/fast/fast/deep/deep,fast/fast/fast/fast/fast,3,0,2,3,2,5,0,deep_on_fast_required,False,mostly_fast_vs_mostly_fast_required,trap_stage1_intake > trap_stage2_router > trap_stage3_network > general_stage4_verify > target_stage5_verify,trap_like_good,True,False,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy]
risky_ps_old,8,0,21,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.118375,1.5,False,True,True,0.0725,4.190875,10,32179.0,1006.0,33185.0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,trap_stage1_intake > trap_stage2_router > barrier_stage3_gate > barrier_stage4_gate > barrier_stage5_transfer,trap_like_good,False,True,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy]
risky_ps_old,9,0,22,trap_pre_switch,trap_favoring,False,repair_all,repair_all,True,True,True,True,True,True,0,False,0.0,0.0,0.0,True,,,0.0,0.0,4.22979,1.5,False,True,True,0.0731,4.3028900000000005,12,34439.0,955.0,35394.0,deep/fast/fast/deep/deep,fast/fast/fast/fast/fast,2,0,3,2,3,5,0,deep_on_fast_required,False,mostly_deep_vs_mostly_fast_required,target_stage1_handoff > general_stage2_core > trap_stage3_network > barrier_stage4_gate > barrier_stage5_transfer,neutral,False,True,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy]
