method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
risky_ps,ALL,deep,deep,252,75,6.0476190476190474,4.210849662698413,0.9424603174603174,10.331122281746032,0.7103174603174603,0.3492063492063492,0.6031746031746031,0.7103174603174603,0.7023809523809523
risky_ps,ALL,deep,fast,48,36,5.75,4.7455234375,2.6770833333333335,10.563175520833333,0.6041666666666666,0.0,0.5833333333333334,0.6041666666666666,0.6458333333333334
risky_ps,ALL,fast,deep,113,64,1.8141592920353982,4.91617703539823,1.654867256637168,6.801977920353982,0.9026548672566371,0.0,0.8849557522123894,0.9026548672566371,0.911504424778761
risky_ps,ALL,fast,fast,87,59,2.8160919540229883,4.296812413793104,1.028735632183908,7.1821974712643675,0.8620689655172413,0.25287356321839083,0.8045977011494253,0.8620689655172413,0.8505747126436781
risky_ps,stage1,fast,deep,48,48,4.270833333333333,4.7111559375,1.6041666666666667,9.053064270833334,0.7708333333333334,0.0,0.7291666666666666,0.7708333333333334,0.7916666666666666
risky_ps,stage1,fast,fast,52,52,4.711538461538462,4.183048076923077,0.9903846153846154,8.966209615384615,0.7692307692307693,0.4230769230769231,0.6730769230769231,0.7692307692307693,0.75
risky_ps,stage2,deep,deep,44,44,6.590909090909091,4.1249388636363635,0.3977272727272727,10.789984318181817,0.7272727272727273,0.5,0.5681818181818182,0.7272727272727273,0.6590909090909091
risky_ps,stage2,deep,fast,31,31,5.161290322580645,4.539758064516129,2.3870967741935485,9.769661290322581,0.6451612903225806,0.0,0.6451612903225806,0.6451612903225806,0.7419354838709677
risky_ps,stage2,fast,deep,8,8,0.0,5.624765625,2.0,5.699540625,1.0,0.0,1.0,1.0,1.0
risky_ps,stage2,fast,fast,17,17,0.0,4.49565,1.2352941176470589,4.563226470588235,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,deep,deep,67,67,6.0,4.191912537313433,0.9850746268656716,10.26447671641791,0.7014925373134329,0.3283582089552239,0.6119402985074627,0.7014925373134329,0.7164179104477612
risky_ps,stage3,deep,fast,8,8,6.0,5.17145875,3.1875,11.23735875,0.625,0.0,0.5,0.625,0.5
risky_ps,stage3,fast,deep,15,15,0.0,4.607248666666667,1.7666666666666666,4.679742,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,fast,fast,10,10,0.0,5.2315445,1.05,5.2975045,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,deep,deep,71,71,5.549295774647887,4.228967183098591,1.0704225352112675,9.850471408450705,0.7323943661971831,0.30985915492957744,0.6338028169014085,0.7323943661971831,0.7323943661971831
risky_ps,stage4,deep,fast,4,4,14.0,5.493285,3.875,19.558835000000002,0.0,0.0,0.0,0.0,0.0
risky_ps,stage4,fast,deep,21,21,0.0,5.143863571428572,1.619047619047619,5.215430238095238,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,fast,fast,4,4,0.0,3.35076,0.75,3.411785,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,deep,deep,70,70,6.257142857142857,4.264599928571428,1.1142857142857143,10.594001357142858,0.6857142857142857,0.3142857142857143,0.5857142857142857,0.6857142857142857,0.6857142857142857
risky_ps,stage5,deep,fast,5,5,2.4,4.741563,2.7,7.207743000000001,0.8,0.0,0.8,0.8,0.8
risky_ps,stage5,fast,deep,21,21,0.0,5.107834761904762,1.5952380952380953,5.179044285714285,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,fast,fast,4,4,0.0,3.5399112500000003,0.875,3.6028112500000002,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,ALL,deep,deep,233,75,7.572961373390558,4.2880294635193135,1.259656652360515,11.933154785407725,0.5708154506437768,0.2575107296137339,0.5021459227467812,0.5708154506437768,0.6738197424892703
risky_ps_direct_cost,ALL,deep,fast,67,49,8.380597014925373,4.61130380597015,2.6940298507462686,13.059838134328357,0.4626865671641791,0.0,0.4626865671641791,0.4626865671641791,0.582089552238806
risky_ps_direct_cost,ALL,fast,deep,110,61,2.2409090909090907,4.844196318181818,1.7545454545454546,7.155769045454545,0.8727272727272727,0.0,0.8545454545454545,0.8727272727272727,0.8727272727272727
risky_ps_direct_cost,ALL,fast,fast,90,62,3.7222222222222223,4.220587055555556,1.2277777777777779,8.011198166666667,0.7777777777777778,0.16666666666666666,0.7555555555555555,0.7777777777777778,0.8666666666666667
risky_ps_direct_cost,stage1,fast,deep,46,46,5.358695652173913,4.644077391304348,1.8369565217391304,10.07323391304348,0.6956521739130435,0.0,0.6521739130434783,0.6956521739130435,0.6956521739130435
risky_ps_direct_cost,stage1,fast,fast,54,54,6.203703703703703,4.269055,1.3148148148148149,10.543455,0.6296296296296297,0.2777777777777778,0.5925925925925926,0.6296296296296297,0.7777777777777778
risky_ps_direct_cost,stage2,deep,deep,36,36,8.01388888888889,4.247148611111111,0.6944444444444444,12.335195833333334,0.5555555555555556,0.4166666666666667,0.4444444444444444,0.5555555555555556,0.6388888888888888
risky_ps_direct_cost,stage2,deep,fast,39,39,7.512820512820513,4.46460782051282,2.3974358974358974,12.045936025641026,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,0.6666666666666666
risky_ps_direct_cost,stage2,fast,deep,8,8,0.0,5.5125975,2.0,5.5857975,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage2,fast,fast,17,17,0.0,4.296393823529412,1.2352941176470589,4.362964411764706,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage3,deep,deep,60,60,7.391666666666667,4.287644916666666,1.2,11.751421583333334,0.5833333333333334,0.25,0.5166666666666667,0.5833333333333334,0.6833333333333333
risky_ps_direct_cost,stage3,deep,fast,15,15,9.2,4.650557333333333,3.1,13.918217333333333,0.4,0.0,0.4,0.4,0.5333333333333333
risky_ps_direct_cost,stage3,fast,deep,16,16,0.0,4.833400625,1.75,4.904775625,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage3,fast,fast,9,9,0.0,4.422785,1.0,4.486707222222222,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage4,deep,deep,67,67,7.425373134328358,4.271802164179104,1.3955223880597014,11.768824552238806,0.582089552238806,0.22388059701492538,0.5223880597014925,0.582089552238806,0.7014925373134329
risky_ps_direct_cost,stage4,deep,fast,8,8,10.5,5.10078875,3.125,15.66841375,0.25,0.0,0.25,0.25,0.25
risky_ps_direct_cost,stage4,fast,deep,21,21,0.0,4.889977857142857,1.619047619047619,4.960130238095238,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage4,fast,fast,4,4,0.0,3.612485,0.75,3.6735100000000003,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage5,deep,deep,70,70,7.642857142857143,4.324915357142857,1.4714285714285715,12.039449642857143,0.5571428571428572,0.21428571428571427,0.5,0.5571428571428572,0.6571428571428571
risky_ps_direct_cost,stage5,deep,fast,5,5,9.3,4.854596,3.1,14.219416,0.4,0.0,0.4,0.4,0.6
risky_ps_direct_cost,stage5,fast,deep,19,19,0.0,5.005753157894737,1.605263157894737,5.0758057894736845,1.0,0.0,1.0,1.0,1.0
risky_ps_direct_cost,stage5,fast,fast,6,6,0.0,3.6716941666666667,1.0833333333333333,3.7360775,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,ALL,deep,deep,241,75,7.080912863070539,4.337946659751037,1.1286307053941909,11.491058692946059,0.6473029045643154,0.2821576763485477,0.5809128630705395,0.6473029045643154,0.7261410788381742
risky_ps_ix,ALL,deep,fast,59,42,7.754237288135593,4.824522627118644,2.7457627118644066,12.646142966101696,0.5423728813559322,0.0,0.5423728813559322,0.5423728813559322,0.6271186440677966
risky_ps_ix,ALL,fast,deep,123,65,1.8617886178861789,5.34841987804878,1.8130081300813008,7.2818686585365855,0.9024390243902439,0.0,0.8861788617886179,0.9024390243902439,0.9186991869918699
risky_ps_ix,ALL,fast,fast,77,56,4.0519480519480515,4.349785714285714,1.2077922077922079,8.470385714285714,0.7922077922077922,0.22077922077922077,0.7662337662337663,0.7922077922077922,0.8441558441558441
risky_ps_ix,stage1,fast,deep,52,52,4.403846153846154,4.9447322115384615,1.7596153846153846,9.420005288461539,0.7692307692307693,0.0,0.7307692307692307,0.7692307692307693,0.8076923076923077
risky_ps_ix,stage1,fast,fast,48,48,6.5,4.321878125,1.21875,10.892315625,0.6666666666666666,0.3541666666666667,0.625,0.6666666666666666,0.75
risky_ps_ix,stage2,deep,deep,38,38,7.5,4.312605921052631,0.4868421052631579,11.8864875,0.631578947368421,0.4473684210526316,0.5263157894736842,0.631578947368421,0.7368421052631579
risky_ps_ix,stage2,deep,fast,37,37,6.918918918918919,4.557945135135135,2.4324324324324325,11.545415405405405,0.6216216216216216,0.0,0.6216216216216216,0.6216216216216216,0.6756756756756757
risky_ps_ix,stage2,fast,deep,9,9,0.0,5.802947777777778,2.1666666666666665,5.877414444444444,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage2,fast,fast,16,16,0.0,4.98916875,1.375,5.0567375,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage3,deep,deep,64,64,6.6015625,4.3390890625,1.1796875,11.0128046875,0.671875,0.265625,0.609375,0.671875,0.71875
risky_ps_ix,stage3,deep,fast,11,11,10.772727272727273,4.983754090909091,3.0,15.822490454545456,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364
risky_ps_ix,stage3,fast,deep,18,18,0.0,5.8354647222222225,1.8888888888888888,5.907409166666667,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage3,fast,fast,7,7,0.0,3.8592664285714284,1.0714285714285714,3.924452142857143,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage4,deep,deep,71,71,7.056338028169014,4.353145352112676,1.3309859154929577,11.481021408450705,0.647887323943662,0.23943661971830985,0.5915492957746479,0.647887323943662,0.7323943661971831
risky_ps_ix,stage4,deep,fast,4,4,10.0,5.86241875,3.5,15.928593750000001,0.25,0.0,0.25,0.25,0.25
