split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,risky_ps,100,4.5,3.06,4.43653985,1.285,0.07136,9.00789985,0.77,0.22,0.77,0.77,0.7,0.77,0.77,0.48,1.13,3.39,12.75
all,risky_ps_direct_cost,100,5.815,3.685,4.4415653,1.555,0.07058800000000001,10.3271533,0.66,0.15,0.66,0.74,0.62,0.74,0.66,0.67,1.1,3.23,12.53
all,risky_ps_ix,100,5.41,3.895,4.64576225,1.5,0.070952,10.12671425,0.72,0.17,0.72,0.78,0.68,0.78,0.72,0.59,1.23,3.18,12.95
all,risky_ps_linear,100,6.645,4.47,4.47244795,1.435,0.07122700000000001,11.18867495,0.62,0.21,0.62,0.75,0.59,0.75,0.62,0.6,1.07,3.33,12.68
all,risky_ps_old,100,5.89,4.09,4.44607065,1.465,0.071275,10.40734565,0.66,0.17,0.66,0.76,0.63,0.76,0.66,0.62,1.07,3.31,12.58
all,risky_ps_safe_conditional,100,5.02,3.395,4.48995285,1.455,0.070581,9.58053385,0.73,0.18,0.73,0.73,0.67,0.73,0.73,0.63,1.02,3.35,12.58
all,risky_ps_safe_conditional_ix,100,5.085,3.35,4.3908792,1.48,0.070652,9.5465312,0.71,0.15,0.71,0.75,0.67,0.75,0.71,0.65,1.01,3.34,12.45
pre,risky_ps,25,0.0,0.0,4.856967,1.48,0.06988000000000001,4.9268469999999995,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.2
pre,risky_ps_direct_cost,25,0.0,0.0,4.685579,1.48,0.068692,4.754271,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.12
pre,risky_ps_ix,25,0.0,0.0,5.2821292,1.66,0.070052,5.3521811999999995,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.32,1.68,12.76
pre,risky_ps_linear,25,0.0,0.0,4.6511134,1.48,0.068692,4.7198054,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.12
pre,risky_ps_old,25,0.0,0.0,4.9314418,1.48,0.06872,5.0001618,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.4
pre,risky_ps_safe_conditional,25,0.0,0.0,4.9886476,1.48,0.068692,5.0573396,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.48
pre,risky_ps_safe_conditional_ix,25,0.0,0.0,4.6597024000000005,1.48,0.068716,4.7284184,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.96,2.04,12.12
post,risky_ps,75,6.0,4.08,4.296397466666667,1.22,0.07185333333333334,10.3682508,0.6933333333333334,0.29333333333333333,0.6933333333333334,0.6933333333333334,0.6,0.6933333333333334,0.6933333333333334,0.64,0.52,3.84,12.933333333333334
post,risky_ps_direct_cost,75,7.753333333333333,4.913333333333333,4.3602274,1.58,0.07122,12.184780733333334,0.5466666666666666,0.2,0.5466666666666666,0.6533333333333333,0.49333333333333335,0.6533333333333333,0.5466666666666666,0.8933333333333333,0.48,3.6266666666666665,12.666666666666666
post,risky_ps_ix,75,7.213333333333333,5.193333333333333,4.433639933333334,1.4466666666666668,0.07125200000000001,11.718225266666666,0.6266666666666667,0.22666666666666666,0.6266666666666667,0.7066666666666667,0.5733333333333334,0.7066666666666667,0.6266666666666667,0.7866666666666666,0.5333333333333333,3.68,13.013333333333334
