seed,t,rank,method,cumavg,episode_cost,rolling5
seed0,10,1,risky_ps,5.2393785,12.98623,5.9906820000000005
seed0,10,2,epsilon_exp3,6.5859325,13.353254999999999,6.561507000000001
seed0,10,3,direct_multistage_exp3,6.90921,8.80013,6.255358
seed0,25,1,risky_ps,4.926847,4.5237,5.179918
seed0,25,2,direct_multistage_exp3,5.7296016000000005,4.5637,5.671474999999999
seed0,25,3,epsilon_exp3,6.472837000000001,12.576815,7.242118
seed0,50,1,risky_ps,7.4456780999999985,4.8278300000000005,11.655855
seed0,50,2,epsilon_exp3,8.8332238,25.940379999999998,22.362996
seed0,50,3,direct_multistage_exp3,9.329211599999999,27.79015,21.631312
seed0,75,1,risky_ps,8.239345466666665,4.04561,3.924996
seed0,75,2,direct_multistage_exp3,8.684610133333331,3.23381,3.830012
seed0,75,3,epsilon_exp3,9.377003733333334,5.5350150000000005,4.217579
seed0,90,1,risky_ps,8.71618483333333,4.38433,14.431276
seed0,90,2,direct_multistage_exp3,9.218538222222222,27.249049999999997,16.900085999999998
seed0,90,3,epsilon_exp3,10.600722888888887,26.46649,21.826179
seed0,100,1,risky_ps,9.007899849999996,4.37005,18.855604
seed0,100,2,direct_multistage_exp3,9.532068800000001,4.6963,18.821035
seed0,100,3,epsilon_exp3,10.495235049999996,19.33997,15.151963
seed1,10,1,risky_ps,4.386512499999999,3.764295,3.7709470000000005
seed1,10,2,epsilon_exp3,5.2134160000000005,3.8258750000000004,4.59337
seed1,10,3,direct_multistage_exp3,6.0038615,13.126105,6.629603
seed1,25,1,risky_ps,4.706046799999999,5.26399,4.773688
seed1,25,2,epsilon_exp3,5.107727600000001,4.109089999999999,5.305874
seed1,25,3,direct_multistage_exp3,6.132195600000001,5.26059,5.776949
seed1,50,1,risky_ps,8.884156899999999,19.73834,21.199533
seed1,50,2,epsilon_exp3,9.292505600000004,25.119375,16.547119000000002
seed1,50,3,direct_multistage_exp3,9.4956325,4.38809,16.850229
seed1,75,1,epsilon_exp3,9.099310666666671,3.8021700000000003,3.629379
seed1,75,2,direct_multistage_exp3,9.1779856,4.4790399999999995,7.186249999999999
seed1,75,3,risky_ps,9.337734599999996,3.79937,3.573888
seed1,90,1,direct_multistage_exp3,9.597955444444441,4.27815,12.182921
seed1,90,2,epsilon_exp3,9.617225166666671,27.051450000000003,16.076386000000003
seed1,90,3,risky_ps,10.642187611111108,21.24413,22.53689
seed1,100,1,epsilon_exp3,9.612344500000006,4.27731,15.430927
seed1,100,2,direct_multistage_exp3,9.897823949999998,19.53906,19.559561000000002
seed1,100,3,risky_ps,10.50387505,4.22015,14.647415999999998
