run,pattern,n,terminal,legacy_terminal,reasoning,modecost_report,total,clear,aux,strict,transfer_final_n,rtp_ge_10_n,rtp_ge_14_n,examples
old_seed1_risky_ps,fdddd on fdddd,18,6.638888888888889,5.027777777777778,3.6635044444444445,0.0,10.376054444444444,0.6666666666666666,0.7777777777777778,0.6111111111111112,3,6,5,"27,30,39,42,51,52,54,57"
old_seed1_risky_ps,ffddd on fdddd,14,2.2857142857142856,0.9285714285714286,4.016470714285714,1.5,6.3712921428571425,0.7857142857142857,0.9285714285714286,0.7857142857142857,0,3,0,"31,34,43,44,55,71,72,80"
old_seed1_risky_ps,ddddd on fdddd,8,9.9375,7.8125,4.65455875,0.5,14.66739625,0.5,0.625,0.5,3,4,3,"33,35,47,69,76,81,84,88"
old_seed1_risky_ps,dfddd on fdddd,6,10.75,6.416666666666667,4.57397,2.0,15.39447,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,4,2,"26,32,70,77,96,98"
old_seed1_risky_ps,fdfdd on fdddd,5,7.7,5.1,4.357967,1.5,12.129007,0.6,0.6,0.4,1,2,1,"29,41,58,67,75"
old_seed1_risky_ps,dffdd on fdddd,4,8.875,5.625,4.8397325,3.5,13.7806825,0.5,0.5,0.5,1,2,1,"37,60,62,86"
old_seed1_risky_ps,ffddf on fdddd,3,6.333333333333333,5.0,4.6354033333333335,3.0,11.03727,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,"38,90,93"
old_seed1_risky_ps,fdddf on fdddd,2,14.25,10.25,4.8845425,1.5,19.2019925,0.5,0.0,0.0,1,1,1,"36,56"
old_seed1_risky_ps,fddfd on fdddd,2,13.5,8.0,4.571770000000001,1.5,18.14742,0.0,0.0,0.0,0,2,1,"28,85"
old_seed1_risky_ps,fffdd on fdddd,2,18.75,12.25,4.407685000000001,3.0,23.223885,0.0,0.5,0.0,1,2,2,"53,87"
old_seed1_risky_ps,fffff on fdddd,2,14.5,9.0,6.017935,6.0,20.576285,0.0,0.0,0.0,0,2,2,"45,89"
old_seed1_risky_ps,dfddf on fdddd,1,12.0,3.0,6.107,3.5,18.1724,0.0,0.0,0.0,0,1,0,46
old_seed1_risky_ps,dfdfd on fdddd,1,12.0,7.0,5.067005,3.5,17.136605,0.0,0.0,0.0,0,1,0,25
old_seed1_risky_ps,dfdff on fdddd,1,14.0,5.0,6.72066,5.0,20.78316,0.0,0.0,0.0,0,1,1,66
old_seed1_risky_ps,fdffd on fdddd,1,14.0,5.0,5.67144,3.0,19.73834,0.0,0.0,0.0,0,1,1,49
old_seed1_risky_ps,fdfff on fdddd,1,0.0,0.0,5.55978,4.5,5.61638,1.0,1.0,1.0,0,0,0,63
old_seed1_risky_ps,ffdfd on fdddd,1,0.0,0.0,4.06075,3.0,4.12545,1.0,1.0,1.0,0,0,0,40
old_seed1_risky_ps,ffdff on fdddd,1,15.0,11.0,5.708095,4.5,20.770094999999998,0.0,0.0,0.0,0,1,1,48
old_seed1_risky_ps,fffdf on fdddd,1,0.0,0.0,4.403775,4.5,4.463875000000001,1.0,1.0,1.0,0,0,0,50
old_seed1_risky_ps,ffffd on fdddd,1,21.0,17.0,4.02223,4.5,25.07823,0.0,0.0,0.0,0,1,1,59
seed1_probfloor0002,ffddd on fdddd,18,8.25,6.194444444444445,4.106151111111111,1.5,12.428701111111112,0.5555555555555556,0.6111111111111112,0.5555555555555556,3,8,7,"31,34,44,48,50,55,62,68"
seed1_probfloor0002,fdddd on fdddd,14,9.678571428571429,7.607142857142857,3.72216,0.0,13.476217142857143,0.5,0.7142857142857143,0.5,5,7,6,"27,30,35,38,39,45,57,67"
seed1_probfloor0002,ddddd on fdddd,8,6.8125,4.0625,4.7078975000000005,0.5,11.5950975,0.625,0.625,0.375,1,3,1,"33,37,53,59,75,76,83,86"
seed1_probfloor0002,dfddd on fdddd,8,4.1875,3.0625,4.24599,2.0,8.5027775,0.75,0.875,0.75,1,2,1,"26,32,65,70,84,85,91,95"
seed1_probfloor0002,fdfdd on fdddd,5,4.5,3.7,4.196964,1.5,8.770164,0.8,0.8,0.8,1,1,1,"29,43,47,52,60"
seed1_probfloor0002,fffdd on fdddd,4,9.375,5.625,4.3917475,3.0,13.8299225,0.5,0.5,0.5,1,2,2,"42,46,49,66"
seed1_probfloor0002,dfddf on fdddd,3,19.166666666666668,15.166666666666666,5.661431666666667,3.5,24.894031666666663,0.0,0.0,0.0,1,3,3,"56,88,98"
seed1_probfloor0002,dfdfd on fdddd,2,15.25,10.75,5.00587,3.5,20.32627,0.0,0.0,0.0,1,2,1,"25,74"
seed1_probfloor0002,dffdd on fdddd,2,9.5,7.5,4.9147625,3.5,14.4801625,0.5,0.5,0.5,0,1,1,"54,58"
seed1_probfloor0002,dffdf on fdddd,2,0.0,0.0,5.2887249999999995,5.0,5.350474999999999,1.0,1.0,1.0,0,0,0,"40,64"
seed1_probfloor0002,fdddf on fdddd,2,3.0,1.0,4.4464875,1.5,7.5193875,1.0,0.5,0.5,0,0,0,"36,92"
seed1_probfloor0002,fdffd on fdddd,2,0.0,0.0,4.61355,3.0,4.685549999999999,1.0,1.0,1.0,0,0,0,"41,61"
seed1_probfloor0002,ffddf on fdddd,2,7.5,5.5,4.7281875,3.0,12.289137499999999,0.5,1.0,0.5,0,1,1,"51,89"
seed1_probfloor0002,fddfd on fdddd,1,13.0,9.0,4.968415,1.5,18.042915,0.0,0.0,0.0,0,1,0,28
seed1_probfloor0002,fddff on fdddd,1,0.0,0.0,5.32191,3.0,5.39391,1.0,1.0,1.0,0,0,0,63
seed1_probfloor0002,fdfdf on fdddd,1,0.0,0.0,4.57451,3.0,4.64671,1.0,1.0,1.0,0,0,0,94
