dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,stage5_replay_tool_names,stage5_executed_tool_names,oracle_tools_missing_from_stage5_replay,stage5_replay_tools_extra_vs_oracle,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_contract_prompt_version,stage4_contract_self_check,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,stage5_contract_prompt_version,stage5_contract_self_check,stage4_executed_tool_names,selected_blocker_ids,deferred_blocker_ids,exact_match
2,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,4.1741,4.2524,7.2524,53782.0,1462.0,55244.0,12,0,0,7,3.0,3578.0,0,0,3.0,0.0072933,28,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,3,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,1,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.76334,3.84164,6.84164,47062.0,1675.0,48737.0,12,0,0,7,3.0,3578.0,0,0,3.0,0.0059907,30,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,2,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.703,3.7813,6.7813,46976.0,1481.0,48457.0,12,0,0,7,3.0,3578.0,0,0,3.0,0.0067446,29,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,3,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.52086,3.59916,6.5991599999999995,44622.0,1419.0,46041.0,11,0,0,7,3.0,3578.0,0,0,3.0,0.005922299999999999,28,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,4,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.51946,3.59776,6.59776,44622.0,1414.0,46036.0,11,0,0,7,3.0,3578.0,0,0,3.0,0.0043641,28,repair_all,repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
10,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,3.26711,9.34541,12.59541,40929.0,1436.0,42365.0,11,0,0,8,3.25,3604.0,0,0,3.25,0.00563775,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,1,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,3.26711,9.34541,12.59541,40929.0,1436.0,42365.0,11,0,0,8,3.25,3604.0,0,0,3.25,0.00527295,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,2,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,3.26739,9.34569,12.59569,40929.0,1437.0,42366.0,11,0,0,8,3.25,3604.0,0,0,3.25,0.0050335499999999995,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,3,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,3.26823,9.34653,12.59653,40929.0,1440.0,42369.0,11,0,0,8,3.25,3604.0,0,0,3.25,0.00463215,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,4,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,3.26823,9.34653,12.59653,40929.0,1440.0,42369.0,11,0,0,8,3.25,3604.0,0,0,3.25,0.0045457499999999994,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1b,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,1,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
