seed,method,episode_index,dataset_index,actual_agent_pattern,required_task_pattern,matched,schedule_phase,oracle_action,final_action,raw_total_cost,raw_terminal_penalty,raw_reasoning_cost_component,raw_mode_mismatch_cost_component,raw_policy_penalty,raw_outcome_penalty,exact_match,clear_success,aux_success,subset_mismatch,stage5_executed_tool_names,stage5_replay_tool_names,terminal_adjustment_reasons,task_id
1,risky_ps,28,13,dfdfd,fdddd,False,target_post_switch,repair_subset,repair_subset,24.457605,17.0,7.389105,3.5,2.0,11.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings', 'check_network_mode_preference', 'check_wifi_calling_status']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,direct_multistage_exp3,48,13,fdddf,fdddd,False,target_post_switch,repair_subset,repair_subset,24.176090000000002,15.0,9.11429,1.5,2.0,9.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'toggle_roaming', 'toggle_roaming', 'toggle_roaming', 'toggle_roaming', 'toggle_roaming']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,epsilon_exp3,78,13,dfffd,fdddd,False,target_post_switch,repair_subset,repair_subset,24.09267,17.0,7.02997,5.0,2.0,11.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,direct_multistage_exp3,88,13,ffdff,fdddd,False,target_post_switch,repair_subset,repair_subset,23.516345,17.0,6.450545,4.5,2.0,11.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,direct_multistage_exp3,78,13,ffffd,fdddd,False,target_post_switch,repair_subset,repair_subset,23.36161,17.0,6.29841,4.5,2.0,11.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,risky_ps,57,10,dffdf,fdddd,False,target_post_switch,repair_subset,repair_subset,23.261385,14.0,9.199585,5.0,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
1,epsilon_exp3,58,13,fdffd,fdddd,False,target_post_switch,repair_subset,repair_subset,23.24232,17.0,6.16612,3.0,2.0,11.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
0,epsilon_exp3,47,10,dffdf,fdddd,False,target_post_switch,repair_subset,repair_subset,23.113905000000003,14.0,9.047005,5.0,2.0,1.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
0,epsilon_exp3,88,13,ffffd,fdddd,False,target_post_switch,repair_subset,repair_subset,22.869030000000002,17.0,5.80673,4.5,2.0,11.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
0,epsilon_exp3,57,10,dffdf,fdddd,False,target_post_switch,repair_subset,repair_subset,22.70627,14.0,8.63937,5.0,2.0,1.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
0,direct_multistage_exp3,69,16,dfffd,fdddd,False,target_post_switch,repair_all,repair_subset,22.547150000000002,15.0,7.48865,5.0,2.0,9.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'can_send_mms', 'check_apn_settings', 'check_app_permissions', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
1,risky_ps,58,13,fffdd,fdddd,False,target_post_switch,repair_subset,repair_all,22.518675,14.0,8.445875,3.0,2.0,2.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
1,epsilon_exp3,29,16,fffff,fdddd,False,target_post_switch,repair_all,repair_subset,21.930934999999998,15.0,6.872235,6.0,2.0,9.0,False,False,False,True,"['can_send_mms', 'check_network_status', 'check_sim_status', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'toggle_roaming']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
0,risky_ps,96,9,fffdd,fdddd,False,target_post_switch,repair_subset,repair_subset,21.831245,14.0,7.763445,3.0,2.0,1.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'check_apn_settings', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'can_send_mms']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference', 'toggle_wifi_calling', 'reset_apn_settings', 'reboot_device', 'grant_app_permission', 'grant_app_permission']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
1,epsilon_exp3,87,10,dfdff,fdddd,False,target_post_switch,repair_subset,repair_subset,21.332515,14.0,7.269615,5.0,2.0,7.0,False,False,False,True,"['check_network_status', 'check_sim_status', 'check_network_mode_preference', 'can_send_mms']","['toggle_airplane_mode', 'reseat_sim_card', 'toggle_data', 'set_network_mode_preference']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
1,direct_multistage_exp3,63,35,dffff,fdddd,False,target_post_switch,repair_all,repair_subset,21.1246,14.0,7.0668,6.5,2.0,3.0,False,False,False,True,"['check_network_status', 'check_wifi_calling_status', 'check_app_permissions', 'can_send_mms', 'get_details_by_id', 'get_details_by_id']","['toggle_airplane_mode', 'toggle_roaming', 'grant_app_permission', 'toggle_wifi_calling']","['subset_mismatch_base_plus_linear', 'local_clear_failure_floor_10', 'local_clear_and_aux_failure_floor_12', 'fast_path_on_deep_required_clear_failure_floor_14']",[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
