dataset_index,repeat_index,diagnostic_group,diagnostic_pattern,actual_pattern,required_pattern,source_run,source_episode,source_terminal,source_final,source_cause,oracle_action,expected_terminal_action,selected_missing_vs_oracle,selected_extra_vs_oracle,deferred_missing_vs_oracle,deferred_extra_vs_oracle,stage4_selected_before_normalization,stage4_selected_after_normalization,stage4_deferred_before_normalization,stage4_deferred_after_normalization,stage4_completion_added_blockers,stage4_completion_added_prerequisite_blockers,stage4_completion_added_downstream_blockers,stage5_final_action_reason,terminal_adjustment_reasons,stage5_replay_tool_names,stage5_executed_tool_names,oracle_tools_missing_from_stage5_replay,stage5_replay_tools_extra_vs_oracle,task_id,bucket_label,path_rank_offline,path_class,path_lane_sequence,path_agent_ids,offline_path_match,raw_terminal_penalty,raw_terminal_penalty_exec_clean_v4,terminal_clear_success_proxy,terminal_auxiliary_success_proxy,raw_path_cost_component,raw_reasoning_cost_component,raw_total_cost,raw_total_cost_with_token_penalty,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count_total,json_retry_count_total,fallback_count_total,replay_tool_call_count_total,token_over_budget_penalty_total,fast_total_tokens_total,fast_json_retry_count_total,fast_fallback_count_total,fast_token_over_budget_penalty_total,api_cost_total_usd_raw,tool_call_count,final_action,stage4_repairability,stage4_transfer_reason,stage4_contract_prompt_version,stage4_contract_self_check,stage4_should_repair_true_count,stage4_llm_call_count,stage4_json_retry_count,stage4_fallback_used,stage4_normalizer_changed_output,stage4_completion_pass_applied,stage4_completion_prerequisite_pass_applied,stage4_completion_added_prerequisite_blockers_count,stage4_completion_added_downstream_blockers_count,stage4_completion_added_blockers_count,stage5_raw_action_hint,stage5_contract_prompt_version,stage5_contract_self_check,stage4_executed_tool_names,selected_blocker_ids,deferred_blocker_ids,exact_match
2,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.70958,3.78788,6.7878799999999995,46514.0,1620.0,48134.0,11,0,0,7,3.0,3578.0,0,0,3.0,0.0051267,28,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,1,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.70958,3.78788,6.7878799999999995,46514.0,1620.0,48134.0,11,0,0,7,3.0,3578.0,0,0,3.0,0.0069219,28,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,2,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.70832,3.78662,6.78662,46532.0,1611.0,48143.0,11,0,0,7,3.0,3578.0,0,0,3.0,0.0060456,28,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,3,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.89424,3.97254,6.97254,48868.0,1691.0,50559.0,12,0,0,7,3.0,3578.0,0,0,3.0,0.00582,29,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
2,4,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_all,repair_all,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],[],[],[],[],,[],"[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,0.0,0.0,True,True,0.07830000000000001,3.8822,3.9605,6.9605,48868.0,1648.0,50516.0,12,0,0,7,3.0,3578.0,0,0,3.0,0.0053142,29,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",6,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[],True
10,0,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,4.18236,10.26066,13.51066,53324.0,1606.0,54930.0,12,0,0,8,3.25,3604.0,0,0,3.25,0.007925399999999999,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,2,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,1,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card""]",[],"[""data_usage_exceeded"", ""user_abroad_roaming_disabled_on""]",[],"[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10""]","[""enable_roaming"", ""refuel_data""]","[""check_network_status"", ""can_send_mms"", ""get_details_by_id"", ""get_details_by_id""]","[""grant_app_permission"", ""reboot_device"", ""reseat_sim_card"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_airplane_mode"", ""toggle_data"", ""toggle_wifi_calling""]","[""enable_roaming"", ""refuel_data""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,23.0,23.0,False,True,0.07830000000000001,4.88096,27.95926,31.20926,63956.0,1443.0,65399.0,13,0,1,2,3.25,3604.0,0,0,3.25,0.008203199999999999,21,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",2,3,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""enable_roaming"", ""refuel_data""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",False
10,2,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,4.94277,11.02107,14.27107,64587.0,1506.0,66093.0,13,0,0,8,3.25,3604.0,0,0,3.25,0.006233249999999999,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,3,0,False,False,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
10,3,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],"[""data_usage_exceeded"", ""user_abroad_roaming_disabled_on""]",[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],[],[],,"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission"", ""enable_roaming"", ""refuel_data""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""get_details_by_id"", ""get_details_by_id""]",[],"[""enable_roaming"", ""refuel_data""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,10.0,10.0,False,True,0.07830000000000001,5.05624,15.134540000000001,18.38454,64824.0,1852.0,66676.0,13,0,1,10,3.25,3604.0,0,0,3.25,0.006994800000000001,34,repair_all,repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",9,3,0,False,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission"", ""enable_roaming"", ""refuel_data""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],False
10,4,canonical_pattern,fdddd,fdddd,fdddd,,,,,,repair_subset,repair_subset,[],[],[],[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",[],[],[],,"[""clear_but_aux_failure_floor_6""]","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",[],[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],focus,1,pure_target,"[""general"", ""target_specialist"", ""target_specialist"", ""target_specialist"", ""target_specialist""]","[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n1__from__n0006__c01"", ""stage4_n1__from__n0023__c01"", ""stage5_n1__from__n0074__c01""]",1.0,6.0,6.0,True,False,0.07830000000000001,4.1902,10.2685,13.5185,53380.0,1620.0,55000.0,12,0,0,8,3.25,3604.0,0,0,3.25,0.006732599999999998,30,repair_subset,partially_repairable,,stage45_contract_prompt_v1_1c,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}",7,2,0,False,True,False,False,0,0,0,,,"{""has_concrete_transfer_blocker"": false, ""ids_are_input_blockers_only"": true}","[""toggle_airplane_mode"", ""reseat_sim_card"", ""toggle_data"", ""set_network_mode_preference"", ""toggle_wifi_calling"", ""reset_apn_settings"", ""reboot_device"", ""grant_app_permission""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]","[""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",True
