method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,24,2.0,0.625,4.526940833333334,0.0,0.06755416666666667,6.594495,0.9583333333333334,1.0,0.9583333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.9583333333333334,0.0,0.0,5.0,12.916666666666666
direct_multistage_exp3,both_mismatch_types,26,6.115384615384615,3.6153846153846154,6.039535961538461,3.5,0.06528461538461539,12.220205192307692,0.5769230769230769,0.0,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,2.0,1.0,2.0,13.153846153846153
direct_multistage_exp3,deep_on_fast_required,28,1.2857142857142858,0.44642857142857145,4.9480375,1.125,0.06736071428571429,6.3011125,0.9642857142857143,0.0,0.9642857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9642857142857143,0.0,2.25,2.75,12.892857142857142
direct_multistage_exp3,fast_on_deep_required,22,5.5,2.1818181818181817,5.4258263636363635,3.2045454545454546,0.06143636363636364,10.987262727272727,0.6363636363636364,0.0,0.6363636363636364,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6363636363636364,2.1363636363636362,0.0,2.8636363636363638,11.363636363636363
epsilon_exp3,all_stage_modes_match,16,0.75,0.25,4.17659375,0.0,0.06899375,4.9955875,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.0,0.0,5.0,12.5
epsilon_exp3,both_mismatch_types,20,6.95,3.95,6.42540125,3.8,0.063865,13.43926625,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2.2,1.0,1.8,13.3
epsilon_exp3,deep_on_fast_required,32,1.125,0.4375,5.44629546875,1.171875,0.06775,6.63904546875,0.96875,0.0,0.96875,0.84375,0.84375,0.84375,0.96875,0.0,2.34375,2.65625,13.4375
epsilon_exp3,fast_on_deep_required,32,6.65625,3.3125,5.53051171875,3.46875,0.0617125,12.24847421875,0.53125,0.0,0.53125,0.53125,0.53125,0.53125,0.53125,2.3125,0.0,2.6875,11.21875
risky_ps,all_stage_modes_match,14,0.8571428571428571,0.2857142857142857,4.8593399999999995,0.0,0.07379285714285715,5.790275714285714,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0,0.0,5.0,13.5
risky_ps,both_mismatch_types,20,7.5,2.95,6.1945455,2.675,0.067335,13.7618805,0.45,0.0,0.45,0.4,0.4,0.4,0.45,1.45,1.0,2.55,14.0
risky_ps,deep_on_fast_required,54,0.5555555555555556,0.18518518518518517,5.512666018518519,1.1759259259259258,0.07070925925925926,6.138930833333333,0.9814814814814815,0.0,0.9814814814814815,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9814814814814815,0.0,2.3518518518518516,2.6481481481481484,14.092592592592593
risky_ps,fast_on_deep_required,12,5.0,1.4166666666666667,5.1835525,1.875,0.06633333333333334,10.249885833333334,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.25,0.0,3.75,12.25
