method,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,53,2.69811320754717,1.2075471698113207,5.355719339622642,1.2547169811320755,0.07023396226415095,8.124066509433963,0.8867924528301887,0.33962264150943394,0.8867924528301887,0.6981132075471698,0.6981132075471698,0.6981132075471698,0.8867924528301887,0.660377358490566,0.5283018867924528,3.811320754716981,13.735849056603774
direct_multistage_exp3,mostly_deep_vs_mostly_fast_required,9,2.0,0.7222222222222222,5.602964444444445,2.111111111111111,0.07094444444444445,7.673908888888889,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,4.222222222222222,0.7777777777777778,12.555555555555555
direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,22,9.227272727272727,4.5,6.122664545454546,4.5227272727272725,0.05845,15.408387272727271,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,2.909090909090909,0.3181818181818182,1.7727272727272727,11.454545454545455
direct_multistage_exp3,mostly_fast_vs_mostly_fast_required,16,0.0,0.0,3.4130825,0.5,0.056850000000000005,3.4699325,1.0,0.375,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,10.625
epsilon_exp3,mostly_deep_vs_mostly_deep_required,43,2.7906976744186047,0.9767441860465116,5.547871046511628,1.1046511627906976,0.07097441860465117,8.409543139534884,0.8372093023255814,0.27906976744186046,0.8372093023255814,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.8372093023255814,0.5581395348837209,0.5348837209302325,3.9069767441860463,14.162790697674419
epsilon_exp3,mostly_deep_vs_mostly_fast_required,12,0.0,0.0,5.744295833333333,2.0416666666666665,0.07009166666666668,5.8143875000000005,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.083333333333333,0.9166666666666666,12.833333333333334
epsilon_exp3,mostly_fast_vs_mostly_deep_required,32,8.75,5.03125,6.02639609375,4.53125,0.05883125,14.83522734375,0.40625,0.0,0.40625,0.40625,0.40625,0.40625,0.40625,2.9375,0.25,1.8125,11.1875
epsilon_exp3,mostly_fast_vs_mostly_fast_required,13,0.0,0.0,3.5582057692307694,0.5769230769230769,0.057569230769230775,3.615775,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,0.0,1.1538461538461537,3.8461538461538463,10.307692307692308
risky_ps,mostly_deep_vs_mostly_deep_required,70,3.157142857142857,1.0285714285714285,5.438010571428571,1.0,0.07076428571428572,8.665917714285714,0.7857142857142857,0.2,0.7857142857142857,0.7,0.7,0.7,0.7857142857142857,0.44285714285714284,0.6714285714285714,3.8857142857142857,14.271428571428572
risky_ps,mostly_deep_vs_mostly_fast_required,21,0.0,0.0,6.031013095238095,2.1904761904761907,0.07105238095238096,6.102065476190476,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.380952380952381,0.6190476190476191,13.142857142857142
risky_ps,mostly_fast_vs_mostly_deep_required,5,6.2,3.6,5.9320759999999995,4.1,0.05958000000000001,12.191656,0.6,0.0,0.6,0.6,0.6,0.6,0.6,2.6,0.4,2.0,11.8
risky_ps,mostly_fast_vs_mostly_fast_required,4,0.0,0.0,3.7089675,0.75,0.06265000000000001,3.7716175,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5,3.5,10.75
