episode_index,repeat_index,position_in_cycle,dataset_index,original_task_id,is_specialist_task,selected_shared_path,selected_unshared_path,cumulative_shared_path_ratio,rolling_shared_path_ratio_last10,shared_branch_triggered,unshared_branch_triggered,shared_update_count,cumulative_shared_update_count,unshared_edge_update_count,cumulative_unshared_edge_update_count,selected_path,selected_shared_path_nodes,selected_unshared_path_nodes,raw_terminal_penalty,total_cost
0,0,0,1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,5,0,0,"['stage1_n3__from__root__c03', 'stage2_n4__from__n0003__c03', 'stage3_n2__from__n0013__c02', 'stage4_n1__from__n0040__c01', 'stage5_n2__from__n0120__c02']","['stage1_n3__from__root__c03', 'stage2_n4__from__n0003__c03', 'stage3_n2__from__n0013__c02', 'stage4_n1__from__n0040__c01', 'stage5_n2__from__n0120__c02']",[],0.0,0.17331583198707592
1,0,1,3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,5,10,0,0,"['stage1_n2__from__root__c02', 'stage2_n4__from__n0002__c03', 'stage3_n2__from__n0010__c02', 'stage4_n2__from__n0030__c02', 'stage5_n2__from__n0090__c02']","['stage1_n2__from__root__c02', 'stage2_n4__from__n0002__c03', 'stage3_n2__from__n0010__c02', 'stage4_n2__from__n0030__c02', 'stage5_n2__from__n0090__c02']",[],0.0,0.17251750134625737
2,0,2,6,[mms_issue]bad_wifi_calling[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,15,0,0,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n1__from__n0012__c01', 'stage4_n3__from__n0036__c03', 'stage5_n3__from__n0110__c03']","['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n1__from__n0012__c01', 'stage4_n3__from__n0036__c03', 'stage5_n3__from__n0110__c03']",[],0.0,0.15851453957996767
3,0,3,15,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,20,0,0,"['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n4__from__n0007__c04', 'stage4_n4__from__n0024__c02', 'stage5_n4__from__n0074__c01']","['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n4__from__n0007__c04', 'stage4_n4__from__n0024__c02', 'stage5_n4__from__n0074__c01']",[],0.0,0.09649151857835218
4,0,4,17,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,1.0,1.0,True,False,5,25,0,0,"['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n3__from__n0007__c03', 'stage4_n3__from__n0023__c03', 'stage5_n2__from__n0071__c02']","['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n3__from__n0007__c03', 'stage4_n3__from__n0023__c03', 'stage5_n2__from__n0071__c02']",[],0.0,0.1468177167474421
5,0,5,18,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],False,True,False,1.0,1.0,True,False,5,30,0,0,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n3__from__n0006__c02', 'stage4_n4__from__n0019__c04', 'stage5_n4__from__n0060__c01']","['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n3__from__n0006__c02', 'stage4_n4__from__n0019__c04', 'stage5_n4__from__n0060__c01']",[],0.0,0.08818955304254174
6,0,6,19,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],False,True,False,1.0,1.0,True,False,5,35,0,0,"['stage1_n2__from__root__c02', 'stage2_n4__from__n0002__c03', 'stage3_n1__from__n0010__c01', 'stage4_n3__from__n0029__c03', 'stage5_n3__from__n0088__c03']","['stage1_n2__from__root__c02', 'stage2_n4__from__n0002__c03', 'stage3_n1__from__n0010__c01', 'stage4_n3__from__n0029__c03', 'stage5_n3__from__n0088__c03']",[],0.0,0.22473478729133012
7,0,7,20,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,40,0,0,"['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n2__from__n0007__c02', 'stage4_n3__from__n0022__c03', 'stage5_n3__from__n0068__c03']","['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n2__from__n0007__c02', 'stage4_n3__from__n0022__c03', 'stage5_n3__from__n0068__c03']",[],0.0,0.14508212170166937
8,0,8,21,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,45,0,0,"['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n4__from__n0006__c03', 'stage4_n2__from__n0020__c01', 'stage5_n1__from__n0061__c01']","['stage1_n1__from__root__c01', 'stage2_n2__from__n0001__c02', 'stage3_n4__from__n0006__c03', 'stage4_n2__from__n0020__c01', 'stage5_n1__from__n0061__c01']",[],0.0,0.11890589660743132
9,0,9,22,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,50,0,0,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0011__c02', 'stage4_n1__from__n0034__c01', 'stage5_n3__from__n0101__c03']","['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0011__c02', 'stage4_n1__from__n0034__c01', 'stage5_n3__from__n0101__c03']",[],0.0,0.17571284329563813
