split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
all,direct_multistage_exp3,100,3.64,1.695,5.23587745,1.93,0.06556400000000001,8.94144145,0.79,0.24,0.79,0.69,0.69,0.69,0.79,0.99,0.89,3.12,12.63
all,epsilon_exp3,100,4.0,2.03,5.46591355,2.245,0.06524,9.53115355,0.74,0.16,0.74,0.68,0.68,0.68,0.74,1.18,0.95,2.87,12.55
all,risky_ps,100,2.52,0.9,5.51808265,1.395,0.069941,8.10802365,0.83,0.14,0.83,0.77,0.77,0.77,0.83,0.44,1.47,3.09,13.77
pre,direct_multistage_exp3,25,0.72,0.26,4.20144,1.08,0.06192400000000001,4.983364,0.96,0.24,0.96,0.96,0.96,0.96,0.96,0.0,2.16,2.84,11.32
pre,epsilon_exp3,25,0.0,0.0,4.607529,1.28,0.06358000000000001,4.671109,1.0,0.16,1.0,1.0,1.0,1.0,1.0,0.0,2.56,2.44,11.52
pre,risky_ps,25,0.0,0.0,5.6594858,1.96,0.069708,5.7291938,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.92,1.08,12.76
post,direct_multistage_exp3,75,4.613333333333333,2.1733333333333333,5.580689933333334,2.2133333333333334,0.06677733333333334,10.2608006,0.7333333333333333,0.24,0.7333333333333333,0.6,0.6,0.6,0.7333333333333333,1.32,0.4666666666666667,3.2133333333333334,13.066666666666666
post,epsilon_exp3,75,5.333333333333333,2.7066666666666666,5.752041733333333,2.566666666666667,0.06579333333333334,11.1511684,0.6533333333333333,0.16,0.6533333333333333,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.6533333333333333,1.5733333333333333,0.41333333333333333,3.013333333333333,12.893333333333333
post,risky_ps,75,3.36,1.2,5.4709482666666664,1.2066666666666668,0.07001866666666667,8.900966933333333,0.7733333333333333,0.18666666666666668,0.7733333333333333,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.7733333333333333,0.5866666666666667,0.6533333333333333,3.76,14.106666666666667
post_local_nontransfer,direct_multistage_exp3,75,4.613333333333333,2.1733333333333333,5.580689933333334,2.2133333333333334,0.06677733333333334,10.2608006,0.7333333333333333,0.24,0.7333333333333333,0.6,0.6,0.6,0.7333333333333333,1.32,0.4666666666666667,3.2133333333333334,13.066666666666666
post_local_nontransfer,epsilon_exp3,75,5.333333333333333,2.7066666666666666,5.752041733333333,2.566666666666667,0.06579333333333334,11.1511684,0.6533333333333333,0.16,0.6533333333333333,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.6533333333333333,1.5733333333333333,0.41333333333333333,3.013333333333333,12.893333333333333
post_local_nontransfer,risky_ps,75,3.36,1.2,5.4709482666666664,1.2066666666666668,0.07001866666666667,8.900966933333333,0.7733333333333333,0.18666666666666668,0.7733333333333333,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.7733333333333333,0.5866666666666667,0.6533333333333333,3.76,14.106666666666667
